Indicator ID,Indicator name,Source dataset,Units,Dataset summary,More Info,Terms of Use,HDX Methodology,2050,2049,2048,2047,2046,2045,2044,2043,2042,2041,2040,2039,2038,2037,2036,2035,2034,2033,2032,2031,2030,2029,2028,2027,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
CH100,Total cost of damage done by disasters,emdat,US$,Total cost of damage done by disasters,http://www.emdat.be/explanatory-notes,"The EM-DAT database is protected by the law of June 30th, 1994 on copyrights and the law of August 31st, 1998 on the legal protection of databases. Access to the EM-DAT database is made available free of charge by the UCL. The reproduction and communication of the information from EM-DAT is authorized by any means and in all forms, provided that the source is clearly mentioned and as follows:
 
“EM-DAT: The OFDA/CRED International Disaster Database – www.emdat.be – Université catholique de Louvain – Brussels – Belgium.”

","Several institutions have developed methodologies to quantify these losses in their specific domain. However, there is no standard procedure to determine a global figure for economic impact. Estimated damage are given (000’) US$.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.95E8,2.0E8,3.4E8,1.9E9,0.0,4.0E8,6.59E8,2.05E9,1.7285E7,8.8E8,1.0047407E10,7.2E7,7.5E7,3.344004E9,1.63108E8,5000000.0,6.043E8,8.243E8,0.0,0.0,0.0,0.0,4.5E9,3.75E8,,1.291E9,,0.0,1.001E9,3.9E9,9.3E8,1.46E9,1.5E9,0.0,2.5E7,,0.0,0.0,0.0,4.0E8,2.0E7,1.55E8,0.0,,,,,0.0,,,8.0E7,,,0.0,,0.0,0.0,,,0.0,,,
CH070,Number of disasters,emdat,Disasters,Total number of disasters,http://www.emdat.be/explanatory-notes,"The EM-DAT database is protected by the law of June 30th, 1994 on copyrights and the law of August 31st, 1998 on the legal protection of databases. Access to the EM-DAT database is made available free of charge by the UCL. The reproduction and communication of the information from EM-DAT is authorized by any means and in all forms, provided that the source is clearly mentioned and as follows:
 
“EM-DAT: The OFDA/CRED International Disaster Database – www.emdat.be – Université catholique de Louvain – Brussels – Belgium.”

",For a disaster to be entered into the database at least one of the following criteria must be fulfilled: Ten (10) or more people reported killed. Hundred (100) or more people reported affected. Declaration of a state of emergency. Call for international assistance.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,3.0,2.0,3.0,5.0,4.0,3.0,4.0,4.0,7.0,7.0,9.0,4.0,5.0,5.0,4.0,3.0,5.0,1.0,3.0,2.0,6.0,3.0,,4.0,,5.0,3.0,5.0,3.0,2.0,3.0,2.0,3.0,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,,,,1.0,,,1.0,,,1.0,,1.0,1.0,,,1.0,,,
CH090,People affected by disasters,emdat,People,Total number of people affected by disasters,http://www.emdat.be/explanatory-notes,"The EM-DAT database is protected by the law of June 30th, 1994 on copyrights and the law of August 31st, 1998 on the legal protection of databases. Access to the EM-DAT database is made available free of charge by the UCL. The reproduction and communication of the information from EM-DAT is authorized by any means and in all forms, provided that the source is clearly mentioned and as follows:
 
“EM-DAT: The OFDA/CRED International Disaster Database – www.emdat.be – Université catholique de Louvain – Brussels – Belgium.”

",People requiring immediate assistance during a period of emergency; it can also include displaced or evacuated people.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.0,600.0,2400.0,30.0,0.0,23.0,4479.0,0.0,0.0,1600.0,205.0,735.0,751.0,1000.0,0.0,46600.0,2133.0,4000.0,0.0,16500.0,0.0,0.0,0.0,6000000.0,0.0,,2000.0,,300.0,60000.0,501611.0,225000.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,,,500.0,,0.0,0.0,,,0.0,,,
CH080,People killed in disasters,emdat,People,Total number of people killed in disasters,http://www.emdat.be/explanatory-notes,"The EM-DAT database is protected by the law of June 30th, 1994 on copyrights and the law of August 31st, 1998 on the legal protection of databases. Access to the EM-DAT database is made available free of charge by the UCL. The reproduction and communication of the information from EM-DAT is authorized by any means and in all forms, provided that the source is clearly mentioned and as follows:
 
“EM-DAT: The OFDA/CRED International Disaster Database – www.emdat.be – Université catholique de Louvain – Brussels – Belgium.”

",Persons confirmed as dead and persons missing and presumed dead (official figures when available).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,14.0,33.0,17.0,20.0,183.0,62.0,68.0,38.0,39.0,15162.0,33.0,106.0,87.0,35.0,30.0,72.0,115.0,44.0,42.0,40.0,63.0,17.0,83.0,45.0,,66.0,,222.0,26.0,399.0,117.0,340.0,197.0,92.0,252.0,,1.0,28.0,4.0,519.0,84.0,400.0,52.0,,,,,30.0,,,445.0,,,135.0,,77.0,11.0,,,50.0,,,
PSE210,GINI index,world-bank,Index,GINI Index,http://data.worldbank.org/indicator/SI.POV.GINI,"You are free to copy, distribute, adapt, display or include the data in other products for commercial and noncommercial purposes at no cost subject to certain limitations summarized below.
You must include attribution for the data you use in the manner indicated in the metadata included with the data.
You must not claim or imply that The World Bank endorses your use of the data by or use The World Bank’s logo(s) or trademark(s) in conjunction with such use.
Other parties may have ownership interests in some of the materials contained on The World Bank Web site. For example, we maintain a list of some specific data within the Datasets that you may not redistribute or reuse without first contacting the original content provider, as well as information regarding how to contact the original content provider. Before incorporating any data in other products, please check the list: Terms of use: Restricted Data
The World Bank makes no warranties with respect to the data and you agree The World Bank shall not be liable to you in connection with your use of the data.
This is only a summary of the Terms of Use for Datasets Listed in The World Bank Data Catalogue. Please read the actual agreement that controls your use of the Datasets, which is available here: Terms of use for datasets. Also see World Bank Terms and Conditions.","Gini index measures the extent to which the distribution of income or consumption expenditure among individuals or households within an economy deviates from a perfectly equal distribution. A Lorenz curve plots the cumulative percentages of total income received against the cumulative number of recipients, starting with the poorest individual or household. The Gini index measures the area between the Lorenz curve and a hypothetical line of absolute equality, expressed as a percentage of the maximum area under the line. Thus a Gini index of 0 represents perfect equality, while an index of 100 implies perfect inequality.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.75,,,32.65,,,33.73,,,,34.66,,,,,37.11,,,,,32.33,,,,,,,,,,34.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVE010,Public expenditure on education (% of GDP),data.undp.org,Percentage,Public expenditure on education as percentage of Gross Domestic Product,https://data.undp.org/dataset/Public-expenditure-on-education-of-GDP-/bkr7-unqh,"The information in the various pages of the UNDP Web site is issued by the United Nations Development Programme for general distribution. The information presented is protected under the Berne Convention for the Protection of Literature and Artistic works, under other international conventions and under national laws on copyright and neighboring rights. Extracts of the information in the Web site may be reviewed, reproduced or translated for research or private study but not for sale or for use in conjunction with commercial purposes. Any use of information in the Web site should be accompanied by an acknowledgment of UNDP as the source, citing the uniform resource locator (URL) of the article. Reproduction or translation of substantial portions of the Web site, or any use other than for educational or other non-commercial purposes, require explicit, prior authorization in writing. Applications and enquiries should be addressed to the programme responsible for the page used.","Public expenditure on education as % of GDP is the total public expenditure (current and capital) on education expressed as a percentage of the Gross Domestic Product (GDP) in a given year. Public expenditure on education includes government spending on educational institutions (both public and private), education administration, and transfers/subsidies for private entities (students/households and other privates entities).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.6,4.3,4.3,4.2,,,,,4.3,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVE030,Expected Years of Schooling (of children),data.undp.org,Years,Expected years of schooling,https://data.undp.org/dataset/Expected-Years-of-Schooling-of-children-years-/qnam-f624,"The information in the various pages of the UNDP Web site is issued by the United Nations Development Programme for general distribution. The information presented is protected under the Berne Convention for the Protection of Literature and Artistic works, under other international conventions and under national laws on copyright and neighboring rights. Extracts of the information in the Web site may be reviewed, reproduced or translated for research or private study but not for sale or for use in conjunction with commercial purposes. Any use of information in the Web site should be accompanied by an acknowledgment of UNDP as the source, citing the uniform resource locator (URL) of the article. Reproduction or translation of substantial portions of the Web site, or any use other than for educational or other non-commercial purposes, require explicit, prior authorization in writing. Applications and enquiries should be addressed to the programme responsible for the page used.",Number of years of schooling that a child of school entrance age can expect to receive if prevailing patterns of age-specific enrollment rates persist throughout the child’s life.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,,16.4,16.4,16.4,16.4,16.3,16.1,16.0,16.0,,,,,15.9,,,,,,,,,,14.2,,,,,,,,,,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSP070,"Median age by major area, region and country, 1950-2010",esa-unpd-wpp2012,Years,"Median age by major area, region and country",http://esa.un.org/wpp/Excel-Data/population.htm,"The United Nations maintains this web site (the “Site”) as a courtesy to those who may choose to access the Site (“Users”). The information presented herein is for informative purposes only. The United Nations grants permission to Users to visit the Site and to download and copy the information, documents and materials (collectively, “Materials”) from the Site for the User’s personal, non-commercial use, without any right to resell or redistribute them or to compile or create derivative works therefrom, subject to the terms and conditions outlined below, and also subject to more specific restrictions that may apply to specific Material within this Site.","Age that divides the population in two parts of equal size, that is, there are as many persons with ages above the median as there are with ages below the median. It is expressed as years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.163,,,,,38.772,,,,,37.624,,,,,35.634,,,,,33.669,,,,,31.941,,,,,30.74,,,,,30.08,,,,,30.181,,,,,30.237,,,,,29.379,,,,,28.722,,,,,27.54
PSP100,"Percentage of Population Residing in Urban Areas by Major Area, Region and Country, 1950-2050",esa-unpd-wup2011,Percentage,"Percentage of Population Residing in Urban Areas by Major Area, Region and Country, 1950-2050",http://esa.un.org/wpp/Excel-Data/population.htm,"The United Nations maintains this web site (the “Site”) as a courtesy to those who may choose to access the Site (“Users”). The information presented herein is for informative purposes only. The United Nations grants permission to Users to visit the Site and to download and copy the information, documents and materials (collectively, “Materials”) from the Site for the User’s personal, non-commercial use, without any right to resell or redistribute them or to compile or create derivative works therefrom, subject to the terms and conditions outlined below, and also subject to more specific restrictions that may apply to specific Material within this Site.",For information about the method of calculation please visit http://esa.un.org/wpp/Excel-Data/population.htm,84.532,,,,,83.669,,,,,82.769,,,,,81.829,,,,,80.85,,,,,79.831,,,,,78.86,,,,,78.007,,,,,77.284,,,,,76.701,,,,,76.262,,,,,75.856,,,,,75.351,,,,,74.213,,,,,72.789,,,,,69.57,,,,,66.038,,,,,61.278,,,,,56.567,,,,,54.224,,,,,51.92
PSP090,Population density ,world-bank,People per square km,Population density,http://data.worldbank.org/indicator/EN.POP.DNST,"You are free to copy, distribute, adapt, display or include the data in other products for commercial and noncommercial purposes at no cost subject to certain limitations summarized below.
You must include attribution for the data you use in the manner indicated in the metadata included with the data.
You must not claim or imply that The World Bank endorses your use of the data by or use The World Bank’s logo(s) or trademark(s) in conjunction with such use.
Other parties may have ownership interests in some of the materials contained on The World Bank Web site. For example, we maintain a list of some specific data within the Datasets that you may not redistribute or reuse without first contacting the original content provider, as well as information regarding how to contact the original content provider. Before incorporating any data in other products, please check the list: Terms of use: Restricted Data
The World Bank makes no warranties with respect to the data and you agree The World Bank shall not be liable to you in connection with your use of the data.
This is only a summary of the Terms of Use for Datasets Listed in The World Bank Data Catalogue. Please read the actual agreement that controls your use of the Datasets, which is available here: Terms of use for datasets. Also see World Bank Terms and Conditions.","Population density is midyear population divided by land area in square kilometers. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship--except for refugees not permanently settled in the country of asylum, who are generally considered part of the population of their country of origin. Land area is a country's total area, excluding area under inland water bodies, national claims to continental shelf, and exclusive economic zones. In most cases the definition of inland water bodies includes major rivers and lakes. Food and Agriculture Organization and World Bank population estimates.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.4599538893344,93.7711607858861,93.7102987169206,93.3779009623095,92.9489695268645,92.1293223736969,90.6149005229308,88.9761493446631,87.4654972049129,85.9848050803317,84.5088139260031,83.0225192369349,81.7539938217123,80.6878076152305,79.942071119654,79.5312910459715,79.2535900208233,79.0449022905654,78.8623598430242,78.6780534198302,78.4666826846068,78.2230998718565,77.9654192695819,77.7879925516579,77.6699363286881,77.5185187409899,77.34827006247,77.1576505686369,76.9237886432805,76.6429901489668,76.3318763390265,75.9676550674729,75.5627197373163,74.9575249764751,74.4707590983705,73.8143975336817,72.8070825159146,71.9407430390136,71.1140744150672,70.343847923962,69.6647945095842,69.0357857457281,68.4134579214855,67.6588318860299,66.9115490815959,66.2554203849694,65.3946676537677,64.5948097162752,63.9367161551083,63.2462183360679,62.6208551762776,62.074044579615,61.5055624474769,,,,,,,,,,,
