Indicator ID,Indicator name,Source dataset,Units,Dataset summary,More Info,Terms of Use,HDX Methodology,2050,2049,2048,2047,2046,2045,2044,2043,2042,2041,2040,2039,2038,2037,2036,2035,2034,2033,2032,2031,2030,2029,2028,2027,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
CH100,Total cost of damage done by disasters,emdat,US$,Total cost of damage done by disasters,http://www.emdat.be/explanatory-notes,"The EM-DAT database is protected by the law of June 30th, 1994 on copyrights and the law of August 31st, 1998 on the legal protection of databases. Access to the EM-DAT database is made available free of charge by the UCL. The reproduction and communication of the information from EM-DAT is authorized by any means and in all forms, provided that the source is clearly mentioned and as follows:
 
“EM-DAT: The OFDA/CRED International Disaster Database – www.emdat.be – Université catholique de Louvain – Brussels – Belgium.”

","Several institutions have developed methodologies to quantify these losses in their specific domain. However, there is no standard procedure to determine a global figure for economic impact. Estimated damage are given (000’) US$.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.568E7,1.005611E9,7.30726E8,3.35087E8,9.62107E8,4.81202E8,1.6815E7,3.48257E8,2697000.0,1.38867E8,4.2302E7,1.7543E7,1.09641E8,8.9758E7,8.2281E7,2.42037E8,7576000.0,4.215E7,1.018436E9,1.72655E8,3.3753E8,7.42E7,4.873E8,8.23158E8,1.7758E8,4.07891E8,1.9795E8,8.6516E7,8.3033E7,3.3649E8,7850000.0,1.22915E8,1.18299E8,1.25102E8,4.5637E7,2.12746E8,7138000.0,3.23409E8,4619000.0,7.3383E7,7943000.0,2.68E8,1290000.0,2.58399E8,3308000.0,1.96E7,2.65E7,1.3E7,2.0E7,4.3E7,0.0,0.0,4.9505E7,3.2E7,0.0,,0.0,0.0,0.0,0.0,,5.0E7,0.0,0.0
CH070,Number of disasters,emdat,Disasters,Total number of disasters,http://www.emdat.be/explanatory-notes,"The EM-DAT database is protected by the law of June 30th, 1994 on copyrights and the law of August 31st, 1998 on the legal protection of databases. Access to the EM-DAT database is made available free of charge by the UCL. The reproduction and communication of the information from EM-DAT is authorized by any means and in all forms, provided that the source is clearly mentioned and as follows:
 
“EM-DAT: The OFDA/CRED International Disaster Database – www.emdat.be – Université catholique de Louvain – Brussels – Belgium.”

",For a disaster to be entered into the database at least one of the following criteria must be fulfilled: Ten (10) or more people reported killed. Hundred (100) or more people reported affected. Declaration of a state of emergency. Call for international assistance.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,24.0,41.0,21.0,29.0,24.0,19.0,25.0,10.0,19.0,13.0,20.0,14.0,18.0,23.0,12.0,6.0,10.0,19.0,23.0,14.0,9.0,17.0,17.0,21.0,27.0,15.0,9.0,11.0,9.0,14.0,19.0,17.0,20.0,14.0,26.0,18.0,12.0,6.0,10.0,5.0,4.0,4.0,9.0,7.0,5.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,8.0,1.0,,1.0,2.0,3.0,2.0,,2.0,4.0,1.0
CH090,People affected by disasters,emdat,People,Total number of people affected by disasters,http://www.emdat.be/explanatory-notes,"The EM-DAT database is protected by the law of June 30th, 1994 on copyrights and the law of August 31st, 1998 on the legal protection of databases. Access to the EM-DAT database is made available free of charge by the UCL. The reproduction and communication of the information from EM-DAT is authorized by any means and in all forms, provided that the source is clearly mentioned and as follows:
 
“EM-DAT: The OFDA/CRED International Disaster Database – www.emdat.be – Université catholique de Louvain – Brussels – Belgium.”

",People requiring immediate assistance during a period of emergency; it can also include displaced or evacuated people.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1696415.0,1.2492805E7,1.1723245E7,5457425.0,1.3352431E7,8404407.0,2023192.0,8631114.0,213057.0,3253820.0,604674.0,1207991.0,3524478.0,6299359.0,3482945.0,9933433.0,471765.0,41288.0,3287750.0,2771574.0,3787719.0,2092346.0,2530376.0,7804228.0,2283540.0,4463545.0,3916693.0,1236561.0,1624366.0,3281015.0,1835812.0,891175.0,1397418.0,2354911.0,548124.0,1925132.0,212902.0,2907891.0,6617.0,1299418.0,3405000.0,2865000.0,0.0,1740370.0,3956.0,232330.0,137000.0,206430.0,57000.0,1224125.0,0.0,0.0,0.0,425000.0,0.0,,0.0,0.0,0.0,0.0,,0.0,60000.0,0.0
CH080,People killed in disasters,emdat,People,Total number of people killed in disasters,http://www.emdat.be/explanatory-notes,"The EM-DAT database is protected by the law of June 30th, 1994 on copyrights and the law of August 31st, 1998 on the legal protection of databases. Access to the EM-DAT database is made available free of charge by the UCL. The reproduction and communication of the information from EM-DAT is authorized by any means and in all forms, provided that the source is clearly mentioned and as follows:
 
“EM-DAT: The OFDA/CRED International Disaster Database – www.emdat.be – Université catholique de Louvain – Brussels – Belgium.”

",Persons confirmed as dead and persons missing and presumed dead (official figures when available).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.0,2457.0,2042.0,1205.0,1406.0,1873.0,195.0,3081.0,116.0,2130.0,488.0,529.0,738.0,1091.0,464.0,1029.0,99.0,316.0,1913.0,828.0,1043.0,250.0,6863.0,3493.0,737.0,1783.0,5410.0,428.0,741.0,2918.0,405.0,653.0,1584.0,441.0,101.0,763.0,282.0,6517.0,40.0,297.0,363.0,1088.0,246.0,3816.0,11.0,353.0,307.0,18.0,392.0,636.0,1.0,197.0,15.0,703.0,29.0,,89.0,129.0,544.0,68.0,,1014.0,1312.0,84.0
PSE210,GINI index,world-bank,Index,GINI Index,http://data.worldbank.org/indicator/SI.POV.GINI,"You are free to copy, distribute, adapt, display or include the data in other products for commercial and noncommercial purposes at no cost subject to certain limitations summarized below.
You must include attribution for the data you use in the manner indicated in the metadata included with the data.
You must not claim or imply that The World Bank endorses your use of the data by or use The World Bank’s logo(s) or trademark(s) in conjunction with such use.
Other parties may have ownership interests in some of the materials contained on The World Bank Web site. For example, we maintain a list of some specific data within the Datasets that you may not redistribute or reuse without first contacting the original content provider, as well as information regarding how to contact the original content provider. Before incorporating any data in other products, please check the list: Terms of use: Restricted Data
The World Bank makes no warranties with respect to the data and you agree The World Bank shall not be liable to you in connection with your use of the data.
This is only a summary of the Terms of Use for Datasets Listed in The World Bank Data Catalogue. Please read the actual agreement that controls your use of the Datasets, which is available here: Terms of use for datasets. Also see World Bank Terms and Conditions.","Gini index measures the extent to which the distribution of income or consumption expenditure among individuals or households within an economy deviates from a perfectly equal distribution. A Lorenz curve plots the cumulative percentages of total income received against the cumulative number of recipients, starting with the poorest individual or household. The Gini index measures the area between the Lorenz curve and a hypothetical line of absolute equality, expressed as a percentage of the maximum area under the line. Thus a Gini index of 0 represents perfect equality, while an index of 100 implies perfect inequality.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.03,,,42.98,,,44.04,,,44.48,,,46.09,,,46.16,,,42.89,,,43.82,,,40.63,,,41.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVE010,Public expenditure on education (% of GDP),data.undp.org,Percentage,Public expenditure on education as percentage of Gross Domestic Product,https://data.undp.org/dataset/Public-expenditure-on-education-of-GDP-/bkr7-unqh,"The information in the various pages of the UNDP Web site is issued by the United Nations Development Programme for general distribution. The information presented is protected under the Berne Convention for the Protection of Literature and Artistic works, under other international conventions and under national laws on copyright and neighboring rights. Extracts of the information in the Web site may be reviewed, reproduced or translated for research or private study but not for sale or for use in conjunction with commercial purposes. Any use of information in the Web site should be accompanied by an acknowledgment of UNDP as the source, citing the uniform resource locator (URL) of the article. Reproduction or translation of substantial portions of the Web site, or any use other than for educational or other non-commercial purposes, require explicit, prior authorization in writing. Applications and enquiries should be addressed to the programme responsible for the page used.","Public expenditure on education as % of GDP is the total public expenditure (current and capital) on education expressed as a percentage of the Gross Domestic Product (GDP) in a given year. Public expenditure on education includes government spending on educational institutions (both public and private), education administration, and transfers/subsidies for private entities (students/households and other privates entities).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,2.7,2.6,2.5,2.4,,,,,3.3,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVE030,Expected Years of Schooling (of children),data.undp.org,Years,Expected years of schooling,https://data.undp.org/dataset/Expected-Years-of-Schooling-of-children-years-/qnam-f624,"The information in the various pages of the UNDP Web site is issued by the United Nations Development Programme for general distribution. The information presented is protected under the Berne Convention for the Protection of Literature and Artistic works, under other international conventions and under national laws on copyright and neighboring rights. Extracts of the information in the Web site may be reviewed, reproduced or translated for research or private study but not for sale or for use in conjunction with commercial purposes. Any use of information in the Web site should be accompanied by an acknowledgment of UNDP as the source, citing the uniform resource locator (URL) of the article. Reproduction or translation of substantial portions of the Web site, or any use other than for educational or other non-commercial purposes, require explicit, prior authorization in writing. Applications and enquiries should be addressed to the programme responsible for the page used.",Number of years of schooling that a child of school entrance age can expect to receive if prevailing patterns of age-specific enrollment rates persist throughout the child’s life.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,,11.7,11.7,11.7,11.7,11.7,11.5,11.5,11.6,,,,,11.4,,,,,,,,,,10.7,,,,,,,,,,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSP070,"Median age by major area, region and country, 1950-2010",esa-unpd-wpp2012,Years,"Median age by major area, region and country",http://esa.un.org/wpp/Excel-Data/population.htm,"The United Nations maintains this web site (the “Site”) as a courtesy to those who may choose to access the Site (“Users”). The information presented herein is for informative purposes only. The United Nations grants permission to Users to visit the Site and to download and copy the information, documents and materials (collectively, “Materials”) from the Site for the User’s personal, non-commercial use, without any right to resell or redistribute them or to compile or create derivative works therefrom, subject to the terms and conditions outlined below, and also subject to more specific restrictions that may apply to specific Material within this Site.","Age that divides the population in two parts of equal size, that is, there are as many persons with ages above the median as there are with ages below the median. It is expressed as years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.294,,,,,21.237,,,,,20.486,,,,,19.789,,,,,19.247,,,,,18.704,,,,,18.052,,,,,17.415,,,,,16.727,,,,,16.279,,,,,16.535,,,,,17.17,,,,,18.169
PSP100,"Percentage of Population Residing in Urban Areas by Major Area, Region and Country, 1950-2050",esa-unpd-wup2011,Percentage,"Percentage of Population Residing in Urban Areas by Major Area, Region and Country, 1950-2050",http://esa.un.org/wpp/Excel-Data/population.htm,"The United Nations maintains this web site (the “Site”) as a courtesy to those who may choose to access the Site (“Users”). The information presented herein is for informative purposes only. The United Nations grants permission to Users to visit the Site and to download and copy the information, documents and materials (collectively, “Materials”) from the Site for the User’s personal, non-commercial use, without any right to resell or redistribute them or to compile or create derivative works therefrom, subject to the terms and conditions outlined below, and also subject to more specific restrictions that may apply to specific Material within this Site.",For information about the method of calculation please visit http://esa.un.org/wpp/Excel-Data/population.htm,65.607,,,,,63.366,,,,,61.065,,,,,58.713,,,,,56.321,,,,,53.899,,,,,51.596,,,,,49.836,,,,,48.648,,,,,48.033,,,,,47.99,,,,,48.29,,,,,48.59,,,,,43.046,,,,,37.481,,,,,35.56,,,,,32.979,,,,,31.604,,,,,30.297,,,,,28.702,,,,,27.135
PSP090,Population density ,world-bank,People per square km,Population density,http://data.worldbank.org/indicator/EN.POP.DNST,"You are free to copy, distribute, adapt, display or include the data in other products for commercial and noncommercial purposes at no cost subject to certain limitations summarized below.
You must include attribution for the data you use in the manner indicated in the metadata included with the data.
You must not claim or imply that The World Bank endorses your use of the data by or use The World Bank’s logo(s) or trademark(s) in conjunction with such use.
Other parties may have ownership interests in some of the materials contained on The World Bank Web site. For example, we maintain a list of some specific data within the Datasets that you may not redistribute or reuse without first contacting the original content provider, as well as information regarding how to contact the original content provider. Before incorporating any data in other products, please check the list: Terms of use: Restricted Data
The World Bank makes no warranties with respect to the data and you agree The World Bank shall not be liable to you in connection with your use of the data.
This is only a summary of the Terms of Use for Datasets Listed in The World Bank Data Catalogue. Please read the actual agreement that controls your use of the Datasets, which is available here: Terms of use for datasets. Also see World Bank Terms and Conditions.","Population density is midyear population divided by land area in square kilometers. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship--except for refugees not permanently settled in the country of asylum, who are generally considered part of the population of their country of origin. Land area is a country's total area, excluding area under inland water bodies, national claims to continental shelf, and exclusive economic zones. In most cases the definition of inland water bodies includes major rivers and lakes. Food and Agriculture Organization and World Bank population estimates.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.991528322769,324.334319348023,318.789405372774,313.39276922561,308.167823724721,303.086450682497,298.070053996043,293.009266525807,287.826454707046,282.494311969682,277.038873796827,271.501666834356,265.948136968843,260.428104772445,254.948539423819,249.499101183888,244.092054868028,238.738699399671,233.445816145152,228.228215447563,223.084431700037,217.984730187477,212.886772646477,207.762980849851,202.604011134588,197.428409967468,192.270902505282,187.180521179193,182.19456015025,177.323711305631,172.563473857196,167.917315625314,163.384720126103,158.964456518094,154.661585672603,150.476892376832,146.398658483415,142.410239125331,138.499161552135,134.649045910326,130.862002481306,127.157932676189,123.555257158184,120.046469523235,116.635458995507,113.313585462348,110.059126265674,106.842928988131,103.644927244686,100.45564943338,97.2830483470797,94.1460168980085,91.0726111446389,,,,,,,,,,,
PSE140,"Age dependency ratio, old ",world-bank,Percentage,"Age dependency ratio, old, is the ratio of older dependents (people older than 64) to the working-age population (those ages 15-64).",http://data.worldbank.org/indicator/SP.POP.DPND.OL,"You are free to copy, distribute, adapt, display or include the data in other products for commercial and noncommercial purposes at no cost subject to certain limitations summarized below.
You must include attribution for the data you use in the manner indicated in the metadata included with the data.
You must not claim or imply that The World Bank endorses your use of the data by or use The World Bank’s logo(s) or trademark(s) in conjunction with such use.
Other parties may have ownership interests in some of the materials contained on The World Bank Web site. For example, we maintain a list of some specific data within the Datasets that you may not redistribute or reuse without first contacting the original content provider, as well as information regarding how to contact the original content provider. Before incorporating any data in other products, please check the list: Terms of use: Restricted Data
The World Bank makes no warranties with respect to the data and you agree The World Bank shall not be liable to you in connection with your use of the data.
This is only a summary of the Terms of Use for Datasets Listed in The World Bank Data Catalogue. Please read the actual agreement that controls your use of the Datasets, which is available here: Terms of use for datasets. Also see World Bank Terms and Conditions.","Age dependency ratio, old, is the ratio of older dependents (people older than 64) to the working-age population (those ages 15-64). Data are shown as the proportion of dependents per 100 working-age population. World Bank staff estimates from various sources including census reports, the United Nations Population Division's World Population Prospects, national statistical offices, household surveys conducted by national agencies, and ICF International.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.29434754346011,6.21297014204836,6.15238782816188,6.09091603644683,6.02410517940313,5.95468688152045,5.88463901926785,5.81866863181026,5.76033136850311,5.71002137487032,5.66558678181032,5.62542939989534,5.58715872186127,5.54919216473537,5.50954547636217,5.46918492529315,5.43336442646962,5.4100648949383,5.40533868178955,5.42318248114805,5.46184747061735,5.51444037630909,5.56963069662267,5.61833082246698,5.65585473361868,5.68356732806924,5.70548436133931,5.72928452693035,5.76089234164409,5.80264568291923,5.85188490571361,5.90376153666223,5.95031615271066,5.98495292556782,6.00500266687928,6.01152093766588,6.0060217241322,5.99199093729448,5.97276809548097,5.94770120764879,5.91689746369077,5.8863895577337,5.86481080207353,5.85910408077429,5.87493266450857,5.91216897271474,5.96455272159483,6.02046293651696,6.07022004212954,6.10929344218424,6.13957424551595,6.16503380493189,6.19337464100308,6.23071776757486,,,,,,,,,,
