Indicator ID,Indicator name,Source dataset,Units,Dataset summary,More Info,Terms of Use,HDX Methodology,2050,2049,2048,2047,2046,2045,2044,2043,2042,2041,2040,2039,2038,2037,2036,2035,2034,2033,2032,2031,2030,2029,2028,2027,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
CH100,Total cost of damage done by disasters,emdat,US$,Total cost of damage done by disasters,http://www.emdat.be/explanatory-notes,"The EM-DAT database is protected by the law of June 30th, 1994 on copyrights and the law of August 31st, 1998 on the legal protection of databases. Access to the EM-DAT database is made available free of charge by the UCL. The reproduction and communication of the information from EM-DAT is authorized by any means and in all forms, provided that the source is clearly mentioned and as follows:
 
“EM-DAT: The OFDA/CRED International Disaster Database – www.emdat.be – Université catholique de Louvain – Brussels – Belgium.”

","Several institutions have developed methodologies to quantify these losses in their specific domain. However, there is no standard procedure to determine a global figure for economic impact. Estimated damage are given (000’) US$.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33E8,,,1.5E8,,,,0.0,0.0,,,1500000.0,,,,,,,,,,2.78E8,2.0E8,1.55E7,,,,,,6.325E7,,,,,,,,,,,,,,,238000.0,,600000.0,,0.0,,,,,,,,,,,,,,
CH070,Number of disasters,emdat,Disasters,Total number of disasters,http://www.emdat.be/explanatory-notes,"The EM-DAT database is protected by the law of June 30th, 1994 on copyrights and the law of August 31st, 1998 on the legal protection of databases. Access to the EM-DAT database is made available free of charge by the UCL. The reproduction and communication of the information from EM-DAT is authorized by any means and in all forms, provided that the source is clearly mentioned and as follows:
 
“EM-DAT: The OFDA/CRED International Disaster Database – www.emdat.be – Université catholique de Louvain – Brussels – Belgium.”

",For a disaster to be entered into the database at least one of the following criteria must be fulfilled: Ten (10) or more people reported killed. Hundred (100) or more people reported affected. Declaration of a state of emergency. Call for international assistance.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,
CH090,People affected by disasters,emdat,People,Total number of people affected by disasters,http://www.emdat.be/explanatory-notes,"The EM-DAT database is protected by the law of June 30th, 1994 on copyrights and the law of August 31st, 1998 on the legal protection of databases. Access to the EM-DAT database is made available free of charge by the UCL. The reproduction and communication of the information from EM-DAT is authorized by any means and in all forms, provided that the source is clearly mentioned and as follows:
 
“EM-DAT: The OFDA/CRED International Disaster Database – www.emdat.be – Université catholique de Louvain – Brussels – Belgium.”

",People requiring immediate assistance during a period of emergency; it can also include displaced or evacuated people.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12703.0,,,5275.0,,,,0.0,0.0,,,0.0,,,,,,,,,,85000.0,170000.0,0.0,,,,,,2000.0,,,,,,,,,,,,,,,0.0,,95000.0,,0.0,,,,,,,,,,,,,,
CH080,People killed in disasters,emdat,People,Total number of people killed in disasters,http://www.emdat.be/explanatory-notes,"The EM-DAT database is protected by the law of June 30th, 1994 on copyrights and the law of August 31st, 1998 on the legal protection of databases. Access to the EM-DAT database is made available free of charge by the UCL. The reproduction and communication of the information from EM-DAT is authorized by any means and in all forms, provided that the source is clearly mentioned and as follows:
 
“EM-DAT: The OFDA/CRED International Disaster Database – www.emdat.be – Université catholique de Louvain – Brussels – Belgium.”

",Persons confirmed as dead and persons missing and presumed dead (official figures when available).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,143.0,,,,9.0,1.0,,,0.0,,,,,,,,,,13.0,8.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,10.0,,250.0,,,,,,,,,,,,,,
PVE040,"Adult literacy rate, both sexes",data.undp.org,Percentage,"Adult literacy rate, both sexes",https://data.undp.org/dataset/Adult-literacy-rate-both-sexes-aged-15-and-above-/x22y-8m6h,"The information in the various pages of the UNDP Web site is issued by the United Nations Development Programme for general distribution. The information presented is protected under the Berne Convention for the Protection of Literature and Artistic works, under other international conventions and under national laws on copyright and neighboring rights. Extracts of the information in the Web site may be reviewed, reproduced or translated for research or private study but not for sale or for use in conjunction with commercial purposes. Any use of information in the Web site should be accompanied by an acknowledgment of UNDP as the source, citing the uniform resource locator (URL) of the article. Reproduction or translation of substantial portions of the Web site, or any use other than for educational or other non-commercial purposes, require explicit, prior authorization in writing. Applications and enquiries should be addressed to the programme responsible for the page used.","Percentage of the population ages 15 and older who can, with understanding, both read and write a short simple statement on their everyday life.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.8,,,,98.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSE220,Human Development Index rank,data.undp.org,Index,Human development index rank,http://hdr.undp.org/en/statistics/hdi,"The information in the various pages of the UNDP Web site is issued by the United Nations Development Programme for general distribution. The information presented is protected under the Berne Convention for the Protection of Literature and Artistic works, under other international conventions and under national laws on copyright and neighboring rights. Extracts of the information in the Web site may be reviewed, reproduced or translated for research or private study but not for sale or for use in conjunction with commercial purposes. Any use of information in the Web site should be accompanied by an acknowledgment of UNDP as the source, citing the uniform resource locator (URL) of the article. Reproduction or translation of substantial portions of the Web site, or any use other than for educational or other non-commercial purposes, require explicit, prior authorization in writing. Applications and enquiries should be addressed to the programme responsible for the page used.","The Human Development Index (HDI) is a composite statistic of life expectancy, education, and income indices used to rank countries into four tiers of human development. It was created by the Pakistani economist Mahbub ul Haq and the Indian economist Amartya Sen in 1990 and was published by the United Nations Development Programme.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVE030,Expected Years of Schooling (of children),data.undp.org,Years,Expected years of schooling,https://data.undp.org/dataset/Expected-Years-of-Schooling-of-children-years-/qnam-f624,"The information in the various pages of the UNDP Web site is issued by the United Nations Development Programme for general distribution. The information presented is protected under the Berne Convention for the Protection of Literature and Artistic works, under other international conventions and under national laws on copyright and neighboring rights. Extracts of the information in the Web site may be reviewed, reproduced or translated for research or private study but not for sale or for use in conjunction with commercial purposes. Any use of information in the Web site should be accompanied by an acknowledgment of UNDP as the source, citing the uniform resource locator (URL) of the article. Reproduction or translation of substantial portions of the Web site, or any use other than for educational or other non-commercial purposes, require explicit, prior authorization in writing. Applications and enquiries should be addressed to the programme responsible for the page used.",Number of years of schooling that a child of school entrance age can expect to receive if prevailing patterns of age-specific enrollment rates persist throughout the child’s life.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,,,,,12.1,,,,,,,,,,12.9,,,,,,,,,,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVE010,Public expenditure on education (% of GDP),data.undp.org,Percentage,Public expenditure on education as percentage of Gross Domestic Product,https://data.undp.org/dataset/Public-expenditure-on-education-of-GDP-/bkr7-unqh,"The information in the various pages of the UNDP Web site is issued by the United Nations Development Programme for general distribution. The information presented is protected under the Berne Convention for the Protection of Literature and Artistic works, under other international conventions and under national laws on copyright and neighboring rights. Extracts of the information in the Web site may be reviewed, reproduced or translated for research or private study but not for sale or for use in conjunction with commercial purposes. Any use of information in the Web site should be accompanied by an acknowledgment of UNDP as the source, citing the uniform resource locator (URL) of the article. Reproduction or translation of substantial portions of the Web site, or any use other than for educational or other non-commercial purposes, require explicit, prior authorization in writing. Applications and enquiries should be addressed to the programme responsible for the page used.","Public expenditure on education as % of GDP is the total public expenditure (current and capital) on education expressed as a percentage of the Gross Domestic Product (GDP) in a given year. Public expenditure on education includes government spending on educational institutions (both public and private), education administration, and transfers/subsidies for private entities (students/households and other privates entities).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSP080,"Population density by major area, region and country, 1950-2010",esa-unpd-wpp2012,People per square km,Population per square Kilometer.,http://esa.un.org/wpp/Excel-Data/population.htm,"The United Nations maintains this web site (the “Site”) as a courtesy to those who may choose to access the Site (“Users”). The information presented herein is for informative purposes only. The United Nations grants permission to Users to visit the Site and to download and copy the information, documents and materials (collectively, “Materials”) from the Site for the User’s personal, non-commercial use, without any right to resell or redistribute them or to compile or create derivative works therefrom, subject to the terms and conditions outlined below, and also subject to more specific restrictions that may apply to specific Material within this Site.","For information about the method of calculation, please visit http://unstats.un.org/unsd/demographic/standmeth/default.htm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.711,65.243,64.798,64.373,63.961,63.556,63.156,62.761,62.378,62.016,61.679,61.377,61.102,60.823,60.5,60.105,59.621,59.063,58.484,57.956,57.529,57.224,57.02,56.875,56.726,56.528,56.263,55.946,55.599,55.258,54.947,54.667,54.401,54.131,53.829,53.473,53.062,52.592,52.039,51.373,50.574,49.636,48.57,47.402,46.163,44.884,43.573,42.234,40.899,39.605,38.377,37.227,36.154,35.148,34.193,33.278,32.39,31.521,30.667,29.827,29.001
PSP070,"Median age by major area, region and country, 1950-2010",esa-unpd-wpp2012,Years,"Median age by major area, region and country",http://esa.un.org/wpp/Excel-Data/population.htm,"The United Nations maintains this web site (the “Site”) as a courtesy to those who may choose to access the Site (“Users”). The information presented herein is for informative purposes only. The United Nations grants permission to Users to visit the Site and to download and copy the information, documents and materials (collectively, “Materials”) from the Site for the User’s personal, non-commercial use, without any right to resell or redistribute them or to compile or create derivative works therefrom, subject to the terms and conditions outlined below, and also subject to more specific restrictions that may apply to specific Material within this Site.","Age that divides the population in two parts of equal size, that is, there are as many persons with ages above the median as there are with ages below the median. It is expressed as years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.813,,,,,20.318,,,,,19.536,,,,,19.14,,,,,18.735,,,,,17.629,,,,,16.392,,,,,15.027,,,,,14.677,,,,,14.492,,,,,15.21,,,,,15.626,,,,,16.556
