Indicator name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CHF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0697005891166279,0.0904648649232832,0.0100613724617855,0.0
CHF Country Allocation as Fraction of CHF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108373308964024,0.121958685753969,0.0433329174944994,0.0
CERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1623868E7,6115166.0,1.8220644E7,4165567.0,1.1019952E7,0.0,9995396.0,1.6574042E7,3991021.0,1.3786504E7,0.0,0.0
Cross-Appeal: Amount Received By UN Agencies,0.0,0.0,2033772.0,1.108859915E9,2.27297659E8,2.6511074E7,0.0,5.9620911E7,0.0,2.13638325E8,4.79736929E8,4.77126235E8,4.01709788E8,1.91274739E8,2.35023688E8,2.19800383E8,2.22732103E8,6.2352125E7,0.0
Total Country Humanitarian Funding Received,0.0,7.1617083E7,4.16971729E8,1.225150074E9,4.50102098E8,1.58907052E8,8.3767532E7,1.72486362E8,1.74427244E8,5.89313792E8,6.8434588E8,7.33870975E8,8.91245986E8,5.15119991E8,5.29538057E8,5.06675904E8,4.31556351E8,1.60085317E8,0.0
Total Country Pooled Fund Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1623868E7,6115166.0,1.8220644E7,4165567.0,1.5092512E7,3598761.0,1.2949817E7,2.5676206E7,4.3962838E7,5.2827191E7,1610678.0,0.0
CAP Amount Received,0.0,0.0,2053268.0,1.196693956E9,0.0,0.0,0.0,0.0,0.0,0.0,5.07723836E8,5.05299903E8,4.23208691E8,2.23824925E8,3.48600417E8,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of CERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124229387347122,0.0172322119952141,0.0427354248813695,0.0104748363725109,0.0265397894155352,0.0,0.0207816364260546,0.0339198992184921,0.00935936571591012,0.0279085523010471,0.0,0.0
Cross-Appeal: Amount Received,0.0,0.0,2053268.0,1.196693956E9,3.13948366E8,2.6511074E7,0.0,6.3620911E7,0.0,2.76990888E8,5.07723836E8,5.05299903E8,4.23208691E8,2.23824925E8,3.48600417E8,3.11504069E8,2.92757815E8,6.2352125E7,0.0
Cross-Appeal: Amount Requested (Original),0.0,0.0,0.0,1.76389463E9,1.995143982E9,7.2841021E7,0.0,7.6391754E7,0.0,4.85640982E8,6.03981153E8,8.70561261E8,6.78632984E8,4.37140634E8,4.71463529E8,4.06429895E8,4.054E8,3.92972933E8,0.0
ERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00554942236269802,0.00403789869074373,0.00573540350135625,0.0171888760017866,0.00918971666748139,0.0,0.0,0.0
ERF Country Allocation as Fraction of ERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0269149300690365,0.0364926737131645,0.0405030546727716,0.0862889851364829,0.045694996423172,0.0,0.0,0.0
Cross-Appeal: Amount Requested (Revised),0.0,0.0,0.0,1.780509639E9,1.995143982E9,7.2841021E7,0.0,1.19769805E8,0.0,4.85640982E8,6.64923055E8,7.7450831E8,5.82318627E8,4.48551322E8,4.7442838E8,4.06429895E8,4.16666132E8,3.92972933E8,0.0
CAP Amount Required (Revised),0.0,0.0,0.0,1.780509639E9,0.0,0.0,0.0,0.0,0.0,0.0,6.64923055E8,7.7450831E8,5.82318627E8,4.48551322E8,4.7442838E8,0.0,0.0,0.0,0.0
CHF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5315609E7,3.9040687E7,1610678.0,0.0
Cross-Appeal: Amount Received By Private Orgs. & Foundations,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,72394.0,0.0,0.0,0.0,7281198.0,165517.0,2321165.0,0.0,0.0
CERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183341266134421,0.0350585485372916,0.0309184075569709,0.00608693223958622,0.0150161981811585,0.0,0.0194040149375604,0.0312990573215779,0.0078768715237739,0.0319460111479161,0.0,0.0
Cross-Appeal: Amount Received By NGOs,0.0,0.0,19496.0,8.7834041E7,1.4171054E7,0.0,0.0,0.0,0.0,602563.0,2.7914513E7,2.8173668E7,2.1498903E7,3.2550186E7,9.3970212E7,8.5840819E7,6.7704547E7,0.0,0.0
ERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4072560.0,3598761.0,2954421.0,9102164.0,4656208.0,0.0,0.0,0.0
