Indicator name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CHF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHF Country Allocation as Fraction of CHF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4069847.0,8500000.0,5187947.0,3956773.0,0.0,3999812.0,1986269.0,6449333.0,1978455.0,2.1570604E7,1.2985955E7,0.0
Cross-Appeal: Amount Received By UN Agencies,0.0,9954591.0,5.3333014E7,2.7955869E7,3.1554024E7,5.5360144E7,7.0217769E7,5.3845392E7,9.4897584E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8986982E7,0.0
Total Country Humanitarian Funding Received,0.0,2.0567083E7,7.9284967E7,5.2849023E7,6.0000148E7,1.03645897E8,1.04844954E8,9.3043347E7,1.3156064E8,8.2760468E7,6.0077983E7,3.4478788E7,4.0770054E7,1.6878434E7,2.3696837E7,2.8168559E7,1.6700464E7,2.5792881E7,0.0
Total Country Pooled Fund Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4069847.0,8500000.0,5187947.0,3956773.0,0.0,3999812.0,1986269.0,6449333.0,1978455.0,2.1570604E7,1.2985955E7,0.0
CAP Amount Received,0.0,9954591.0,5.3333014E7,2.7955869E7,3.1554024E7,5.5560144E7,7.4356428E7,5.3845392E7,1.16823032E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of CERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0159877532819996,0.0239525471523292,0.0121680177334581,0.00994979788781911,0.0,0.00938577053124691,0.00412969333104392,0.0131989966832771,0.00463968590931267,0.0436662064508287,0.0592010298698997,0.0
Cross-Appeal: Amount Received,0.0,9954591.0,5.3333014E7,2.7955869E7,3.1554024E7,5.5560144E7,7.4356428E7,5.3845392E7,1.16823032E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8986982E7,0.0
Cross-Appeal: Amount Requested (Original),0.0,7.0642513E7,1.01961638E8,1.07865224E8,6.9702266E7,7.1545567E7,1.34171865E8,1.29407889E8,1.31648122E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.23E7,0.0
ERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERF Country Allocation as Fraction of ERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Requested (Revised),0.0,3.6630784E7,1.11497461E8,7.2024582E7,7.1550103E7,1.19002325E8,1.21936296E8,1.18635086E8,1.45242337E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.23E7,0.0
CAP Amount Required (Revised),0.0,3.6630784E7,1.11497461E8,7.2024582E7,7.1550103E7,1.19002325E8,1.21936296E8,1.18635086E8,1.45242337E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Received By Private Orgs. & Foundations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0437414079697713,0.0646089894363542,0.0626862936541152,0.0658606165256913,0.0,0.0981066152132151,0.117680882005997,0.272160077735269,0.0702362872023379,1.29161704728683,0.503470511882717,0.0
Cross-Appeal: Amount Received By NGOs,0.0,0.0,0.0,0.0,0.0,200000.0,4138659.0,0.0,2.1652224E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
