Indicator name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CHF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHF Country Allocation as Fraction of CHF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,0.0,0.0,4877946.0,1966070.0,0.0,1.4869587E7,0.0,3929038.0,0.0,0.0,0.0
Cross-Appeal: Amount Received By UN Agencies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1257284.0,0.0,8534503.0,3285514.0,0.0,8.0945642E7,6.8679135E7,4.5432418E7,2.3456719E7,3.1070349E7,0.0
Total Country Humanitarian Funding Received,0.0,0.0,2184023.0,2309917.0,630292.0,153341.0,1240551.0,4750010.0,1.861775E7,3.5331408E7,7.5068255E7,4.1699738E7,3.8937614E7,1.46178374E8,1.07998696E8,7.9759905E7,4.6887157E7,3.8687511E7,0.0
Total Country Pooled Fund Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,0.0,0.0,4877946.0,1966070.0,0.0,1.4869587E7,0.0,3929038.0,0.0,0.0,0.0
CAP Amount Received,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5944494E7,7.6004187E7,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of CERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.82085646094289E-4,0.0,0.0,0.0122662019801732,0.00473496470549067,0.0,0.0309156686578088,0.0,0.0092140090352088,0.0,0.0,0.0
Cross-Appeal: Amount Received,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1257284.0,0.0,8534503.0,3896575.0,0.0,8.5944494E7,7.6004187E7,4.9237766E7,3.0631658E7,3.2403876E7,0.0
Cross-Appeal: Amount Requested (Original),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5967000.0,0.0,1.8449092E7,1.4163313E7,0.0,1.26062151E8,1.35540819E8,1.09281921E8,9.8761764E7,9.0524923E7,0.0
ERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERF Country Allocation as Fraction of ERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Requested (Revised),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5967000.0,0.0,1.8449092E7,1.4163313E7,0.0,1.26062151E8,1.38977186E8,9.9333722E7,9.8761764E7,9.0524923E7,0.0
CAP Amount Required (Revised),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26062151E8,1.38977186E8,0.0,0.0,0.0,0.0
CHF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Received By Private Orgs. & Foundations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526314681442776,0.0,0.0,0.0649801437371896,0.0471482578619559,0.0,0.101722208238546,0.0,0.0492608159450541,0.0,0.0,0.0
Cross-Appeal: Amount Received By NGOs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611061.0,0.0,4998852.0,7325052.0,3805348.0,7174939.0,1333527.0,0.0
ERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
