Indicator name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CHF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0226068695166693,0.111154224312566,0.107384760500943,0.157676488056789,0.0609773040822525,0.037776444303377,0.0487206743456887,0.0949947630673701,0.00644066551115442,0.0
CHF Country Allocation as Fraction of CHF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00926278459466446,0.0369327446827921,0.0371052908981597,0.0367696042243067,0.0159592079834723,0.0231670119922243,0.0806345625156663,0.114230080539893,0.013558570011947,0.0
CERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6009034.0,6463051.0,3387014.0,2975145.0,6099478.0,4999120.0,7991212.0,1.3390326E7,1.3367521E7,2.6605912E7,0.0,0.0
Cross-Appeal: Amount Received By UN Agencies,0.0,0.0,0.0,0.0,3532483.0,2901210.0,9193786.0,2.3900813E7,5.8602645E7,8.9289474E7,6.0038891E7,5.4146598E7,4.7339588E7,6.2156274E7,7.9726573E7,2.88226059E8,2.25643999E8,9345076.0,0.0
Total Country Humanitarian Funding Received,0.0,30284.0,881898.0,0.0,5610339.0,1.1370843E7,1.1503565E7,2.6318248E7,8.6340868E7,1.12874142E8,7.481596E7,8.2908552E7,8.2863185E7,9.6419366E7,1.64507595E8,5.39327182E8,3.84933346E8,7.8248125E7,0.0
Total Country Pooled Fund Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6009034.0,6463051.0,5938745.0,1.1291255E7,1.5002593E7,1.8064696E7,1.3870605E7,1.9604838E7,3.9643905E7,6.3172564E7,503970.0,0.0
CAP Amount Received,0.0,0.0,0.0,0.0,0.0,2901210.0,9847806.0,2.3989707E7,6.819394E7,1.07317807E8,7.3299672E7,7.3220547E7,6.5171054E7,7.6649802E7,1.02801363E8,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of CERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0236055441531702,0.0182125333912245,0.00794403767337459,0.00748137217802376,0.0146896158590065,0.0117306996374247,0.0166146956446272,0.0274042088479536,0.0313482484191661,0.053859374832739,0.0,0.0
Cross-Appeal: Amount Received,0.0,0.0,0.0,0.0,3532483.0,2901210.0,9847806.0,2.3989707E7,6.819394E7,1.07317807E8,7.3299672E7,7.3220547E7,6.5171054E7,7.6649802E7,1.02801363E8,3.78544505E8,3.1878319E8,9345076.0,0.0
Cross-Appeal: Amount Requested (Original),0.0,0.0,0.0,0.0,9100864.0,1.6818752E7,2.3610439E7,4.6884386E7,4.9520687E7,9.2635059E7,1.16480737E8,1.13615353E8,1.28825182E8,1.34457734E8,1.29311203E8,2.46772031E8,6.12958926E8,5.315E8,0.0
ERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERF Country Allocation as Fraction of ERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Requested (Revised),0.0,0.0,0.0,0.0,9100864.0,7629331.0,2.7858141E7,3.801505E7,9.1406943E7,1.18670314E8,1.00447041E8,1.49882707E8,1.41947471E8,1.24011764E8,1.95136527E8,5.55425562E8,6.12958926E8,5.315E8,0.0
CAP Amount Required (Revised),0.0,0.0,0.0,0.0,0.0,7629331.0,2.7858141E7,3.801505E7,9.1406943E7,1.18670314E8,1.00447041E8,1.49882707E8,1.41947471E8,1.24011764E8,1.95136527E8,0.0,0.0,0.0,0.0
CHF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2551731.0,8316110.0,8903115.0,1.3065576E7,5879393.0,6214512.0,2.6276384E7,3.6566652E7,503970.0,0.0
Cross-Appeal: Amount Received By Private Orgs. & Foundations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.228321961249092,0.0748550616841146,0.0300069966423311,0.0397661809057853,0.0735687435477103,0.0603298075013651,0.0828797401551054,0.0813963999656065,0.0247855503044161,0.0691182311859259,0.0,0.0
Cross-Appeal: Amount Received By NGOs,0.0,0.0,0.0,0.0,0.0,0.0,654020.0,88894.0,9441495.0,1.8943704E7,1.3260781E7,1.8913449E7,1.7831466E7,1.4258575E7,2.307479E7,9.0318446E7,8.7103538E7,0.0,0.0
ERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
