Indicator name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CHF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0190278536468193,0.198354239740622,0.224193033990369,0.196852045753763,0.171252751966758,0.157287310725402,0.194901734317126,0.135462069454015,0.0976206248397554,0.0821287913223072,0.12110261131108,0.0048845373820759,0.0
CHF Country Allocation as Fraction of CHF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.97000007462668,0.419706409276437,0.468152914580253,0.457930008524475,0.51984371544679,0.379913448807136,0.29889910438765,0.2385244040207,0.269679469155143,0.144945071944014,0.197492649767762,0.0215228208217903,0.0
CERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8E7,5.2506578E7,4.0706881E7,3.0427973E7,2.9126626E7,4094585.0,3.1486288E7,1.2057344E7,5000917.0,1.4840593E7,0.0,0.0
Cross-Appeal: Amount Received By UN Agencies,0.0,1.177271E7,8.3132706E7,9.8431642E7,1.07594973E8,1.18811355E8,1.34926666E8,2.82847838E8,3.17558622E8,4.18159015E8,4.58264304E8,3.56876526E8,3.07026942E8,4.14726892E8,4.62437683E8,2.5356653E8,3.10252616E8,5.8840374E7,0.0
Total Country Humanitarian Funding Received,0.0,2.8870602E7,1.54128411E8,1.80666471E8,1.83107093E8,2.28287963E8,2.66411183E8,4.45209924E8,5.26093875E8,6.40844257E8,6.83508438E8,5.79558291E8,5.44939784E8,6.48688606E8,7.41042829E8,5.75111946E8,5.22038033E8,1.63782143E8,0.0
Total Country Pooled Fund Allocations,0.0,0.0,0.0,0.0,0.0,0.0,5069233.0,1.26309276E8,1.7045316E8,1.66858384E8,1.47480674E8,1.21170712E8,1.11331859E8,1.20437357E8,8.4713366E7,5.2234166E7,7.8060762E7,800000.0,0.0
CAP Amount Received,0.0,1.177271E7,8.3132706E7,9.8431642E7,1.0817101E8,1.18811355E8,1.37274088E8,3.54195238E8,4.63818035E8,6.07264789E8,6.44401677E8,5.21026865E8,4.87391703E8,5.83431727E8,6.29381833E8,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of CERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.149277018206332,0.147960739453229,0.0954755416510166,0.0765149230158053,0.0701468137452008,0.00960816039120979,0.0654637984950317,0.0246761709257579,0.0117276784857589,0.0300423853588301,0.0,0.0
Cross-Appeal: Amount Received,0.0,1.177271E7,8.3132706E7,9.8431642E7,1.0817101E8,1.18811355E8,1.37274088E8,3.54195238E8,4.63818035E8,6.07264789E8,6.44401677E8,5.21026865E8,4.87391703E8,5.83431727E8,6.29381833E8,3.93478978E8,4.40261613E8,5.8840374E7,0.0
Cross-Appeal: Amount Requested (Original),0.0,7.1363897E7,1.39464891E8,1.94140365E8,2.68645326E8,1.87094868E8,1.8539464E8,6.44929808E8,6.86591107E8,5.75654173E8,8.31005682E8,8.27616628E8,7.19289671E8,7.1855561E8,8.9264397E8,8.3209725E8,6.92E8,6.9E8,0.0
ERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00153033959443434,0.0018856487086654,0.00166238159576985,4.25019968717625E-4,0.0,0.0,0.0,0.0
ERF Country Allocation as Fraction of ERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058615260896733,0.0104198623537567,0.0147836743853931,0.00298581811760548,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Requested (Revised),0.0,3.7039207E7,1.2285609E8,2.02201192E8,2.29407473E8,1.62602463E8,2.19757245E8,6.96024728E8,6.86591107E8,7.36511765E8,9.46252242E8,8.27616628E8,7.35754098E8,7.91331026E8,8.9264397E8,8.3209725E8,6.92E8,6.9E8,0.0
CAP Amount Required (Revised),0.0,3.7039207E7,1.2285609E8,2.02201192E8,2.29407473E8,1.62602463E8,2.19757245E8,6.96024728E8,6.86591107E8,7.36511765E8,9.46252242E8,8.27616628E8,7.35754098E8,7.91331026E8,8.9264397E8,0.0,0.0,0.0,0.0
CHF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,5069233.0,8.8309276E7,1.17946582E8,1.26151503E8,1.17052701E8,9.1157165E7,1.06209709E8,8.7872701E7,7.2341064E7,4.7233249E7,6.3220169E7,800000.0,0.0
Cross-Appeal: Amount Received By Private Orgs. & Foundations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0214454E7,1.4852235E7,8701618.0,1.7142839E7,1.5006115E7,1.6841129E7,1.4779956E7,1.4855905E7,1.586728E7,240000.0,0.0,0.0
CERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0853529940630883,0.0998045795534114,0.0635207081211309,0.0445173333763584,0.0502565944656635,0.00751383018862135,0.0485383706585406,0.0162707788647935,0.00869555403044958,0.0284281835074649,0.0,0.0
Cross-Appeal: Amount Received By NGOs,0.0,0.0,0.0,0.0,576037.0,0.0,2347422.0,6.0866761E7,1.27827082E8,1.35146492E8,1.50956086E8,1.46651434E8,1.57618479E8,1.49362968E8,1.35168194E8,1.20651736E8,1.29768997E8,0.0,0.0
ERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886921.0,1027565.0,1078368.0,314958.0,0.0,0.0,0.0,0.0
