Indicator name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CHF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHF Country Allocation as Fraction of CHF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2220939.0,2253044.0,1838333.0,8527388.0,6607366.0,5927391.0,4084143.0,3493954.0,4505909.0,2994382.0,0.0,0.0
Cross-Appeal: Amount Received By UN Agencies,0.0,0.0,0.0,0.0,3.3620763E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Country Humanitarian Funding Received,0.0,379749.0,1.7618339E7,2.0183769E7,4.0518269E7,2.5167946E7,4.1645001E7,3.7173442E7,4.9190719E7,4.0120722E7,6.1607777E7,7.5235407E7,6.4475571E7,5.6148419E7,5.8918644E7,8.8910588E7,5.9063552E7,2.6173585E7,0.0
Total Country Pooled Fund Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2220939.0,2253044.0,1838333.0,8527388.0,8429768.0,7550228.0,5280741.0,4762746.0,7363941.0,4699413.0,409753.0,0.0
CAP Amount Received,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of CERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00872460925100401,0.00634895795838497,0.00431169951119415,0.0214431778398746,0.0159127827626987,0.0139089366637677,0.00849142694676788,0.0071506134444481,0.0105668324505461,0.00606164308633385,0.0,0.0
Cross-Appeal: Amount Received,0.0,0.0,0.0,0.0,3.3620763E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Requested (Original),0.0,0.0,0.0,0.0,7.9497508E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0242226642038369,0.0251697964799722,0.0213113391491931,0.0215346436010985,0.032145012920171,0.0288677355537303,0.0156552111604123,0.0
ERF Country Allocation as Fraction of ERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01204397783892,0.016456125074894,0.0164045253588873,0.0120282137334911,0.0280480945046508,0.00866165756961081,0.00361966935925104,0.0
Cross-Appeal: Amount Requested (Revised),0.0,0.0,0.0,0.0,7.9497508E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAP Amount Required (Revised),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Received By Private Orgs. & Foundations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0597453149482364,0.0458022172841182,0.0458200378348126,0.138414148590364,0.087822559396801,0.0919323537282051,0.0727383437100874,0.0593013308317143,0.0506791047203512,0.050697628209018,0.0,0.0
Cross-Appeal: Amount Received By NGOs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1822402.0,1622837.0,1196598.0,1268792.0,2858032.0,1705031.0,409753.0,0.0
