Indicator name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CHF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHF Country Allocation as Fraction of CHF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1536000.0,0.0,0.0,0.0,2984040.0,0.0,5051640.0,0.0,0.0
Cross-Appeal: Amount Received By UN Agencies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Country Humanitarian Funding Received,0.0,479787.0,1.2826271E7,7845663.0,1.2233429E7,2.2891697E7,2.3829637E7,2.1165792E7,1.8257855E7,2.4533384E7,1.9378958E7,1.7261556E7,3.2606841E7,2.4615722E7,2.3928067E7,2.9208127E7,3.7909341E7,1.9901949E7,0.0
Total Country Pooled Fund Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1536000.0,0.0,0.0,0.0,2984040.0,0.0,5051640.0,0.0,0.0
CAP Amount Received,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of CERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00386246306161363,0.0,0.0,0.0,0.00610703991602949,0.0,0.0102262298800379,0.0,0.0
Cross-Appeal: Amount Received,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Requested (Original),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERF Country Allocation as Fraction of ERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Requested (Revised),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAP Amount Required (Revised),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Received By Private Orgs. & Foundations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0792612275644542,0.0,0.0,0.0,0.124708778189229,0.0,0.133255811542596,0.0,0.0
Cross-Appeal: Amount Received By NGOs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
