Indicator name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CHF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHF Country Allocation as Fraction of CHF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299993.0,3000907.0,2996242.0,3521258.0,5972098.0,0.0,7290540.0,3055305.0,2489251.0,2993896.0,0.0,0.0
Cross-Appeal: Amount Received By UN Agencies,0.0,0.0,7.9686906E7,4.5792999E7,1.23728759E8,7.4129112E7,9.98755E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Country Humanitarian Funding Received,0.0,2611218.0,9.5914151E7,5.9001218E7,1.66213379E8,8.9363577E7,1.15279635E8,3.6094299E7,2.6399896E7,1.8652872E7,1.6546782E7,1.6445633E7,8582375.0,1.9678482E7,4799372.0,4157333.0,6405413.0,738552.0,0.0
Total Country Pooled Fund Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299993.0,3000907.0,2996242.0,3521258.0,5972098.0,0.0,7290540.0,3055305.0,2489251.0,2993896.0,0.0,0.0
CAP Amount Received,0.0,0.0,7.9686906E7,4.5792999E7,1.23728759E8,7.4941367E7,1.00835202E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of CERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00117847527691506,0.00845639604908878,0.00702750544478034,0.00885464124701269,0.0143828415304295,0.0,0.0151579138665049,0.0062528885640422,0.00583755647181385,0.00606065925777091,0.0,0.0
Cross-Appeal: Amount Received,0.0,0.0,7.9686906E7,4.5792999E7,1.23728759E8,7.4941367E7,1.00835202E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Requested (Original),0.0,0.0,1.57540306E8,1.20463547E8,1.63389457E8,1.47239028E8,1.57151179E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERF Country Allocation as Fraction of ERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Requested (Revised),0.0,0.0,1.33195034E8,9.2343068E7,1.59963824E8,1.25542804E8,1.56681835E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAP Amount Required (Revised),0.0,0.0,1.33195034E8,9.2343068E7,1.59963824E8,1.25542804E8,1.56681835E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Received By Private Orgs. & Foundations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00831136795314961,0.113671167492478,0.16063167109065,0.212806212108191,0.363141874806522,0.0,0.370482845170679,0.636605164175646,0.59876151369159,0.46740093105628,0.0,0.0
Cross-Appeal: Amount Received By NGOs,0.0,0.0,0.0,0.0,0.0,812255.0,959702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
