Indicator name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CHF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHF Country Allocation as Fraction of CHF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1483541.0,4999968.0,3376068.0,0.0,1654130.0,0.0,5046723.0,398896.0,4829690.0,0.0
Cross-Appeal: Amount Received By UN Agencies,0.0,0.0,0.0,0.0,0.0,0.0,2.189852E7,0.0,0.0,0.0,0.0,1.6341541E7,0.0,0.0,0.0,0.0,1.0101564E7,1.1632192E7,0.0
Total Country Humanitarian Funding Received,0.0,0.0,232250.0,1867710.0,1422600.0,2554715.0,3.9041294E7,1.1052328E7,2057858.0,1.6169951E7,7698014.0,4.8188772E7,1.0954555E7,8377963.0,3042794.0,1.0211265E7,1.8064157E7,1.0898372E7,0.0
Total Country Pooled Fund Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1483541.0,4999968.0,3376068.0,0.0,1654130.0,0.0,5046723.0,398896.0,4829690.0,0.0
CAP Amount Received,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8238535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of CERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00347955620909622,0.0125730414773764,0.00813071906053013,0.0,0.0034391362044515,0.0,0.0118350983930917,8.07500572928312E-4,0.0220178355733064,0.0
Cross-Appeal: Amount Received,0.0,0.0,0.0,0.0,0.0,0.0,2.189852E7,0.0,0.0,0.0,0.0,1.6341541E7,0.0,0.0,0.0,0.0,1.0101564E7,1.316728E7,0.0
Cross-Appeal: Amount Requested (Original),0.0,0.0,0.0,0.0,0.0,0.0,2.467E7,0.0,0.0,0.0,0.0,4.9726095E7,0.0,0.0,0.0,0.0,2.3806581E7,5.669E7,0.0
ERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERF Country Allocation as Fraction of ERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Requested (Revised),0.0,0.0,0.0,0.0,0.0,0.0,3.186E7,0.0,0.0,0.0,0.0,5.0894555E7,0.0,0.0,0.0,0.0,2.3806581E7,5.669E7,0.0
CAP Amount Required (Revised),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.419305E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Received By Private Orgs. & Foundations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0917467838956346,0.64951401751153,0.0700592245845152,0.0,0.197438207831665,0.0,0.49423093025203,0.0220821818588047,0.443157014644022,0.0
Cross-Appeal: Amount Received By NGOs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1535088.0,0.0
ERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
