Indicator name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CHF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHF Country Allocation as Fraction of CHF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,3276605.0,1.7531448E7,4995766.0,3.8506425E7,1.0371212E7,1.1897489E7,7480100.0,8873438.0,8889801.0,267984.0,0.0
Cross-Appeal: Amount Received By UN Agencies,0.0,0.0,0.0,0.0,5273279.0,3.1307279E7,0.0,0.0,1.3473205E7,7.1811239E7,0.0,8.8706191E8,1.57312535E8,5.0957159E7,5.1990217E7,7.2997931E7,1.4390781E7,1.9390013E7,0.0
Total Country Humanitarian Funding Received,0.0,0.0,110174.0,172184.0,4.1699198E7,7.9437841E7,1.5305756E7,2.6687215E7,4.1003445E7,2.20316483E8,3.7583563E7,3.587910194E9,4.9788307E8,1.262354E8,1.34671162E8,2.00418441E8,6.2896171E7,3.2901389E7,879319.0
Total Country Pooled Fund Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,3276605.0,1.7531448E7,4995766.0,1.08971417E8,1.8749803E7,1.3039508E7,8425344.0,1.2091794E7,1.2229785E7,392521.0,0.0
CAP Amount Received,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14684068E8,7.0311344E7,7.2360613E7,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of CERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00392834258437715,0.00923329832494794,0.0411189571052283,0.0125624750256936,0.092736557350259,0.0243365978108257,0.0247363176787577,0.0153085311443185,0.0208091491875022,0.0179959673717427,0.00122169904243894,0.0
Cross-Appeal: Amount Received,0.0,0.0,0.0,0.0,5433279.0,3.2952984E7,0.0,0.0,1.3473205E7,7.3233898E7,0.0,1.101178815E9,2.14684068E8,7.0311344E7,7.2360613E7,9.1486893E7,1.4390781E7,2.6369215E7,0.0
Cross-Appeal: Amount Requested (Original),0.0,0.0,0.0,0.0,1.4400757E7,6.7058378E7,0.0,0.0,9.8079182E7,1.07714621E8,0.0,5.62060654E8,9.10489407E8,2.30544822E8,1.44267E8,1.68974256E8,2.5520762E7,1.93786861E8,0.0
ERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019639564033079,0.0168284312218128,0.00904674124690855,0.00701890431449608,0.016058182989259,0.0531031372323126,0.00378515934388059,0.0
ERF Country Allocation as Fraction of ERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.465692422455462,0.0849617931113116,0.0156562852736099,0.00896096197193872,0.0315842346193499,0.0169673147854667,0.00110013291664258,0.0
Cross-Appeal: Amount Requested (Revised),0.0,0.0,0.0,0.0,1.4400757E7,7.3160898E7,0.0,0.0,9.8355242E7,1.21100791E8,0.0,1.50222133E9,3.82390619E8,1.5108081E8,1.5234381E8,1.57454953E8,2.5520762E7,1.93786861E8,0.0
CAP Amount Required (Revised),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.82390619E8,1.5108081E8,1.5234381E8,0.0,0.0,0.0,0.0
CHF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Received By Private Orgs. & Foundations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2727665E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0374711261553519,0.0799104806925369,0.0795739282021854,0.13292422541205,0.0107322711322021,0.0208306179199867,0.0942484358587211,0.055543442923586,0.0442745585472347,0.141340893390792,0.00814506645904828,0.0
Cross-Appeal: Amount Received By NGOs,0.0,0.0,0.0,0.0,160000.0,1029557.0,0.0,0.0,0.0,1422659.0,0.0,2.0138924E8,5.7371533E7,1.9354185E7,2.0370396E7,1.8488962E7,0.0,6979202.0,0.0
ERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0464992E7,8378591.0,1142019.0,945244.0,3218356.0,3339984.0,124537.0,0.0
