Indicator name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CHF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHF Country Allocation as Fraction of CHF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1904864.0,1255042.0,0.0,6935731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Received By UN Agencies,2.1580886E7,8155538.0,3321314.0,2.1999986E7,2.22452E7,1.0403559E7,0.0,2.8793113E7,0.0,0.0,1.159129E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Country Humanitarian Funding Received,2.1580886E7,2.1635063E7,1.3184336E7,9.0015326E7,4.4746596E7,9.8546088E7,8.91700977E8,1.45988303E8,3.8188445E7,1.6292884E7,7.9678094E7,2.0276882E7,1.5854737E7,1.3959019E7,7063655.0,1.6725956E7,1.7665472E7,3685096.0,0.0
Total Country Pooled Fund Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1904864.0,1255042.0,0.0,6935731.0,2140332.0,1272816.0,1084818.0,851327.0,0.0,0.0,0.0,0.0
CAP Amount Received,2.1580886E7,8155538.0,3321314.0,1.2850221E7,3.0529963E7,1.2131906E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of CERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007482958368647,0.0035366414921357,0.0,0.0174407583286384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Received,2.1580886E7,8155538.0,3321314.0,2.9494982E7,3.0529963E7,1.2131906E7,0.0,4.2759643E7,0.0,0.0,1.5893813E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Requested (Original),4.6239733E7,1.396758E7,1.0796977E7,8.4045884E7,7.2428041E7,4.3211385E7,0.0,1.033895E8,0.0,0.0,3.8031101E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105555282118819,0.080279855793256,0.0777144869564258,0.120522165932509,0.0,0.0,0.0,0.0
ERF Country Allocation as Fraction of ERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141451288881001,0.0129067918055395,0.0148720993940968,0.0080706239581364,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Requested (Revised),4.6239733E7,1.412158E7,1.0796977E7,8.407397E7,5.5456902E7,4.0448236E7,0.0,8.0111735E7,0.0,0.0,3.8031101E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAP Amount Required (Revised),4.6239733E7,1.412158E7,1.0796977E7,4.0823558E7,5.5456902E7,4.0448236E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Received By Private Orgs. & Foundations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0130480590626497,0.0328644436818519,0.0,0.0870468989883217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Received By NGOs,0.0,0.0,0.0,2109996.0,8284763.0,1728347.0,0.0,1529653.0,0.0,0.0,4302523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2140332.0,1272816.0,1084818.0,851327.0,0.0,0.0,0.0,0.0
