Indicator name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CHF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHF Country Allocation as Fraction of CHF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4742070.0,1895820.0,574955.0,645959.0,4036468.0,6220011.0,0.0,0.0,0.0,4782918.0,0.0
Cross-Appeal: Amount Received By UN Agencies,0.0,0.0,0.0,1130382.0,2308139.0,0.0,0.0,0.0,1.6990318E7,0.0,0.0,0.0,0.0,2.3655699E7,0.0,0.0,0.0,0.0,0.0
Total Country Humanitarian Funding Received,0.0,0.0,0.0,8229324.0,2208283.0,2377891.0,5232640.0,6520054.0,1.9312487E7,3640286.0,870231.0,645959.0,6635315.0,2.8331509E7,3974855.0,512907.0,1308580.0,6033854.0,0.0
Total Country Pooled Fund Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4742070.0,1895820.0,574955.0,645959.0,4036468.0,6220011.0,0.0,0.0,0.0,4782918.0,0.0
CAP Amount Received,0.0,0.0,0.0,1130382.0,2308139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of CERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0133629006205465,0.00444653181295885,0.00144579586561853,0.00155568879347839,0.00947178577511172,0.0129321546808211,0.0,0.0,0.0,0.0218046090089856,0.0
Cross-Appeal: Amount Received,0.0,0.0,0.0,1130382.0,2308139.0,0.0,0.0,0.0,1.7340318E7,0.0,0.0,0.0,0.0,2.3805699E7,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Requested (Original),0.0,0.0,0.0,4.1033465E7,5972440.0,0.0,0.0,0.0,2.2765106E7,0.0,0.0,0.0,0.0,3.8458738E7,0.0,0.0,0.0,0.0,0.0
ERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERF Country Allocation as Fraction of ERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Requested (Revised),0.0,0.0,0.0,5532050.0,3661253.0,0.0,0.0,0.0,2.2815106E7,0.0,0.0,0.0,0.0,3.8458738E7,0.0,0.0,0.0,0.0,0.0
CAP Amount Required (Revised),0.0,0.0,0.0,5532050.0,3661253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Received By Private Orgs. & Foundations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.245544242955348,0.520788751213504,0.66069239087093,1.0,0.608331028745433,0.219543936046612,0.0,0.0,0.0,0.792680432771492,0.0
Cross-Appeal: Amount Received By NGOs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350000.0,0.0,0.0,0.0,0.0,150000.0,0.0,0.0,0.0,0.0,0.0
ERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
