Indicator name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CHF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHF Country Allocation as Fraction of CHF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2489628E7,2.4609716E7,1.4301174E7,1.2143772E7,1.3741648E7,0.0,0.0
Cross-Appeal: Amount Received By UN Agencies,0.0,0.0,0.0,0.0,0.0,0.0,5.8676069E7,0.0,0.0,0.0,0.0,0.0,9.5769475E7,2.8224041E8,2.61563608E8,1.49232298E8,1.88845829E8,4.9837607E7,0.0
Total Country Humanitarian Funding Received,0.0,0.0,883822.0,1907810.0,95778.0,3140195.0,1.12559642E8,7.9737682E7,4.6593063E7,6.5731046E7,6.0060024E7,3.67015762E8,1.77938746E8,4.33192389E8,3.43411071E8,2.97679065E8,3.46739958E8,9.9718972E7,0.0
Total Country Pooled Fund Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2489628E7,2.4609716E7,1.4301174E7,1.2143772E7,1.3741648E7,0.0,0.0
CAP Amount Received,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16113607E8,3.12729054E8,2.88128878E8,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of CERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029307573063093,0.0511665741367784,0.029268320955511,0.0284784277804174,0.0278177485684971,0.0,0.0
Cross-Appeal: Amount Received,0.0,0.0,0.0,0.0,0.0,0.0,5.9189713E7,0.0,0.0,0.0,0.0,0.0,1.16113607E8,3.12729054E8,2.88128878E8,1.72955419E8,2.0948174E8,7.1087003E7,0.0
Cross-Appeal: Amount Requested (Original),0.0,0.0,0.0,0.0,0.0,0.0,1.6191E7,0.0,0.0,0.0,0.0,0.0,1.87041759E8,2.29150372E8,3.54414493E8,3.90922652E8,3.75720263E8,3.15985017E8,0.0
ERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERF Country Allocation as Fraction of ERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Requested (Revised),0.0,0.0,0.0,0.0,0.0,0.0,8.1393876E7,0.0,0.0,0.0,0.0,0.0,2.15926795E8,4.89640803E8,3.55277959E8,3.05236428E8,3.75720263E8,3.16487829E8,0.0
CAP Amount Required (Revised),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15926795E8,4.89640803E8,3.55277959E8,0.0,0.0,0.0,0.0
CHF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Received By Private Orgs. & Foundations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0701906036811117,0.0568101301521251,0.0416444756960092,0.040794847296366,0.0396309905534452,0.0,0.0
Cross-Appeal: Amount Received By NGOs,0.0,0.0,0.0,0.0,0.0,0.0,513644.0,0.0,0.0,0.0,0.0,0.0,2.0344132E7,3.0488644E7,2.656527E7,2.3723121E7,2.0635911E7,2.1249396E7,0.0
ERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
