Indicator name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CHF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHF Country Allocation as Fraction of CHF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1098577E7,3398054.0,1.8996703E7,1.3440519E7,1.5410406E7,1.2920667E7,1.5099387E7,6497013.0,8276986.0,8000692.0,0.0
Cross-Appeal: Amount Received By UN Agencies,0.0,1.53103893E8,2.47549604E8,2.16159426E8,1.28942444E8,1.44729311E8,0.0,0.0,1.223118E7,0.0,0.0,0.0,7.2995907E7,1.03886477E8,0.0,0.0,2.1030488E7,9271380.0,0.0
Total Country Humanitarian Funding Received,0.0,2.24117799E8,3.77610936E8,3.6083524E8,1.84662681E8,2.99515453E8,4.6659807E7,3.4038647E7,1.09465053E8,5.6321964E7,6.1329694E7,2.4492052E7,8.9234489E7,1.17793008E8,6.2796881E7,3.1038229E7,3.2696354E7,1.9554953E7,0.0
Total Country Pooled Fund Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1098577E7,3398054.0,1.8996703E7,1.3440519E7,1.5410406E7,1.2920667E7,1.5099387E7,6497013.0,8276986.0,8000692.0,0.0
CAP Amount Received,0.0,1.53103893E8,2.47968452E8,2.20007418E8,1.33102979E8,1.5150818E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of CERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0312751986960301,0.00796993132953133,0.0477695726757454,0.0323693373524222,0.0361613332099985,0.0268636284121331,0.0309019179088004,0.0152361816006537,0.0167554223083702,0.036473960218703,0.0
Cross-Appeal: Amount Received,0.0,1.53103893E8,2.47968452E8,2.20007418E8,1.33102979E8,1.5150818E8,0.0,0.0,1.3125458E7,0.0,0.0,0.0,7.2995907E7,1.03886477E8,0.0,0.0,2.1030488E7,9271380.0,0.0
Cross-Appeal: Amount Requested (Original),0.0,3.13757503E8,3.86339454E8,2.58136111E8,2.25291675E8,2.21224079E8,0.0,0.0,1.4102922E7,0.0,0.0,0.0,2.1874E8,1.98066562E8,0.0,0.0,1.10895E8,1.21734022E8,0.0
ERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERF Country Allocation as Fraction of ERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Requested (Revised),0.0,3.13757503E8,3.83984914E8,2.46990271E8,2.29366712E8,2.08798739E8,0.0,0.0,1.4527967E7,0.0,0.0,0.0,2.1874E8,1.98066562E8,0.0,0.0,1.10895E8,1.21734022E8,0.0
CAP Amount Required (Revised),0.0,3.13757503E8,3.83984914E8,2.46990271E8,2.29366712E8,2.08798739E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Received By Private Orgs. & Foundations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101389226020838,0.060332661694823,0.30974723271895,0.548770637919599,0.172695626687569,0.109689592102105,0.240448040723551,0.209322928830765,0.253147063430987,0.409138902046965,0.0
Cross-Appeal: Amount Received By NGOs,0.0,0.0,418848.0,3847992.0,4160535.0,6778869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
