Indicator name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CHF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHF Country Allocation as Fraction of CHF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4829402.0,6185459.0,4988364.0,9409055.0,0.0,3972686.0,3630111.0,7590831.0,1.0825145E7,0.0,0.0,0.0
Cross-Appeal: Amount Received By UN Agencies,0.0,0.0,0.0,0.0,1.7586311E8,1.7290654E8,1.9213462E8,2.70771789E8,2.69754806E8,3.14515547E8,5.86914058E8,2.90427879E8,2.5523944E8,2.609389E8,2.2578635E8,4.47817508E8,3.57685796E8,1.1094969E8,0.0
Total Country Humanitarian Funding Received,0.0,6663372.0,6.97604254E8,4.3760453E7,2.27790491E8,2.97396413E8,2.43386778E8,4.52349016E8,3.62844035E8,5.07995969E8,8.44391042E8,4.07560701E8,5.35617116E8,5.61437115E8,4.29986868E8,9.11399692E8,5.94341924E8,2.85205055E8,861744.0
Total Country Pooled Fund Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4829402.0,7743196.0,8022569.0,1.5858042E7,2315887.0,6639798.0,9159762.0,1.1564234E7,2.4754578E7,7536399.0,200257.0,0.0
CAP Amount Received,0.0,0.0,0.0,0.0,1.7586311E8,1.73972891E8,1.95738011E8,2.73978354E8,2.77353698E8,3.37058442E8,6.3678521E8,3.29737701E8,3.05361307E8,3.05772038E8,2.69739249E8,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of CERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0189715455336762,0.0174302939242704,0.0116999078080296,0.023660239181114,0.0,0.00932211793671732,0.00754743953998636,0.0155351496336624,0.0253861082120981,0.0,0.0,0.0
Cross-Appeal: Amount Received,0.0,0.0,0.0,0.0,1.7586311E8,1.73972891E8,1.95738011E8,2.73978354E8,2.77353698E8,3.37058442E8,6.3678521E8,3.29737701E8,3.05361307E8,3.05772038E8,2.69739249E8,5.02598513E8,3.99562983E8,1.22133418E8,0.0
Cross-Appeal: Amount Requested (Original),0.0,0.0,0.0,0.0,2.93798762E8,3.05133153E8,3.02501889E8,2.15179371E8,4.54691782E8,4.62121404E8,4.63363555E8,6.64473688E8,5.75555668E8,4.16701603E8,3.74277416E8,3.90338824E8,7.05288765E8,5.71414014E8,0.0
ERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00429313106938633,0.00597289188332122,0.00763744127925033,0.0056823118478246,0.00497951226786412,0.00984910126577578,0.00924075430136159,0.0152835612325399,0.012680241281448,7.02150948902361E-4,0.0
ERF Country Allocation as Fraction of ERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4508225282622,0.157914883695271,0.22933253287856,0.0153053452012471,0.0270454325731733,0.0758076647757196,0.0376680657927342,0.136700377455606,0.0382853493255884,0.0017690270159719,0.0
Cross-Appeal: Amount Requested (Revised),0.0,0.0,0.0,0.0,2.93774854E8,3.0047925E8,3.01452508E8,3.9488381E8,4.26324665E8,4.52223961E8,8.04522005E8,6.03408539E8,5.36927963E8,4.19907202E8,4.0083974E8,9.31086454E8,7.0605111E8,5.70702496E8,0.0
CAP Amount Required (Revised),0.0,0.0,0.0,0.0,2.93774854E8,3.0047925E8,3.01452508E8,3.9488381E8,4.26324665E8,4.52223961E8,8.04522005E8,6.03408539E8,5.36927963E8,4.19907202E8,4.0083974E8,0.0,0.0,0.0,0.0
CHF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Received By Private Orgs. & Foundations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2791721.0,2384228.0,2446416.0,1659674.0,2829429.0,907226.0,951970.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0106762739150073,0.017047156362926,0.0098196920928717,0.0111430066544927,0.0,0.00741702585919603,0.00646574817199251,0.0176536344826233,0.0118774946875887,0.0,0.0,0.0
Cross-Appeal: Amount Received By NGOs,0.0,0.0,0.0,0.0,0.0,1066351.0,3603391.0,3206565.0,7598892.0,1.9751174E7,4.7486924E7,3.6863406E7,4.8462193E7,4.2003709E7,4.3045673E7,5.3829035E7,4.1877187E7,1.1183728E7,0.0
ERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1557737.0,3034205.0,6448987.0,2315887.0,2667112.0,5529651.0,3973403.0,1.3929433E7,7536399.0,200257.0,0.0
