Indicator name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CHF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0433724238895189,0.0628111094439289,0.106230280669265,0.0476574619990422,0.0502207555575744,0.0557364453143334,0.00665835425752708,0.0
CHF Country Allocation as Fraction of CHF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0829208269215909,0.238694752749229,0.242663197753845,0.119407686276713,0.10355945358319,0.101251496205095,0.0458871920625774,0.0
CERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6459255E7,1.5664775E7,1.1721943E7,6.0534026E7,0.0,5.2953336E7,0.0,2.1203013E7,2.1443999E7,2.5289318E7,1.1006303E7,0.0
Cross-Appeal: Amount Received By UN Agencies,0.0,3.6168801E7,3.0473727E7,4.2962844E7,4.528168E7,5.795659E7,7.5311186E7,1.47871968E8,2.28625697E8,3.80977877E8,5.00455137E8,3.5080757E8,7.4240481E8,4.9481114E8,4.20167977E8,3.49469943E8,3.10819901E8,1.39403638E8,0.0
Total Country Humanitarian Funding Received,0.0,4.6239741E7,5.4690564E7,7.7588298E7,6.5447468E7,1.09576001E8,1.61976556E8,2.76677659E8,3.66925557E8,6.33967758E8,6.94806066E8,4.5872887E8,1.350348955E9,8.41543837E8,6.72106941E8,6.71971531E8,5.81523002E8,2.56162399E8,0.0
Total Country Pooled Fund Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6459255E7,1.6324978E7,2.4253046E7,7.0191436E7,3.6512235E7,1.37770252E8,8.9397438E7,5.3233924E7,5.5190917E7,5.7701343E7,1.2711923E7,0.0
CAP Amount Received,0.0,3.6168801E7,3.0473727E7,4.2962844E7,4.528168E7,7.1896418E7,9.9008348E7,1.86545623E8,3.07890809E8,4.89871835E8,5.59079705E8,3.99887391E8,8.6813957E8,6.12309578E8,5.86131426E8,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of CERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0646575923236226,0.0441425013903679,0.0274931124575067,0.152220338148281,0.0,0.124257805256851,0.0,0.0433934018079825,0.0502884422438797,0.051194142768958,0.0501760919901668,0.0
Cross-Appeal: Amount Received,0.0,3.6168801E7,3.0473727E7,4.2962844E7,4.528168E7,7.1896418E7,9.9008348E7,2.00233695E8,3.07890809E8,4.89871835E8,5.59079705E8,3.99887391E8,8.6813957E8,6.12309578E8,5.86131426E8,4.53898725E8,3.7754811E8,1.61333609E8,0.0
Cross-Appeal: Amount Requested (Original),0.0,5.0552783E7,1.29555919E8,8.3683971E7,7.7824105E7,1.10616825E8,1.6446317E8,2.0273329E8,2.37112824E8,4.06235651E8,9.1884455E8,6.89008615E8,5.29520029E8,1.521930554E9,1.332496301E9,9.33070303E8,8.62579628E8,8.85189342E8,0.0
ERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00179928322627034,0.0197661518931693,0.0138994324784723,0.0362219452200599,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERF Country Allocation as Fraction of ERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191068444561751,0.652179952514237,0.343427316002767,0.109812962265375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Requested (Revised),0.0,5.0552783E7,1.40442999E8,8.2591643E7,7.146595E7,1.20026299E8,1.62757335E8,3.52371018E8,3.83875152E8,6.62543578E8,8.51842253E8,5.96124332E8,1.003322063E9,1.167739803E9,1.153087668E9,9.33070303E8,8.62579628E8,8.85189342E8,0.0
CAP Amount Required (Revised),0.0,5.0552783E7,1.40442999E8,8.2591643E7,7.146595E7,1.20026299E8,1.62757335E8,3.23754543E8,3.83875152E8,6.62543578E8,8.51842253E8,5.96124332E8,1.003322063E9,1.167739803E9,1.153087668E9,0.0,0.0,0.0,0.0
CHF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9896183E7,8.4816916E7,8.9397438E7,3.2030911E7,3.3746918E7,3.2412025E7,1705620.0,0.0
Cross-Appeal: Amount Received By Private Orgs. & Foundations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,782000.0,177204.0,147968.0,522990.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0594889195589153,0.0426919703497241,0.0184898093823882,0.0871236291135086,0.0,0.0392145569513178,0.0,0.0315470823265906,0.031912064738945,0.0434880785678706,0.0429661146326163,0.0
Cross-Appeal: Amount Received By NGOs,0.0,0.0,0.0,0.0,0.0,1.3939828E7,2.3697162E7,5.2361727E7,7.9265112E7,1.08111958E8,5.8447364E7,4.8931853E7,1.2521177E8,1.17498438E8,1.65963449E8,1.04428782E8,6.6728209E7,2.1929971E7,0.0
ERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660203.0,1.2531103E7,9657410.0,1.6616052E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
