Indicator name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CHF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138442613014499,0.125034859178374,0.0985946582634906,0.0695771387580558,0.0684443033456014,0.071361854033761,0.0
CHF Country Allocation as Fraction of CHF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.186186540838983,0.294354350571758,0.337047373396764,0.424287828481192,0.294105973828983,0.834081489004704,0.0
CERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2766954E7,4.0044091E7,1.1586879E7,4.021387E7,2.6903806E7,1.8188094E7,0.0
Cross-Appeal: Amount Received By UN Agencies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.01492581E8,6.3851803E8,5.52960729E8,1.324880281E9,7.69103258E8,2.64658034E8,0.0
Total Country Humanitarian Funding Received,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7787917E8,8.67282346E8,9.17011049E8,1.987185338E9,1.375533761E9,4.34443351E8,0.0
Total Country Pooled Fund Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3707054E7,1.48484617E8,1.0199927E8,1.7847654E8,1.21051256E8,4.9190777E7,0.0
CAP Amount Received,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7776078E8,7.87277734E8,7.71920359E8,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of CERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0534238624063966,0.0832565053124303,0.0237133324470194,0.0943057719270499,0.0544624131576957,0.0829168048226367,0.0
Cross-Appeal: Amount Received,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7776078E8,7.87277734E8,7.71920359E8,1.592116242E9,1.069296843E9,3.50610334E8,0.0
Cross-Appeal: Amount Requested (Original),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65424039E8,7.62882505E8,1.157010851E9,1.101369452E9,1.807069154E9,1.285860205E9,0.0
ERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010005163020602,0.0,0.0,0.0,0.0,0.0,0.0
ERF Country Allocation as Fraction of ERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0484836099494052,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Requested (Revised),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19673235E8,1.176892213E9,1.07203743E9,1.801753424E9,1.635521095E9,1.285860205E9,0.0
CAP Amount Required (Revised),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19673235E8,1.176892213E9,1.07203743E9,0.0,0.0,0.0,0.0
CHF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6158841E7,1.08440526E8,9.0412391E7,1.3826267E8,9.414745E7,3.1002683E7,0.0
Cross-Appeal: Amount Received By Private Orgs. & Foundations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627350.0,0.0,1376700.0,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0476416538515374,0.0461719198882436,0.0126354846134466,0.0202365975790025,0.0195588118320274,0.0418652833750009,0.0
Cross-Appeal: Amount Received By NGOs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5640849E7,1.48759704E8,2.1758293E8,2.67235961E8,3.00193585E8,8.59523E7,0.0
ERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4781259.0,0.0,0.0,0.0,0.0,0.0,0.0
