Indicator name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CHF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHF Country Allocation as Fraction of CHF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119814.0,7647237.0,0.0,941309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Received By UN Agencies,0.0,2.7025498E7,5.8593052E7,7.2545685E7,4.8648655E7,1.7128177E7,0.0,63613.0,0.0,1.3031997E7,2.4535997E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Country Humanitarian Funding Received,15080.0,4.6772875E7,7.5775295E7,9.394437E7,6.2162224E7,3.6211279E7,1.8145191E7,1.8226573E7,2.0930593E7,7.3697751E7,4.0487106E7,1.9737998E7,9350785.0,2.6592169E7,4106652.0,7464681.0,8056032.0,4406860.0,0.0
Total Country Pooled Fund Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119814.0,7647237.0,0.0,941309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAP Amount Received,0.0,2.7025498E7,5.8593052E7,7.2545685E7,4.8648655E7,2.1467026E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of CERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.37629468765784E-4,0.0179361345495543,0.0,0.00226699196466083,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Received,0.0,2.7025498E7,5.8593052E7,7.2545685E7,4.8648655E7,2.1467026E7,0.0,63613.0,0.0,1.5391103E7,2.8838739E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Requested (Original),0.0,3.484182E7,8.2014432E7,7.6556685E7,6.2006309E7,5.3669456E7,0.0,1000000.0,0.0,2.5303587E7,3.6203449E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERF Country Allocation as Fraction of ERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Requested (Revised),0.0,3.484182E7,7.7989949E7,7.6556685E7,6.1968685E7,3.9161698E7,0.0,1000000.0,0.0,2.6914132E7,4.1369868E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAP Amount Required (Revised),0.0,3.484182E7,7.7989949E7,7.6556685E7,6.1968685E7,3.9161698E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Received By Private Orgs. & Foundations,0.0,0.0,0.0,0.0,0.0,1702200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00572434808703222,0.103764862512562,0.0,0.0476901963410879,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Received By NGOs,0.0,0.0,0.0,0.0,0.0,2616649.0,0.0,0.0,0.0,2359106.0,4302742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
