Indicator name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CHF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHF Country Allocation as Fraction of CHF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3001015E7,5681929.0,1191321.0,0.0,0.0,6887544.0,8974220.0,4235849.0,152466.0,1.3825027E7,0.0
Cross-Appeal: Amount Received By UN Agencies,0.0,1.7237656E7,3.5451595E7,4.2503632E7,1.2356718E8,1.12291217E8,1.41156625E8,2.17507558E8,2.59145647E8,2.30016373E8,1.79379747E8,9.2648672E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Country Humanitarian Funding Received,0.0,1.9625415E7,4.0154113E7,5.5995273E7,1.36297676E8,1.54698591E8,1.98631966E8,2.90814766E8,3.25447632E8,3.10248774E8,2.10697524E8,1.16911374E8,5.1962703E7,3.6676E7,5.6693402E7,1.76977781E8,1.41479251E8,7.9755508E7,0.0
Total Country Pooled Fund Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3001015E7,5681929.0,1191321.0,0.0,0.0,6887544.0,8974220.0,4285849.0,152466.0,1.3825027E7,0.0
CAP Amount Received,0.0,1.7237656E7,3.5451595E7,4.2503632E7,1.2356718E8,1.12291217E8,1.46212606E8,2.25981865E8,2.79512549E8,2.65384427E8,1.88185867E8,9.9109148E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of CERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0366361676253692,0.0133266228109596,0.0029957248418129,0.0,0.0,0.0143200364724373,0.018366348894529,0.00993351323091815,3.08642810035919E-4,0.0630262338333353,0.0
Cross-Appeal: Amount Received,0.0,1.7237656E7,3.5451595E7,4.2503632E7,1.2356718E8,1.12291217E8,1.46212606E8,2.25981865E8,2.99917889E8,2.65384427E8,1.88185867E8,9.9109148E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Requested (Original),0.0,5.4370559E7,7.8710115E7,6.810341E7,8.8538479E7,1.27901055E8,1.57686167E8,2.22603257E8,3.37400922E8,3.73943491E8,2.25288099E8,1.97284395E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.82521340913411E-4,0.0,0.0,0.0
ERF Country Allocation as Fraction of ERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.90688951429704E-4,0.0,0.0,0.0
Cross-Appeal: Amount Requested (Revised),0.0,2.741438E7,7.9814162E7,6.8114892E7,1.4813567E8,1.42880013E8,1.88777892E8,2.63446401E8,3.91990668E8,3.74363536E8,2.47000305E8,1.84398188E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAP Amount Required (Revised),0.0,2.741438E7,7.9814162E7,6.8114892E7,1.4813567E8,1.42880013E8,1.88777892E8,2.63446401E8,3.50520867E8,3.74363536E8,2.47000305E8,1.84398188E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Received By Private Orgs. & Foundations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950117.0,568424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039948101389166,0.018314106214647,0.00565417655311412,0.0,0.0,0.187794306903697,0.158293905170835,0.0239343547877346,0.00107765625646407,0.173342598482352,0.0
Cross-Appeal: Amount Received By NGOs,0.0,0.0,0.0,0.0,0.0,0.0,5055981.0,8474307.0,3.9822125E7,3.9830978E7,8806120.0,6460476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0
