Indicator name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CHF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHF Country Allocation as Fraction of CHF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3434576.0,8206847.0,8433052.0,1.4539112E7,1.4834581E7,2.3460436E7,1.8801314E7,1.3897833E7,4.4250104E7,0.0,0.0
Cross-Appeal: Amount Received By UN Agencies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5113261.0,1.9494421E7,1.12986667E8,1.8234E8,2.52004317E8,3.16039456E8,2.84119456E8,7.72195223E8,2.42741941E8,0.0
Total Country Humanitarian Funding Received,0.0,0.0,1972800.0,1687620.0,4651309.0,3968279.0,7193475.0,3799044.0,9555125.0,1.36927583E8,1.61169821E8,1.41279835E8,2.99589965E8,4.25384621E8,4.52957103E8,4.3015896E8,1.800402148E9,3.4583831E8,0.0
Total Country Pooled Fund Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3434576.0,8206847.0,8433052.0,1.4777342E7,1.8571014E7,3.1930688E7,2.8367235E7,2.5814634E7,8.0425546E7,1.7008848E7,0.0
CAP Amount Received,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21373286E8,1.94389288E8,3.25072529E8,3.9584488E8,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of CERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00967845218685389,0.0192486661547963,0.0212059582335071,0.0350151226401786,0.0348101293743794,0.0487770821034727,0.038478162180066,0.0325918860626502,0.0895771938854674,0.0,0.0
Cross-Appeal: Amount Received,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5113261.0,1.9892511E7,1.21373286E8,1.94389288E8,3.25072529E8,3.9584488E8,3.56047226E8,9.264941E8,2.93962815E8,0.0
Cross-Appeal: Amount Requested (Original),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.148315E7,2.375E7,1.80596567E8,2.24874248E8,4.471382E8,7.1657272E8,5.91616992E8,7.47517644E8,1.7992E9,0.0
ERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00168622790364952,0.0124718229464061,0.019911984547274,0.0211188232542188,0.0277032495150165,0.0200929786937801,0.0491815033447278,0.0
ERF Country Allocation as Fraction of ERF Global Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00157442586244194,0.0378887151217045,0.116121256871703,0.0906854254642929,0.116948851741729,0.183773368949489,0.150252483671281,0.0
Cross-Appeal: Amount Requested (Revised),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5113261.0,2.26685E7,1.8612137E8,2.923097E8,5.85602868E8,7.05769562E8,5.95983384E8,1.600821448E9,1.7992E9,0.0
CAP Amount Required (Revised),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8612137E8,2.923097E8,5.85602868E8,7.05769562E8,0.0,0.0,0.0,0.0
CHF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Appeal: Amount Received By Private Orgs. & Foundations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERF Country Allocation as Fraction of Total Country Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.359448568176764,0.0599356741731138,0.052324014183772,0.102910029587733,0.0495162813614268,0.0551511146426706,0.0415079350240369,0.0323085981982103,0.0245779000259224,0.0,0.0
Cross-Appeal: Amount Received By NGOs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398090.0,8111783.0,1.2049288E7,7.3068212E7,7.9805424E7,7.192777E7,1.03960549E8,5.1220874E7,0.0
ERF Total Allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238230.0,3736433.0,8470252.0,9565921.0,1.1916801E7,3.6175442E7,1.7008848E7,0.0
