Country code,Country name,2511
AGO,ANGOLA,null
ALB,ALBANIA,null
AND,ANDORRA,null
ARE,UNITED ARAB EMIRATES,null
ARG,ARGENTINA,null
ARM,ARMENIA,null
AUS,AUSTRALIA,null
AUT,AUSTRIA,null
BFA,BURKINA FASO,null
BGD,BANGLADESH,null
BHR,BAHRAIN,null
BHS,BAHAMAS,null
BLZ,BELIZE,null
BOL,BOLIVIA,null
BRA,BRAZIL,null
BRB,BARBADOS,null
CAF,CENTRAL AFRICAN REPUBLIC,null
CHE,SWITZERLAND,null
CHL,CHILE,null
CHN,CHINA,null
COG,CONGO,null
COL,COLOMBIA,null
COM,COMOROS,null
CPV,CAPE VERDE,null
CRI,COSTA RICA,null
CUB,CUBA,null
CYP,CYPRUS,null
CZE,CZECH REPUBLIC,null
DEU,GERMANY,null
DJI,DJIBOUTI,null
DMA,DOMINICA,null
DNK,DENMARK,null
DOM,DOMINICAN REPUBLIC,null
DZA,ALGERIA,null
ECU,ECUADOR,null
EGY,EGYPT,null
ESP,SPAIN,null
ETH,ETHIOPIA,null
FIN,FINLAND,null
FJI,FIJI,null
FRA,FRANCE,null
FSM,"MICRONESIA, FEDERATED STATES OF",null
GBR,UNITED KINGDOM,null
GHA,GHANA,null
GMB,GAMBIA,null
GNB,GUINEA-BISSAU,null
GNQ,EQUATORIAL GUINEA,null
GRC,GREECE,null
HND,HONDURAS,null
HRV,CROATIA (LOCAL NAME: HRVATSKA),null
HUN,HUNGARY,null
IRN,IRAN (ISLAMIC REPUBLIC OF),null
IRQ,IRAQ,null
ISL,ICELAND,null
ISR,ISRAEL,null
ITA,ITALY,null
JOR,JORDAN,null
JPN,JAPAN,null
KEN,KENYA,null
KGZ,KYRGYZSTAN,null
KHM,CAMBODIA,null
KIR,KIRIBATI,null
KOR,"KOREA, REPUBLIC OF",null
KWT,KUWAIT,null
LBN,LEBANON,null
LSO,LESOTHO,null
LTU,LITHUANIA,null
LUX,LUXEMBURG,null
LVA,LATVIA,null
MAR,MOROCCO,null
MCO,MONACO,null
MDA,"MOLDOVA, REPUBLIC OF",null
MDG,MADAGASCAR,null
MDV,MALDIVES,null
MEX,MEXICO,null
MHL,MARSHALL ISLANDS,null
MLT,MALTA,null
MMR,MYANMAR (Burma) ,null
MNG,MONGOLIA,null
MOZ,MOZAMBIQUE,null
MUS,MAURITIUS,null
NAM,NAMIBIA,null
NER,NIGER,null
NIC,NICARAGUA,null
NIU,NIUE,null
NOR,NORWAY,null
NRU,NAURU,null
NZL,NEW ZEALAND,null
OMN,OMAN,null
PAK,PAKISTAN,null
PAN,PANAMA,null
PHL,PHILIPPINES,null
PLW,PALAU,null
POL,POLAND,null
PRK,"KOREA, D.P.R.O.",null
PRT,PORTUGAL,null
PRY,PARAGUAY,null
QAT,QATAR,null
ROU,ROMANIA,null
RUS,RUSSIA,null
SEN,SENEGAL,null
SGP,SINGAPORE,null
SLB,SOLOMON ISLANDS,null
SLE,SIERRA LEONE,null
SLV,EL SALVADOR,null
SMR,SAN MARINO,null
SOM,SOMALIA,null
SRB,SERBIA,null
SSD,SOUTH SUDAN,null
STP,SAO TOME AND PRINCIPE,null
SUR,SURINAME,null
SVK,SLOVAKIA (SLOVAK REPUBLIC),null
SVN,SLOVENIA,null
SWE,SWEDEN,null
SWZ,SWAZILAND,null
SYC,SEYCHELLES,null
TCD,CHAD,null
TGO,TOGO,null
THA,THAILAND,null
TKM,TURKMENISTAN,null
TON,TONGA,null
TTO,TRINIDAD AND TOBAGO,null
TUN,TUNISIA,null
TUR,TURKEY,null
TUV,TUVALU,null
TZA,"TANZANIA, UNITED REPUBLIC OF",null
UKR,UKRAINE,null
URY,URUGUAY,null
USA,UNITED STATES,null
VAT,HOLY SEE (VATICAN CITY STATE),null
VEN,VENEZUELA,null
VNM,VIET NAM,null
VUT,VANUATU,null
WSM,SAMOA,null
ZAF,SOUTH AFRICA,null
ZMB,ZAMBIA,null
