Country code,Country name,2511
AFG,AFGHANISTAN,null
AGO,ANGOLA,null
ALB,ALBANIA,null
AND,ANDORRA,null
ARE,UNITED ARAB EMIRATES,null
ARG,ARGENTINA,null
ARM,ARMENIA,null
ATG,ANTIGUA AND BARBUDA,null
AUS,AUSTRALIA,null
AUT,AUSTRIA,null
AZE,AZERBAIJAN,null
BDI,BURUNDI,null
BEL,BELGIUM,null
BEN,BENIN,null
BFA,BURKINA FASO,null
BGD,BANGLADESH,null
BGR,BULGARIA,null
BHR,BAHRAIN,null
BHS,BAHAMAS,null
BIH,BOSNIA AND HERZEGOWINA,null
BLR,BELARUS,null
BLZ,BELIZE,null
BOL,BOLIVIA,null
BRA,BRAZIL,null
BRB,BARBADOS,null
BRN,BRUNEI DARUSSALAM,null
BTN,BHUTAN,null
BWA,BOTSWANA,null
CAF,CENTRAL AFRICAN REPUBLIC,null
CAN,CANADA,null
CHE,SWITZERLAND,null
CHL,CHILE,null
CHN,CHINA,null
CIV,COTE D'IVOIRE,null
CMR,CAMEROON,null
COD,"CONGO, THE DRC",null
COG,CONGO,null
COK,COOK ISLANDS,null
COL,COLOMBIA,null
COM,COMOROS,null
CPV,CAPE VERDE,null
CRI,COSTA RICA,null
CUB,CUBA,null
CYP,CYPRUS,null
CZE,CZECH REPUBLIC,null
DEU,GERMANY,null
DJI,DJIBOUTI,null
DMA,DOMINICA,null
DNK,DENMARK,null
DOM,DOMINICAN REPUBLIC,null
DZA,ALGERIA,null
ECU,ECUADOR,null
EGY,EGYPT,null
ERI,ERITREA,null
ESP,SPAIN,null
EST,ESTONIA,null
ETH,ETHIOPIA,null
FIN,FINLAND,null
FJI,FIJI,null
FRA,FRANCE,null
FSM,"MICRONESIA, FEDERATED STATES OF",null
GAB,GABON,null
GBR,UNITED KINGDOM,null
GEO,GEORGIA,null
GHA,GHANA,null
GIN,GUINEA,null
GMB,GAMBIA,null
GNB,GUINEA-BISSAU,null
GNQ,EQUATORIAL GUINEA,null
GRC,GREECE,null
GRD,GRENADA,null
GTM,GUATEMALA,null
GUY,GUYANA,null
HND,HONDURAS,null
HRV,CROATIA (LOCAL NAME: HRVATSKA),null
HTI,HAITI,null
HUN,HUNGARY,null
IDN,INDONESIA,null
IND,INDIA,null
IRL,IRELAND,null
IRN,IRAN (ISLAMIC REPUBLIC OF),null
IRQ,IRAQ,null
ISL,ICELAND,null
ISR,ISRAEL,null
ITA,ITALY,null
JAM,JAMAICA,null
JOR,JORDAN,null
JPN,JAPAN,null
KAZ,KAZAKHSTAN,null
KEN,KENYA,null
KGZ,KYRGYZSTAN,null
KHM,CAMBODIA,null
KIR,KIRIBATI,null
KNA,SAINT KITTS AND NEVIS,null
KOR,"KOREA, REPUBLIC OF",null
KWT,KUWAIT,null
LAO,LAOS ,null
LBN,LEBANON,null
LBR,LIBERIA,null
LBY,LIBYA,null
LCA,SAINT LUCIA,null
LIE,LIECHTENSTEIN,null
LKA,SRI LANKA,null
LSO,LESOTHO,null
LTU,LITHUANIA,null
LUX,LUXEMBURG,null
LVA,LATVIA,null
MAR,MOROCCO,null
MCO,MONACO,null
MDA,"MOLDOVA, REPUBLIC OF",null
MDG,MADAGASCAR,null
MDV,MALDIVES,null
MEX,MEXICO,null
MHL,MARSHALL ISLANDS,null
MKD,MACEDONIA,null
MLI,MALI,null
MLT,MALTA,null
