Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
ABW,ARUBA,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,
AFG,AFGHANISTAN,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,
AGO,ANGOLA,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,
ALB,ALBANIA,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,
AND,ANDORRA,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,
ARE,UNITED ARAB EMIRATES,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,83600.0,
ARG,ARGENTINA,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,
ARM,ARMENIA,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,
ASM,AMERICAN SAMOA,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,
ATG,ANTIGUA AND BARBUDA,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,
