Country code,Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
AFG,AFGHANISTAN,215.0,429.0,159.0,520.0,140.0,1348.0,336.0,408.0,771.0,97.0,150.0,4178.0,507.0,634.0,205.0,7353.0,229.0,130.0,381.0,160.0,301.0,614.0,1497.0,246.0,61.0,0.0,70.0,,,1.0,12.0,500.0,,0.0,,120.0,,101.0,,,,150.0,100.0,,0.0,,,,,74.0,107.0,,,,,,,151.0,,2000.0,,,,
AGO,ANGOLA,25.0,16.0,147.0,25.0,210.0,421.0,625.0,2440.0,20.0,447.0,40.0,58.0,360.0,294.0,216.0,129.0,0.0,,367.0,300.0,,27.0,58.0,70.0,766.0,26.0,59.0,,0.0,,126.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIA,ANGUILLA,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,14.0,,,,,,,,,,,,,,,5.0,,,,,0.0,,,,,
ALB,ALBANIA,,18.0,,14.0,0.0,38.0,0.0,,5.0,18.0,,7.0,,,,0.0,0.0,7.0,4.0,,,11.0,60.0,,0.0,0.0,,,125.0,,,1.0,,,35.0,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,
ARE,UNITED ARAB EMIRATES,22.0,,,11.0,,11.0,,,,43.0,,29.0,14.0,,12.0,,85.0,,,,0.0,,,,,,,,,,112.0,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,
ARG,ARGENTINA,83.0,106.0,48.0,57.0,29.0,31.0,19.0,12.0,54.0,213.0,52.0,58.0,65.0,48.0,94.0,19.0,0.0,,72.0,24.0,98.0,136.0,0.0,76.0,,47.0,1.0,4.0,122.0,30.0,0.0,0.0,45.0,41.0,0.0,58.0,70.0,,20.0,100.0,60.0,100.0,,61.0,,73.0,56.0,62.0,45.0,,,,,,,360.0,,,,,,,,
ARM,ARMENIA,0.0,,,,,,,,,1.0,,,,0.0,,11.0,4.0,,,5.0,65.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASM,AMERICAN SAMOA,,,,,34.0,,,,0.0,0.0,6.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,
ATG,ANTIGUA AND BARBUDA,,,,0.0,,0.0,,,,,,,,,2.0,2.0,,,2.0,,,,,0.0,2.0,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,2.0
AUS,AUSTRALIA,19.0,79.0,11.0,84.0,560.0,8.0,22.0,4.0,35.0,6.0,6.0,2.0,6.0,182.0,20.0,20.0,21.0,48.0,9.0,59.0,18.0,2.0,39.0,84.0,98.0,17.0,,15.0,38.0,36.0,75.0,1.0,21.0,0.0,15.0,12.0,86.0,0.0,13.0,90.0,12.0,,30.0,13.0,,12.0,662.0,,,,,,,,,,,,70.0,,,,,
