Country code,Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
AFG,AFGHANISTAN,75.0,68.0,65.0,62.0,60.0,59.0,55.0,53.0,50.0,48.0,39.0,35.0,37.0,27.0,31.0,31.0,38.0,42.0,41.0,40.0,25.0,22.0,19.0,20.0
AGO,ANGOLA,91.0,97.0,88.0,93.0,77.0,79.0,88.0,48.0,45.0,64.0,62.0,74.0,72.0,41.0,46.0,62.0,78.0,62.0,46.0,44.0,47.0,39.0,39.0,38.0
ALB,ALBANIA,99.0,98.0,99.0,99.0,97.0,98.0,97.0,95.0,97.0,96.0,93.0,96.0,95.0,95.0,85.0,89.0,95.0,92.0,91.0,90.0,76.0,87.0,80.0,88.0
AND,ANDORRA,95.0,98.0,99.0,99.0,98.0,98.0,94.0,91.0,94.0,98.0,96.0,98.0,97.0,97.0,97.0,90.0,90.0,,,,,,,
ARE,UNITED ARAB EMIRATES,94.0,94.0,94.0,94.0,93.0,92.0,92.0,92.0,92.0,94.0,94.0,94.0,94.0,94.0,96.0,95.0,95.0,90.0,90.0,90.0,90.0,85.0,82.0,80.0
ARG,ARGENTINA,91.0,94.0,95.0,98.0,99.0,96.0,94.0,97.0,99.0,99.0,97.0,95.0,89.0,91.0,97.0,95.0,93.0,99.0,99.0,96.0,95.0,92.0,99.0,93.0
ARM,ARMENIA,97.0,97.0,97.0,97.0,96.0,94.0,92.0,92.0,94.0,92.0,94.0,91.0,93.0,92.0,92.0,94.0,92.0,89.0,96.0,95.0,95.0,93.0,,
ATG,ANTIGUA AND BARBUDA,98.0,98.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,97.0,99.0,99.0,97.0,95.0,99.0,99.0,93.0,99.0,93.0,91.0,99.0,99.0,87.0,89.0
AUS,AUSTRALIA,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,92.0,91.0,88.0,82.0,85.0,87.0,87.0,86.0,86.0,86.0,86.0,86.0
AUT,AUSTRIA,76.0,76.0,76.0,76.0,76.0,83.0,79.0,80.0,75.0,74.0,79.0,78.0,79.0,75.0,65.0,78.0,90.0,87.0,60.0,60.0,60.0,60.0,60.0,60.0
AZE,AZERBAIJAN,98.0,94.0,92.0,89.0,85.0,79.0,75.0,69.0,67.0,67.0,67.0,66.0,68.0,67.0,68.0,67.0,66.0,65.0,64.0,60.0,49.0,52.0,,
BDI,BURUNDI,98.0,93.0,93.0,92.0,91.0,84.0,88.0,92.0,87.0,78.0,76.0,75.0,73.0,72.0,70.0,68.0,77.0,79.0,80.0,42.0,69.0,69.0,74.0,74.0
BEL,BELGIUM,92.0,96.0,95.0,95.0,95.0,93.0,92.0,92.0,88.0,82.0,82.0,82.0,82.0,82.0,82.0,80.0,76.0,73.0,85.0,78.0,70.0,87.0,67.0,85.0
BEN,BENIN,63.0,70.0,70.0,68.0,71.0,66.0,70.0,66.0,61.0,63.0,65.0,66.0,68.0,70.0,69.0,67.0,66.0,60.0,65.0,78.0,67.0,70.0,60.0,79.0
BFA,BURKINA FASO,82.0,87.0,89.0,92.0,94.0,94.0,94.0,88.0,84.0,78.0,76.0,64.0,63.0,48.0,36.0,24.0,41.0,40.0,43.0,45.0,50.0,60.0,69.0,79.0
BGD,BANGLADESH,93.0,93.0,91.0,88.0,93.0,92.0,89.0,83.0,88.0,81.0,76.0,75.0,77.0,74.0,71.0,71.0,72.0,69.0,79.0,78.0,74.0,69.0,68.0,65.0
