Country code,Country name,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
AFG,AFGHANISTAN,67399.0,69579.0,72378.0,75586.0,78764.0,81775.0,83723.0,85513.0,86945.0,88007.0,88704.0,89873.0,90292.0,90059.0,89702.0,89393.0,88136.0,87162.0,86193.0,84495.0,81513.0,79446.0,76190.0,72376.0,69482.0,68718.0,66693.0,67009.0,69417.0,73693.0,79366.0,82900.0,88008.0,93713.0,99129.0,103353.0,107822.0,110404.0,111514.0,111469.0,111091.0,111268.0,111152.0,110620.0,109988.0,109306.0,108069.0,106847.0,105963.0,105347.0,105152.0,104843.0,104854.0,105126.0,105341.0,
AGO,ANGOLA,104291.0,105154.0,105861.0,106694.0,107441.0,108137.0,108082.0,107705.0,107035.0,106123.0,104649.0,102676.0,100333.0,98109.0,96091.0,94432.0,92221.0,90296.0,88500.0,86751.0,84777.0,82565.0,80160.0,77738.0,75469.0,73548.0,71366.0,69534.0,67949.0,66386.0,64821.0,63231.0,61647.0,60032.0,58417.0,57019.0,,,,,,,,,,,,,,,,,,,,
ALB,ALBANIA,564.0,561.0,540.0,513.0,490.0,483.0,496.0,529.0,584.0,649.0,726.0,805.0,893.0,990.0,1096.0,1205.0,1316.0,1419.0,1541.0,1674.0,1852.0,2049.0,2281.0,2531.0,2763.0,2948.0,3135.0,3269.0,3361.0,3439.0,3543.0,3701.0,3873.0,4088.0,4326.0,4600.0,4929.0,5310.0,,,,,,,,,,,,,,,,,,
AND,ANDORRA,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,UNITED ARAB EMIRATES,571.0,603.0,644.0,676.0,688.0,672.0,674.0,636.0,581.0,531.0,503.0,463.0,445.0,448.0,463.0,484.0,476.0,474.0,476.0,478.0,493.0,516.0,544.0,581.0,617.0,652.0,682.0,701.0,716.0,729.0,748.0,765.0,786.0,808.0,821.0,810.0,810.0,780.0,726.0,666.0,618.0,578.0,562.0,573.0,608.0,666.0,640.0,627.0,624.0,626.0,630.0,619.0,602.0,587.0,582.0,598.0
ARG,ARGENTINA,8464.0,8723.0,8931.0,9114.0,9315.0,9495.0,9834.0,10165.0,10597.0,11067.0,11602.0,12001.0,12207.0,12274.0,12359.0,12458.0,12759.0,13228.0,13712.0,14316.0,14941.0,15616.0,16400.0,17137.0,17792.0,18204.0,18322.0,18110.0,17763.0,17651.0,17888.0,18925.0,20577.0,22758.0,25172.0,27656.0,29846.0,31677.0,32818.0,33524.0,33737.0,33676.0,33387.0,32943.0,32387.0,31917.0,31519.0,,,,,,,,,
ARM,ARMENIA,513.0,556.0,598.0,649.0,696.0,749.0,802.0,855.0,904.0,946.0,971.0,976.0,959.0,936.0,920.0,941.0,995.0,1087.0,1228.0,1419.0,1665.0,1941.0,2281.0,2663.0,3039.0,3377.0,3716.0,4330.0,4175.0,4316.0,4416.0,4477.0,4483.0,4456.0,4449.0,4475.0,4598.0,4800.0,5019.0,5192.0,,,,,,,,,,,,,,,,
ATG,ANTIGUA AND BARBUDA,9.0,9.0,9.0,10.0,11.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,19.0,20.0,21.0,22.0,23.0,23.0,22.0,22.0,22.0,22.0,22.0,23.0,24.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,AUSTRALIA,896.0,954.0,1027.0,1110.0,1186.0,1276.0,1279.0,1289.0,1256.0,1249.0,1227.0,1216.0,1193.0,1209.0,1210.0,1244.0,1312.0,1339.0,1395.0,1470.0,1507.0,1577.0,1627.0,1691.0,1760.0,1870.0,1998.0,2156.0,2294.0,2433.0,2465.0,2438.0,2321.0,2203.0,2121.0,2143.0,2305.0,2621.0,3017.0,3450.0,3861.0,4181.0,4419.0,4503.0,4548.0,4532.0,4530.0,4467.0,4406.0,4340.0,4374.0,4404.0,4520.0,4623.0,4745.0,4758.0
AUT,AUSTRIA,239.0,244.0,257.0,260.0,264.0,278.0,288.0,300.0,305.0,325.0,323.0,324.0,328.0,323.0,323.0,334.0,359.0,397.0,449.0,506.0,559.0,601.0,619.0,614.0,619.0,633.0,673.0,745.0,834.0,933.0,1028.0,1087.0,1135.0,1159.0,1178.0,1212.0,1253.0,1317.0,1412.0,1564.0,1765.0,2027.0,2299.0,2573.0,2798.0,2970.0,3110.0,3236.0,3381.0,3547.0,3731.0,3984.0,4257.0,4544.0,4847.0,5112.0
