Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
ABW,ARUBA,33.84,34.01,35.16,,34.49,36.19,37.95,38.14,38.33,38.25,38.49,38.54,39.09,39.97,41.93,41.07,40.18,38.88,40.36,33.99,28.03,28.97,29.9,29.4,30.11
AFG,AFGHANISTAN,0.33,0.31,0.3,0.05,0.06,0.02,,,,,,0.16,0.15,0.14,0.14,0.15,0.15,0.15,0.16,0.16,0.18,0.19,0.21,0.29,0.31
AGO,ANGOLA,1.27,1.0,1.0,0.79,1.44,1.6,0.62,0.53,0.57,0.58,0.59,0.55,0.54,0.53,0.47,0.5,0.5,0.49,0.42,0.44,0.45,0.47,0.44,0.68,0.68
AIA,ANGUILLA,40.8,41.96,42.46,44.73,45.63,46.19,46.81,45.8,45.14,43.68,45.99,45.26,49.6,54.53,55.67,54.07,52.28,52.62,43.88,41.81,39.63,36.87,34.51,32.86,
ALB,ALBANIA,7.76,8.86,9.87,10.74,10.57,11.52,10.88,9.48,8.05,8.73,8.54,7.87,6.74,6.01,4.62,4.23,3.48,2.61,1.91,1.26,1.23,1.26,1.3,1.2,1.16
AND,ANDORRA,47.71,48.69,48.9,49.32,49.0,48.16,46.74,45.7,44.59,43.64,44.32,46.5,48.75,50.74,52.32,52.44,51.64,49.9,48.18,46.66,45.23,43.87,42.95,41.32,39.45
ARE,UNITED ARAB EMIRATES,22.26,22.32,21.37,20.45,17.53,20.47,23.48,23.9,26.86,29.81,32.46,33.71,33.92,33.62,33.71,33.7,33.24,32.01,29.87,28.65,27.56,26.08,24.42,22.93,21.94
ARG,ARGENTINA,22.58,23.31,23.01,23.87,24.56,24.41,24.56,24.15,24.26,24.43,22.87,22.66,20.49,21.82,21.39,19.78,19.65,19.13,17.76,16.4,14.5,11.73,10.72,9.47,9.28
ARM,ARMENIA,18.92,19.43,19.66,19.8,19.99,20.21,21.04,20.89,20.11,19.72,19.14,18.57,17.82,17.37,17.34,17.59,17.88,18.1,18.26,18.08,17.85,17.32,16.77,16.29,15.8
ASM,AMERICAN SAMOA,17.9,18.13,18.14,,18.69,18.49,18.23,17.96,17.73,17.59,17.47,18.12,23.93,21.64,17.82,17.97,18.25,18.38,18.54,18.53,18.34,15.77,12.1,11.37,11.69
ATG,ANTIGUA AND BARBUDA,35.64,36.82,37.23,40.25,41.64,43.28,44.52,44.91,44.93,44.18,46.5,46.97,47.54,47.19,49.33,48.0,45.82,42.92,39.86,37.88,36.49,29.61,26.52,21.9,25.81
AUS,AUSTRALIA,38.89,44.34,45.43,46.49,47.42,48.6,43.29,45.94,47.64,49.32,51.29,52.42,52.75,51.62,52.18,51.29,50.76,50.37,50.0,49.11,49.38,48.18,47.11,46.45,45.55
AUT,AUSTRIA,38.31,39.25,39.93,40.18,40.44,38.86,39.38,40.99,43.55,45.38,46.64,47.62,47.99,49.66,49.84,49.19,50.04,49.53,48.71,47.55,46.51,45.47,44.46,43.28,42.02
AZE,AZERBAIJAN,18.87,18.67,18.52,18.3,16.57,15.59,14.76,14.29,13.58,12.78,11.97,11.25,11.18,10.55,9.87,9.07,8.52,8.31,8.22,8.23,8.28,8.2,8.33,8.46,8.59
BDI,BURUNDI,0.21,0.21,0.18,0.31,0.38,0.35,0.35,0.34,0.35,0.36,0.37,0.33,0.31,0.3,0.3,0.29,0.28,0.25,0.24,0.28,0.26,0.26,0.22,0.18,0.14
BEL,BELGIUM,42.12,41.39,42.03,42.1,42.41,42.68,43.95,45.39,44.65,45.63,45.98,46.94,47.7,49.82,49.05,48.9,47.51,46.72,45.39,46.07,44.85,43.56,42.43,40.92,39.21
BEN,BENIN,1.85,1.54,1.56,1.56,1.4,1.38,1.28,1.27,0.92,0.93,0.92,0.87,0.85,0.83,0.74,0.65,0.59,0.57,0.53,0.47,0.41,0.37,0.29,0.29,0.3
BFA,BURKINA FASO,0.72,0.81,0.86,0.88,0.93,1.01,1.01,0.82,0.69,0.68,0.65,0.53,0.5,0.49,0.46,0.42,0.38,0.34,0.33,0.3,0.27,0.23,0.21,0.2,0.18
BGD,BANGLADESH,0.69,0.69,0.62,0.64,0.85,0.83,0.91,0.81,0.78,0.75,0.59,0.53,0.44,0.42,0.37,0.33,0.32,0.29,0.26,0.24,0.22,0.21,0.21,0.2,0.2
BGR,BULGARIA,25.35,26.89,29.31,30.99,29.29,29.62,29.18,30.42,31.48,32.41,35.21,36.09,36.49,36.38,36.02,35.13,33.92,32.7,32.0,30.66,29.44,28.18,27.04,25.22,24.66
BHR,BAHRAIN,21.18,21.88,22.72,21.39,18.22,19.97,19.75,19.72,20.42,22.0,23.35,24.06,23.95,24.88,25.59,25.8,25.52,25.49,24.91,24.99,24.74,23.21,21.53,19.74,18.95
BHS,BAHAMAS,35.99,36.04,36.29,36.3,35.87,36.38,38.11,38.84,39.2,40.44,43.4,41.78,40.95,40.69,38.4,37.89,36.52,34.21,31.54,29.89,28.58,28.1,28.86,29.94,27.26
BIH,BOSNIA AND HERZEGOWINA,22.2,22.11,23.12,24.9,25.97,25.92,26.71,27.51,25.52,24.97,24.48,24.08,23.16,21.83,20.34,9.81,9.15,8.57,7.81,6.75,6.83,15.45,14.48,,
