Country code,Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
ABW,ARUBA,134.873823012117,131.856540084388,,129.728240007087,126.210337415449,119.203899589517,112.218061826337,108.132500247942,103.384950665294,99.6425026837617,72.1043137659125,65.0560555818727,57.0542769177772,16.5092782143565,13.4825401105568,6.16435217012695,3.98141538029422,3.60598593665485,2.13878445335259,,,0.029310471165824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0
AFG,AFGHANISTAN,70.6613588505821,65.4521934557507,60.326319991974,45.7781747410681,37.8949369729604,29.2203737639231,17.7162433091531,9.83316402199469,4.8268653672611,2.49805547198635,0.865196277129635,0.112598380583067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0
AGO,ANGOLA,61.8732971124952,61.4062757783485,59.8261885613283,48.1012090362719,42.8465734823648,36.9836895376714,28.0109823255738,17.8398962435718,9.73816117331956,4.63174063003565,2.26962128126606,0.940444725562779,0.521366176807227,0.18532229605463,0.177638088448373,0.0747476202169325,0.0551308427201176,0.0264858220944599,0.0164725973304149,0.0155320863611251,0.00967274806993502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0
ALB,ALBANIA,116.157208130034,110.686531631206,98.2915345940227,85.4682469970411,78.1845877027214,58.9123514861522,73.3503841486794,60.0673423758473,47.8780274894951,39.1639566854891,33.9570628375448,26.0755314076865,11.9488728833469,0.901406013044683,0.331772023673718,0.168397958054474,0.0990599213464225,0.0688407781641841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0
AND,ANDORRA,80.7026180918478,81.5020418580909,83.5343222243627,84.0681838602436,82.0618111087097,80.2836098988358,78.1171578999164,84.2776359661443,79.4848749738375,73.8249430812042,68.6025144428434,45.771158168037,43.2779411764706,35.9990213917644,32.1453092815679,22.1273060706281,13.446715556249,8.53844478327162,4.42415510383061,1.25025914172261,1.2786256413619,1.30721173434741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0
ARE,UNITED ARAB EMIRATES,171.873799302364,149.639085818048,131.398037623349,129.431630756342,138.266868731391,137.641379482793,133.362864082485,113.201428571722,109.285872848186,100.668523813923,88.2192615932192,75.3131000949451,60.9591188542909,47.1893223260216,28.7618604612586,17.9145944540363,11.8579467250391,7.84495772641361,5.49664259335423,4.09863275868789,3.32773415087997,2.43018176561381,2.25408568754121,1.85873441321275,1.46132149248573,0.859014274439618,0.905137186608379,0.784279371931755,0.588175039228989,0.386440147185469,0.293241619904886,0.201598075733389,,,,,,,,,,,,,,,,,,,,,,
ARG,ARGENTINA,162.527421663231,156.56475598674,149.090622449436,141.383021999383,131.129449217276,117.221183351189,102.721528270687,80.8188264138509,57.3289942567057,35.2722883702454,20.6535373030331,17.4519490973966,18.0874244208887,17.5810590485609,10.540642447322,7.39659559567715,5.62910956998472,1.89150032880493,1.16381892109268,0.701068622153627,0.329780857381351,0.138988317195146,0.075585346528882,0.0367817512490623,0.00714942773338242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0
ARM,ARMENIA,112.420655211408,111.914663156714,108.336200963524,130.43223274133,73.8337700806629,48.4300860322527,62.7586975004365,41.9513598638122,10.5490134554285,6.71951037330136,3.76738453349635,2.3416131659907,0.833474947384933,0.568447429178134,0.26378393054541,0.25156137667132,0.159354829662435,0.00945350843331732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0
ASM,AMERICAN SAMOA,,,,,,,,,,3.79669940265263,3.55227768662145,3.46677110115956,3.70599559955996,3.46302284343382,3.17080045095829,2.68341115225675,2.54814167667722,2.41071097429811,2.36411090517078,2.31628930453414,1.77427304090685,1.41137568804565,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0
ATG,ANTIGUA AND BARBUDA,127.085625382008,143.013843200216,199.664216353571,192.553276856236,156.344148319815,160.039367772323,133.157576691115,132.000670923838,104.16035850542,66.0809124060794,56.9811134183724,47.7383481194552,31.6567897482652,28.3329899031527,11.1781801922647,2.02139988680161,1.93819913611696,1.85066552779557,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0
