Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007
AFG,AFGHANISTAN,2.069573,,2.3,,2.24,,,1.21
AGO,ANGOLA,2.54298,,2.28,,2.25,,,2.48
ALB,ALBANIA,,,2.77,,2.46,,,2.08
ARE,UNITED ARAB EMIRATES,3.539098,,3.78,,3.63,,,3.73
ARG,ARGENTINA,2.986475,,3.05,,3.1,,,2.98
ARM,ARMENIA,2.672723,,2.56,,2.52,,,2.14
AUS,AUSTRALIA,3.810776,,3.73,,3.84,,,3.79
AUT,AUSTRIA,3.648587,,3.89,,3.76,,,4.06
AZE,AZERBAIJAN,2.448376,,2.48,,2.64,,,2.29
BDI,BURUNDI,2.565735,,1.61,,,,,2.29
BEL,BELGIUM,4.04466,,3.98,,3.94,,,3.89
BEN,BENIN,2.560822,,2.85,,2.79,,,2.45
BFA,BURKINA FASO,2.6383,,2.32,,2.23,,,2.24
BGD,BANGLADESH,2.56334,,,,2.74,,,2.47
BGR,BULGARIA,3.157151,,3.21,,2.83,,,2.87
BHR,BAHRAIN,3.083116,,3.05,,3.37,,,3.15
BHS,BAHAMAS,2.910966,,2.75,,2.75,,,
BIH,BOSNIA AND HERZEGOWINA,2.747618,,2.99,,2.66,,,2.46
BLR,BELARUS,2.638168,,2.61,,,,,2.53
BOL,BOLIVIA,2.480758,,2.61,,2.51,,,2.31
BRA,BRAZIL,2.943951,,3.13,,3.2,,,2.75
BTN,BHUTAN,2.29013,,2.52,,2.38,,,2.16
BWA,BOTSWANA,2.492775,,2.84,,2.32,,,
CAF,CENTRAL AFRICAN REPUBLIC,2.360932,,,,,,,
CAN,CANADA,3.855498,,3.85,,3.87,,,3.92
CHE,SWITZERLAND,3.843969,,3.8,,3.97,,,4.02
CHL,CHILE,3.255786,,3.17,,3.09,,,3.25
CHN,CHINA,3.531463,,3.52,,3.49,,,3.32
CIV,COTE D'IVOIRE,2.761981,,2.73,,2.53,,,2.36
CMR,CAMEROON,2.296616,,2.53,,2.55,,,2.49
COD,"CONGO, THE DRC",1.878857,,2.21,,2.68,,,
COG,CONGO,2.077149,,2.08,,2.48,,,
COL,COLOMBIA,2.639637,,2.87,,2.77,,,2.5
COM,COMOROS,2.402136,,2.14,,2.45,,,2.48
CRI,COSTA RICA,2.700719,,2.75,,2.91,,,2.55
CUB,CUBA,2.179734,,2.2,,2.07,,,
CYP,CYPRUS,3.000577,,3.24,,3.13,,,2.92
CZE,CZECH REPUBLIC,3.492416,,3.14,,3.51,,,3.13
DEU,GERMANY,4.121983,,4.03,,4.11,,,4.1
DJI,DJIBOUTI,2.149867,,1.8,,2.39,,,1.94
DNK,DENMARK,3.78252,,4.02,,3.85,,,3.86
DOM,DOMINICAN REPUBLIC,2.860551,,2.7,,2.82,,,2.38
DZA,ALGERIA,2.649451,,2.41,,2.36,,,2.06
ECU,ECUADOR,2.710986,,2.76,,2.77,,,2.6
EGY,EGYPT,2.965911,,2.98,,2.61,,,2.37
ERI,ERITREA,2.084755,,2.11,,1.7,,,2.19
ESP,SPAIN,3.718636,,3.7,,3.63,,,3.52
EST,ESTONIA,3.34592,,2.86,,3.16,,,2.95
ETH,ETHIOPIA,2.593625,,2.24,,2.41,,,2.33
FIN,FINLAND,3.623035,,4.05,,3.89,,,3.82
FJI,FIJI,2.545003,,2.42,,2.24,,,
FRA,FRANCE,3.847305,,3.85,,3.84,,,3.76
GAB,GABON,2.202899,,2.34,,2.41,,,2.1
GBR,UNITED KINGDOM,4.014649,,3.9,,3.95,,,3.99
GEO,GEORGIA,2.507491,,2.77,,2.61,,,
GHA,GHANA,2.626934,,2.51,,2.47,,,2.16
GIN,GUINEA,2.464191,,2.48,,2.6,,,2.71
GMB,GAMBIA,2.249081,,2.46,,2.49,,,2.52
GNB,GUINEA-BISSAU,2.426464,,2.6,,2.1,,,2.28
GNQ,EQUATORIAL GUINEA,2.354636,,,,,,,
GRC,GREECE,3.201602,,2.83,,2.96,,,3.36
GTM,GUATEMALA,2.797453,,2.8,,2.63,,,2.53
GUY,GUYANA,2.459132,,2.33,,2.27,,,2.05
HKG,HONG KONG,3.826763,,4.12,,3.88,,,4.0
HND,HONDURAS,2.607427,,2.53,,2.78,,,2.5
HRV,CROATIA (LOCAL NAME: HRVATSKA),3.052949,,3.16,,2.77,,,2.71
HTI,HAITI,2.269601,,2.03,,2.59,,,2.21
HUN,HUNGARY,3.464438,,3.17,,2.99,,,3.15
IDN,INDONESIA,3.081806,,2.94,,2.76,,,3.01
IND,INDIA,3.080137,,3.08,,3.12,,,3.07
IRL,IRELAND,3.868014,,3.52,,3.89,,,3.91
IRN,IRAN (ISLAMIC REPUBLIC OF),,,2.49,,2.57,,,2.51
IRQ,IRAQ,2.29784,,2.16,,2.11,,,
ISL,ICELAND,3.391863,,3.39,,3.2,,,
ISR,ISRAEL,3.260446,,,,3.41,,,3.21
ITA,ITALY,3.691076,,3.67,,3.64,,,3.58
