Country code,Country name,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
ABW,ARUBA,,88.22938,,,,,,,,,,84.99329,,,,,,,,,,81.32185
AFG,AFGHANISTAN,,41.0,15.6,,,,,,,,,37.45584,,,,,,,,,,34.61567
AGO,ANGOLA,37.8,34.6,26.2,,,,,,,,,31.05585,,,,,,,,,,28.21566
ALB,ALBANIA,,100.0,,,,,,,,,,100.0,,,,,,,,,,100.0
AND,ANDORRA,,100.0,,,,,,,,,,100.0,,,,,,,,,,100.0
ARE,UNITED ARAB EMIRATES,100.0,94.13527,100.0,,,,,,,,,90.89918,,,,,,,,,,87.22775
ARG,ARGENTINA,97.2,88.22938,97.2,,,,,,,,,84.99329,,,,,,,,,,81.32185
ARM,ARMENIA,,99.8,,,,,,,,,,98.0,,,,,,,,,,94.28774
ASM,AMERICAN SAMOA,,55.76635,,,,,,,,,,52.53027,,,,,,,,,,48.85883
ATG,ANTIGUA AND BARBUDA,,88.22938,,,,,,,,,,84.99329,,,,,,,,,,81.32185
AUS,AUSTRALIA,,100.0,,,,,,,,,,100.0,,,,,,,,,,100.0
AUT,AUSTRIA,,100.0,,,,,,,,,,100.0,,,,,,,,,,100.0
AZE,AZERBAIJAN,,100.0,,,,,,,,,,95.95585,,,,,,,,,,93.11566
BDI,BURUNDI,,5.3,,,,,,,,,,3.9,,,,,,,,,,0.1
BEL,BELGIUM,,100.0,,,,,,,,,,100.0,,,,,,,,,,100.0
BEN,BENIN,28.2,27.9,24.8,,,,,,,,,25.4,,,,,,,,,,22.03774
BFA,BURKINA FASO,13.1,13.1,14.6,,,,,,,,,6.9,,,,,,,,,,6.1
BGD,BANGLADESH,59.6,55.2,41.0,,,,,,,,,32.0,,,,,,,,,,21.62
BGR,BULGARIA,,100.0,,,,,,,,,,100.0,,,,,,,,,,100.0
BHR,BAHRAIN,99.4,94.13527,99.4,,,,,,,,,90.89918,,,,,,,,,,87.22775
BHS,BAHAMAS,,88.22938,,,,,,,,,,84.99329,,,,,,,,,,81.32185
BIH,BOSNIA AND HERZEGOWINA,,99.7,,,,,,,,,,98.5,,,,,,,,,,94.48774
BLR,BELARUS,,100.0,,,,,,,,,,100.0,,,,,,,,,,100.0
BLZ,BELIZE,,88.22938,,,,,,,,,,84.99329,,,,,,,,,,81.32185
BMU,BERMUDA,,100.0,,,,,,,,,,100.0,,,,,,,,,,100.0
BOL,BOLIVIA,86.8,80.2,77.5,,,,,,,,,76.65585,,,,,,,,,,73.81566
BRA,BRAZIL,99.3,98.93,98.3,,,,,,,,,96.72,,,,,,,,,,91.86
BRB,BARBADOS,,88.22938,,,,,,,,,,84.99329,,,,,,,,,,81.32185
BRN,BRUNEI DARUSSALAM,99.7,72.59882,99.7,,,,,,,,,69.36274,,,,,,,,,,65.6913
BTN,BHUTAN,,72.0,,,,,,,,,,68.45585,,,,,,,,,,65.61566
BWA,BOTSWANA,45.7,43.1,45.4,,,,,,,,,39.55584,,,,,,,,,,36.71566
CAF,CENTRAL AFRICAN REPUBLIC,,9.464245,,,,,,,,,,6.0,,,,,,,,,,3.0
CAN,CANADA,,100.0,,,,,,,,,,100.0,,,,,,,,,,100.0
CHE,SWITZERLAND,,100.0,,,,,,,,,,100.0,,,,,,,,,,100.0
CHL,CHILE,,99.59,98.5,,,,,,,,,97.94,,,,,,,,,,94.56
CHN,CHINA,99.8,99.7,99.4,,,,,,,,,98.0,,,,,,,,,,94.23774
CIV,COTE D'IVOIRE,59.3,58.9,47.3,,,,,,,,,51.4,,,,,,,,,,36.5
CMR,CAMEROON,53.7,49.0,48.7,,,,,,,,,46.2,,,,,,,,,,29.0
COD,"CONGO, THE DRC",9.0,15.2,11.1,,,,,,,,,6.7,,,,,,,,,,6.33774
COG,CONGO,37.8,37.1,37.1,,,,,,,,,20.9,,,,,,,,,,24.38774
COL,COLOMBIA,97.4,96.79,93.6,,,,,,,,,93.24585,,,,,,,,,,90.40566
COM,COMOROS,,48.34415,,,,,,,,,,44.8,,,,,,,,,,41.95982
CPV,CAPE VERDE,,67.0,,,,,,,,,,58.6,,,,,,,,,,58.18774
CRI,COSTA RICA,99.1,99.0,99.3,,,,,,,,,95.45585,,,,,,,,,,92.61566
CUB,CUBA,97.5,100.0,97.0,,,,,,,,,97.0,,,,,,,,,,94.15982
CUW,CURAÇAO,,88.22938,,,,,,,,,,84.99329,,,,,,,,,,81.32185
CYM,CAYMAN ISLANDS,,88.22938,,,,,,,,,,84.99329,,,,,,,,,,81.32185
CYP,CYPRUS,,100.0,,,,,,,,,,100.0,,,,,,,,,,96.36144
CZE,CZECH REPUBLIC,,100.0,,,,,,,,,,100.0,,,,,,,,,,100.0
DEU,GERMANY,,100.0,,,,,,,,,,100.0,,,,,,,,,,100.0
DJI,DJIBOUTI,,49.7,,,,,,,,,,46.15585,,,,,,,,,,43.31567
DMA,DOMINICA,,91.24415,,,,,,,,,,87.7,,,,,,,,,,84.85982
DNK,DENMARK,,100.0,,,,,,,,,,100.0,,,,,,,,,,100.0
DOM,DOMINICAN REPUBLIC,96.1,98.15,95.9,,,,,,,,,92.3,,,,,,,,,,78.2
DZA,ALGERIA,99.4,99.3,99.3,,,,,,,,,98.0,,,,,,,,,,94.03774
ECU,ECUADOR,95.5,97.46,92.2,,,,,,,,,93.07,,,,,,,,,,89.84
EGY,EGYPT,99.6,99.6,99.6,,,,,,,,,97.7,,,,,,,,,,95.5
ERI,ERITREA,31.9,32.51424,32.0,,,,,,,,,32.2,,,,,,,,,,22.9
ESP,SPAIN,,100.0,,,,,,,,,,100.0,,,,,,,,,,100.0
EST,ESTONIA,,100.0,,,,,,,,,,100.0,,,,,,,,,,100.0
ETH,ETHIOPIA,23.3,23.0,17.0,,,,,,,,,12.7,,,,,,,,,,10.0
FIN,FINLAND,,100.0,,,,,,,,,,100.0,,,,,,,,,,100.0
FJI,FIJI,,55.76635,,,,,,,,,,52.53027,,,,,,,,,,48.85883
FRA,FRANCE,,100.0,,,,,,,,,,100.0,,,,,,,,,,100.0
FRO,FAROE ISLANDS,,100.0,,,,,,,,,,100.0,,,,,,,,,,100.0
FSM,"MICRONESIA, FEDERATED STATES OF",,55.76635,,,,,,,,,,52.53027,,,,,,,,,,48.85883
GAB,GABON,60.0,81.6,36.7,,,,,,,,,73.6,,,,,,,,,,72.98774
GBR,UNITED KINGDOM,,100.0,,,,,,,,,,100.0,,,,,,,,,,100.0
GEO,GEORGIA,,100.0,,,,,,,,,,99.9,,,,,,,,,,97.05982
GHA,GHANA,72.0,60.5,60.5,,,,,,,,,45.0,,,,,,,,,,30.6
GIN,GUINEA,,20.2,,,,,,,,,,16.4,,,,,,,,,,13.68774
GMB,GAMBIA,,30.96424,,,,,,,,,,34.3,,,,,,,,,,17.7
GNB,GUINEA-BISSAU,,57.04416,,,,,,,,,,53.5,,,,,,,,,,50.65982
GNQ,EQUATORIAL GUINEA,,29.14539,,,,,,,,,,25.9093,,,,,,,,,,22.23787
GRC,GREECE,,100.0,,,,,,,,,,100.0,,,,,,,,,,100.0
GRD,GRENADA,,88.22938,,,,,,,,,,84.99329,,,,,,,,,,81.32185
GRL,GREENLAND,,100.0,,,,,,,,,,100.0,,,,,,,,,,100.0
GTM,GUATEMALA,81.9,81.78,80.5,,,,,,,,,78.67,,,,,,,,,,75.61274
GUM,GUAM,,55.76635,,,,,,,,,,52.53027,,,,,,,,,,48.85883
GUY,GUYANA,,77.6,,,,,,,,,,74.63802,,,,,,,,,,72.38
HKG,HONG KONG,,100.0,,,,,,,,,,100.0,,,,,,,,,,100.0
HND,HONDURAS,83.3,80.98,70.3,,,,,,,,,77.43585,,,,,,,,,,74.59566
HRV,CROATIA (LOCAL NAME: HRVATSKA),,100.0,,,,,,,,,,100.0,,,,,,,,,,100.0
HTI,HAITI,27.9,33.9,38.5,,,,,,,,,31.4,,,,,,,,,,31.3
HUN,HUNGARY,,100.0,,,,,,,,,,100.0,,,,,,,,,,100.0
IDN,INDONESIA,72.9,94.15,64.5,,,,,,,,,87.6,,,,,,,,,,66.86
IMN,ISLE OF MAN,,100.0,,,,,,,,,,100.0,,,,,,,,,,100.0
IND,INDIA,75.3,75.0,66.3,,,,,,,,,62.3,,,,,,,,,,50.9
IRL,IRELAND,,100.0,,,,,,,,,,100.0,,,,,,,,,,100.0
IRN,IRAN (ISLAMIC REPUBLIC OF),98.3,98.4,98.4,,,,,,,,,97.9,,,,,,,,,,93.53774
IRQ,IRAQ,98.0,98.0,86.0,,,,,,,,,94.45585,,,,,,,,,,91.61566
ISL,ICELAND,,100.0,,,,,,,,,,100.0,,,,,,,,,,100.0
ISR,ISRAEL,,100.0,99.7,,,,,,,,,100.0,,,,,,,,,,96.36144
ITA,ITALY,,100.0,,,,,,,,,,100.0,,,,,,,,,,100.0
JAM,JAMAICA,92.8,92.0,92.0,,,,,,,,,86.68,,,,,,,,,,70.33
JOR,JORDAN,99.4,99.4,99.9,,,,,,,,,99.5,,,,,,,,,,94.83774
JPN,JAPAN,,100.0,,,,,,,,,,100.0,,,,,,,,,,100.0
KAZ,KAZAKHSTAN,,100.0,,,,,,,,,,97.0,,,,,,,,,,94.15982
KEN,KENYA,19.2,23.0,16.1,,,,,,,,,14.5,,,,,,,,,,10.9
KGZ,KYRGYZSTAN,,100.0,,,,,,,,,,100.0,,,,,,,,,,97.15982
KHM,CAMBODIA,34.0,31.1,24.0,,,,,,,,,16.6,,,,,,,,,,19.23774
KIR,KIRIBATI,,55.76635,,,,,,,,,,52.53027,,,,,,,,,,48.85883
KNA,SAINT KITTS AND NEVIS,,88.22938,,,,,,,,,,84.99329,,,,,,,,,,81.32185
KOR,"KOREA, REPUBLIC OF",,93.34233,,,,,,,,,,90.10624,,,,,,,,,,86.43481
KWT,KUWAIT,100.0,94.13527,100.0,,,,,,,,,90.89918,,,,,,,,,,87.22775
LAO,LAOS ,78.0,66.0,55.0,,,,,,,,,46.3,,,,,,,,,,51.53774
LBN,LEBANON,99.9,99.9,99.9,,,,,,,,,95.0,,,,,,,,,,92.83774
LBR,LIBERIA,,4.1,,,,,,,,,,0.5558459,,,,,,,,,,0.1
LBY,LIBYA,99.8,100.0,99.8,,,,,,,,,99.8,,,,,,,,,,96.95982
LCA,SAINT LUCIA,,88.22938,,,,,,,,,,84.99329,,,,,,,,,,81.32185
LIE,LIECHTENSTEIN,,100.0,,,,,,,,,,100.0,,,,,,,,,,100.0
LKA,SRI LANKA,85.4,85.1,76.6,,,,,,,,,80.7,,,,,,,,,,78.28773
LSO,LESOTHO,19.0,17.0,16.0,,,,,,,,,5.0,,,,,,,,,,6.387741
LTU,LITHUANIA,,100.0,,,,,,,,,,100.0,,,,,,,,,,100.0
LUX,LUXEMBURG,,100.0,,,,,,,,,,100.0,,,,,,,,,,100.0
LVA,LATVIA,,100.0,,,,,,,,,,100.0,,,,,,,,,,100.0
MAC,MACAU,,93.34233,,,,,,,,,,90.10624,,,,,,,,,,86.43481
