Country code,Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
AFG,AFGHANISTAN,1960.0,1940.0,1700.0,1610.0,1500.0,1260.0,1230.0,1080.0,1020.0,920.0,920.0,860.0,,,,,,,,,,,,,,,,,,,,,,
AGO,ANGOLA,7000.0,6580.0,6340.0,6190.0,6160.0,5690.0,5290.0,4240.0,3570.0,3080.0,2820.0,2690.0,2290.0,2190.0,2010.0,2090.0,2050.0,1790.0,1530.0,910.0,1140.0,1520.0,2190.0,2190.0,1860.0,1820.0,1920.0,1750.0,1710.0,,,,,
ALB,ALBANIA,9950.0,9590.0,9610.0,9200.0,9200.0,8810.0,7870.0,7350.0,6490.0,5960.0,5480.0,5060.0,4860.0,4370.0,3920.0,3500.0,3050.0,3330.0,2960.0,2500.0,2220.0,1910.0,2040.0,2840.0,2910.0,2600.0,2620.0,2640.0,2510.0,2460.0,,,,
ARE,UNITED ARAB EMIRATES,,59890.0,56390.0,55750.0,60060.0,71000.0,80800.0,89640.0,92560.0,95910.0,92030.0,87440.0,90030.0,,,,,,,,,,,,,,,,,,,,,
ARG,ARGENTINA,,,,,,,,11740.0,10480.0,9130.0,8190.0,7340.0,8580.0,8890.0,8860.0,9160.0,8830.0,8120.0,7670.0,7840.0,7360.0,6850.0,6000.0,5150.0,4940.0,5450.0,5470.0,5250.0,4790.0,5110.0,4870.0,4560.0,4780.0,4770.0
ARM,ARMENIA,8180.0,7740.0,7050.0,6690.0,6410.0,7510.0,6830.0,5790.0,4910.0,4120.0,3630.0,3120.0,2690.0,2380.0,2190.0,2080.0,1950.0,1780.0,1580.0,1420.0,1180.0,1130.0,2220.0,2330.0,,,,,,,,,,
ATG,ANTIGUA AND BARBUDA,20490.0,20060.0,19290.0,19590.0,20760.0,23590.0,23500.0,21130.0,18260.0,16710.0,15670.0,14580.0,14430.0,14440.0,14030.0,13640.0,13220.0,12190.0,11850.0,12460.0,11800.0,10950.0,10690.0,9810.0,8770.0,8180.0,6970.0,6100.0,6010.0,5370.0,4620.0,4100.0,3850.0,3380.0
AUS,AUSTRALIA,42110.0,41700.0,40030.0,37570.0,38790.0,35960.0,34930.0,32990.0,31360.0,30420.0,28850.0,27910.0,26620.0,25570.0,24480.0,23460.0,22170.0,21240.0,20240.0,19620.0,18630.0,17500.0,17100.0,16770.0,15680.0,14700.0,13850.0,13350.0,12760.0,12030.0,11080.0,10760.0,10160.0,9120.0
AUT,AUSTRIA,45040.0,45290.0,44220.0,42170.0,40620.0,41450.0,39160.0,37750.0,34580.0,33760.0,32140.0,31110.0,29450.0,29270.0,27500.0,26590.0,25460.0,24600.0,23610.0,22690.0,21800.0,21350.0,20610.0,19580.0,17790.0,16560.0,15460.0,14820.0,14230.0,13470.0,12990.0,12090.0,11160.0,10270.0
AZE,AZERBAIJAN,16180.0,14870.0,14590.0,14600.0,13720.0,12310.0,10560.0,8570.0,6280.0,5100.0,4650.0,4120.0,3710.0,3340.0,3110.0,2900.0,2630.0,2430.0,2410.0,2720.0,3360.0,,,,,,,,,,,,,
