Country code,Country name,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
AFG,AFGHANISTAN,1000.0,979.0,953.0,912.0,797.0,915.0,861.0,750.0,,,,,435.0,,,,,,,,,,948.0,,,,,,,,,,1002.0
AGO,ANGOLA,4812.0,4640.0,4658.0,4675.0,4320.0,4086.0,3342.0,2880.0,,,,,2018.0,,,,,,,,,,2478.0,,,,,,,,,,
ALB,ALBANIA,7822.0,7822.0,7588.0,7363.0,7305.0,6911.0,6557.0,6220.0,,,,,4937.0,,,,,,,,,,3905.0,,,,,,,,,,
AND,ANDORRA,33918.0,34544.0,34440.0,34659.0,36272.0,35532.0,35697.0,34279.0,,,,,28992.0,,,,,,,,,,26563.0,,,,,,,,,,28123.0
ARE,UNITED ARAB EMIRATES,42716.0,42291.0,42337.0,45752.0,51995.0,58941.0,65492.0,67920.0,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,ARGENTINA,15347.0,15129.0,13966.0,12860.0,12987.0,12295.0,11363.0,10470.0,,,,,10010.0,,,,,,,,,,7131.0,,,,,,,,,,9991.0
ARM,ARMENIA,5540.0,5385.0,5082.0,4903.0,5840.0,5423.0,4786.0,4210.0,,,,,2356.0,,,,,,,,,,2825.0,,,,,,,,,,
ATG,ANTIGUA AND BARBUDA,13883.0,13743.0,14488.0,15831.0,17786.0,17803.0,19927.0,17790.0,,,,,15420.0,,,,,,,,,,13209.0,,,,,,,,,,7247.0
AUS,AUSTRALIA,34340.0,33657.0,33279.0,33247.0,33142.0,32383.0,31980.0,31540.0,,,,,28850.0,,,,,,,,,,22961.0,,,,,,,,,,19415.0
AUT,AUSTRIA,36438.0,36228.0,35197.0,34451.0,36102.0,35398.0,34316.0,33300.0,,,,,31238.0,,,,,,,,,,25247.0,,,,,,,,,,20555.0
AZE,AZERBAIJAN,8153.0,7911.0,8325.0,7911.0,7157.0,6261.0,5222.0,3940.0,,,,,2356.0,,,,,,,,,,,,,,,,,,,,
BDI,BURUNDI,544.0,535.0,523.0,519.0,516.0,508.0,504.0,490.0,,,,,507.0,,,,,,,,,,678.0,,,,,,,,,,607.0
BEL,BELGIUM,33429.0,33697.0,33418.0,32210.0,34102.0,33893.0,33127.0,32400.0,,,,,31097.0,,,,,,,,,,25029.0,,,,,,,,,,20688.0
BEN,BENIN,1439.0,1430.0,1424.0,1431.0,1409.0,1356.0,1327.0,1340.0,,,,,1296.0,,,,,,,,,,1094.0,,,,,,,,,,1131.0
BFA,BURKINA FASO,1202.0,1149.0,1135.0,1085.0,1087.0,1054.0,1046.0,1010.0,,,,,857.0,,,,,,,,,,665.0,,,,,,,,,,607.0
BGD,BANGLADESH,1785.0,1701.0,1631.0,1549.0,1474.0,1384.0,1308.0,1220.0,,,,,1003.0,,,,,,,,,,762.0,,,,,,,,,,649.0
BGR,BULGARIA,11474.0,11296.0,11154.0,11001.0,11401.0,10379.0,10241.0,9840.0,,,,,6939.0,,,,,,,,,,6935.0,,,,,,,,,,5739.0
BHR,BAHRAIN,19154.0,19157.0,19137.0,19303.0,22751.0,24996.0,26098.0,27210.0,,,,,23063.0,,,,,,,,,,14995.0,,,,,,,,,,20295.0
BHS,BAHAMAS,27401.0,27031.0,26895.0,28244.0,30092.0,30786.0,31029.0,30670.0,,,,,30300.0,,,,,,,,,,27678.0,,,,,,,,,,23835.0
BIH,BOSNIA AND HERZEGOWINA,7713.0,7700.0,7585.0,7642.0,7871.0,7413.0,6945.0,6610.0,,,,,5647.0,,,,,,,,,,,,,,,,,,,,
BLR,BELARUS,13385.0,12770.0,12245.0,11329.0,11311.0,10187.0,9407.0,8540.0,,,,,5794.0,,,,,,,,,,6425.0,,,,,,,,,,
BLZ,BELIZE,5327.0,5324.0,5307.0,5532.0,5462.0,5442.0,5687.0,5610.0,,,,,5242.0,,,,,,,,,,4112.0,,,,,,,,,,3309.0
BOL,BOLIVIA,4444.0,4315.0,4163.0,4083.0,4034.0,3851.0,3749.0,3620.0,,,,,3472.0,,,,,,,,,,2922.0,,,,,,,,,,3791.0
