Country code,Country name,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
AFG,AFGHANISTAN,,,,,,,,2.19827286549379E10,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,ANGOLA,,,,,,,,1.35587160355482E10,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,ALBANIA,1.94694261565041E10,1.87692784246593E10,1.82728254595379E10,1.80492910833152E10,1.82655167989104E10,1.64105684542028E10,1.41338568454696E10,1.3514062838701E10,1.16873344917479E10,1.45018161494224E10,1.36494638831537E10,1.20648623293646E10,1.06673428464225E10,1.06653037689451E10,9.8847654588997E9,9.58665339563523E9,1.15210424869609E10,1.02605352201206E10,9.80522879359721E9,1.00016988202923E10,1.00013751606181E10,8.12019298910866E9,1.00064425194438E10,,,,,,,,,,
ARE,UNITED ARAB EMIRATES,,,1.74638348700442E11,1.80151551251673E11,2.03422644135853E11,1.85268577696205E11,1.63621668998939E11,1.43389887975143E11,1.4034806869031E11,1.27650471279992E11,1.25287850592814E11,1.18203436239896E11,,,,,,,,,,,,,,,,,,,,,
ARG,ARGENTINA,,,,,,,2.59964560752018E11,2.41221401057977E11,2.21459194695266E11,2.02246545687334E11,1.86972795104667E11,2.18309341889801E11,2.31606692403235E11,2.33144637243297E11,2.37898243484374E11,2.29908736153422E11,2.10970805429177E11,1.99906837659895E11,2.0905876249849E11,1.97098038492045E11,,,,,,,,,,,,,
ARM,ARMENIA,1.21639657842218E10,1.13623600757665E10,1.10265128260698E10,1.06330885497298E10,1.11302320754766E10,1.05637351092059E10,9.3299937025078E9,8.61559654986624E9,7.91952120158668E9,7.27005149741737E9,6.78035345567507E9,6.22621988583569E9,5.78393379234269E9,5.34065908803574E9,5.26692217755004E9,5.00182542977212E9,4.66202389649098E9,4.49023471144569E9,4.11570553452169E9,3.89744822043743E9,5.32438313952293E9,6.16248022537924E9,6.43265142588279E9,,,,,,,,,,
ATG,ANTIGUA AND BARBUDA,,,,,,,,8.61407669815075E8,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,AUSTRALIA,4.4619740997462E11,4.3210595084738E11,4.17091928865346E11,4.08530109535685E11,4.0816578900534E11,3.89807476674677E11,3.73348220966755E11,3.62825381837538E11,3.475744080775E11,3.31112857437104E11,3.18241728653239E11,3.09259362947605E11,2.98921839615713E11,2.86874017857116E11,2.73050492096287E11,2.6093439609657E11,2.53764453312761E11,2.45565233314089E11,2.34418172551777E11,2.28699774558161E11,2.24131137734326E11,2.19008848450991E11,2.16384019433153E11,2.07282317238839E11,1.97768100932214E11,1.91376713990418E11,1.87987098725415E11,1.78818843489338E11,1.76576120728523E11,1.73771139511428E11,1.69998270523165E11,1.6151906876259E11,1.55963037241553E11
AUT,AUSTRIA,,1.62134646303587E11,1.61010997999228E11,1.58399460108297E11,1.56745205883397E11,1.55679870707175E11,1.54311645739888E11,1.51551509001875E11,1.48296974453876E11,1.45197514712747E11,1.43329377740761E11,1.41876264335773E11,1.39924569278412E11,1.36220026647802E11,1.33496799026885E11,1.30527692327461E11,1.30530454312219E11,1.26817675633399E11,1.25709471588786E11,1.23175927464486E11,1.22987351061702E11,1.18857268631867E11,1.15400962883235E11,1.1071962206592E11,1.06887475132539E11,1.04374829346426E11,1.01898781564852E11,9.97058261978297E10,9.79259062459841E10,1.00096199921712E11,9.4876351622231E10,9.31100241758818E10,9.19484849836752E10
AZE,AZERBAIJAN,,,2.03334027328058E10,2.64172894849983E10,2.73135458296023E10,2.39381598328992E10,2.02715371791531E10,1.4864965928576E10,1.22650388407087E10,1.10842931309583E10,1.04789176923762E10,9.32045065936183E9,9.62100163576446E9,7.90247445473623E9,7.04320380496689E9,6.18367292741473E9,5.52607061905263E9,5.04663983305133E9,5.18135517710817E9,7.07835428679732E9,9.47570813428508E9,,,,,,,,,,,,
BDI,BURUNDI,,2.52716833738065E9,2.71660896159137E9,2.59368036179742E9,2.13162608893368E9,2.10691490835893E9,2.50300527529875E9,2.33146293160239E9,2.00082831508993E9,1.87530948623086E9,1.84865385100179E9,1.75070530913027E9,1.74739599499857E9,,,,,,,,,,,,,,,,,,,,
