Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
AGO,ANGOLA,,,,,,,,,,,,,,,54.3,,,,,,,,,,,,,,,,,,,,
ALB,ALBANIA,0.62,,0.6,,,,0.6,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,ARGENTINA,0.92,,0.9,,0.9,2.0,1.9,2.7,3.7,4.6,,,,,5.1,,,,,,,,,,,,,,,,,,,,
ARM,ARMENIA,2.47,,1.3,,,,1.3,3.5,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,AZERBAIJAN,0.43,,0.4,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,BURUNDI,81.32,,81.3,,,,,,81.3,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,BENIN,47.33,,47.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,BURKINA FASO,44.6,,44.6,,,44.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGD,BANGLADESH,43.25,,43.3,,43.3,,,,,50.5,,,,,58.6,,,,,,,,,,,,,,,,,,,,
BGR,BULGARIA,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,BOSNIA AND HERZEGOWINA,0.04,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR,BELARUS,0.07,,0.1,,,,0.1,0.1,0.1,0.2,,,,,0.3,,,,,,,,,,,,,,,,,,,,
BOL,BOLIVIA,15.61,,15.6,,,,15.6,13.1,16.2,18.2,,,,,26.9,,,,,,,,,,,,,,,,,,,,
BRA,BRAZIL,6.14,,6.1,,,6.1,6.0,7.1,7.6,8.5,,,,,,,,,,,,,,,17.2,,,,,,,,,,
BTN,BHUTAN,1.66,,10.2,,,,,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAF,CENTRAL AFRICAN REPUBLIC,,,62.8,,,,62.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,CHILE,,,1.4,,,1.4,,,1.1,,,,,,2.3,,,,,,,,,,5.1,,,,,,,,,,
CHN,CHINA,11.8,,13.1,,,,13.1,,,16.3,,,,,,,,,,,,,,,60.2,,,,,,,,,,
CIV,COTE D'IVOIRE,23.75,,23.8,,,,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,CAMEROON,9.56,,9.6,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
COG,CONGO,87.72,,87.7,,,,,,87.7,54.1,,,,,,,,,,,,,,,,,,,,,,,,,
COL,COLOMBIA,8.16,,8.2,,8.2,9.7,11.3,8.8,11.0,12.7,,,,,17.9,,,,,,,,,,,,,,,,,,,,15.5
COM,COMOROS,,,46.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPV,CAPE VERDE,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRI,COSTA RICA,,,3.1,,,3.1,2.4,2.2,4.0,3.9,,,,,5.5,,,,,,,,,,8.5,,,,,,,,,,
DJI,DJIBOUTI,18.84,,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
