Country code,Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978
AFG,AFGHANISTAN,,,,,,27.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,ANGOLA,,,,,42.66,,,,,,,,,58.64,,,,,,,,,,,,,,,,,,,,,,
ALB,ALBANIA,,28.96,,,,34.51,,,33.03,31.09,,28.15,,,,,29.12,29.12,,,,,,,,,,,,,,,,,,
ARG,ARGENTINA,,,43.57,44.49,46.13,46.26,47.37,47.72,49.28,50.18,54.72,53.79,53.36,51.11,49.81,50.74,49.11,49.52,48.91,45.96,44.89,45.48,46.61,,,,45.28,42.79,,,,,,,,
ARM,ARMENIA,,30.3,31.32,31.3,29.58,30.86,30.23,32.84,36.16,37.79,33.8,35.66,36.22,,36.01,,,44.42,,,,,,,,,,,,,,,,,,
AUS,AUSTRALIA,,,,,,,,,,,34.01,,34.14,,,,,,33.72,35.19,,,,,33.15,,,,32.5,,,,31.33,,,
AUT,AUSTRIA,,,,,,,,,,30.04,,,,29.15,,,30.28,,31.06,31.52,,,,,,,23.04,,,,,,,,,
AZE,AZERBAIJAN,,,,,,33.71,,,16.64,16.23,18.81,17.36,36.5,,,,,,34.96,,,,,,,,,,,,,,,,,
BDI,BURUNDI,,,,,,,,33.27,,,,,,,,42.39,,,,,,33.33,,,,,,,,,,,,,,
BEL,BELGIUM,,,,,,,,,,,,,,32.97,,,26.89,,28.41,,,24.95,,,,25.71,,,25.36,,,,,,,
BEN,BENIN,,43.53,,,,,,,,,38.62,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,BURKINA FASO,,,,,39.79,,,,,,39.6,,,,,46.85,,,,50.71,,,,,,,,,,,,,,,,
BGD,BANGLADESH,,,,32.12,,,,,33.22,,,,,33.46,,,,33.46,,,,27.6,,,28.85,,,26.92,,25.88,,,,,,
BGR,BULGARIA,,,34.28,35.78,,33.57,28.19,,,,29.22,,34.34,,,,26.38,,31.03,24.32,,30.71,,,23.43,,,,,,,,,,,
BIH,BOSNIA AND HERZEGOWINA,,,,,,,36.21,,,35.78,,,28.03,,,,,,,,,,,,,,,,,,,,,,,
BLR,BELARUS,,,26.48,27.7,27.67,27.22,28.74,28.63,27.92,26.22,28.97,29.97,30.66,30.35,27.96,30.28,,,28.76,,21.6,,,,,22.76,,,,,,,,,,
BLZ,BELIZE,,,,,,,,,,,,,,,53.13,55.01,57.28,56.89,59.54,61.3,59.94,,,,,,,,,,,,,,,
BOL,BOLIVIA,,46.64,46.26,,49.65,56.29,57.44,56.38,57.79,55.01,,59.94,58.54,62.78,57.89,,58.26,,,,53.55,,42.04,,,,,,,,,,,,,
BRA,BRAZIL,,52.67,53.09,,54.69,55.07,55.89,56.77,57.42,57.68,58.78,59.42,60.13,,59.78,60.35,60.53,60.55,60.24,,60.8,53.99,,61.04,63.3,61.43,59.69,58.46,55.59,58.38,58.99,58.42,57.93,,,
BTN,BHUTAN,,38.73,,,,,38.06,,,,46.83,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,BOTSWANA,,,,,60.46,,,,,,64.73,,,,,,,,,60.96,,,,,,,,54.21,,,,,,,,
CAF,CENTRAL AFRICAN REPUBLIC,,,,,,56.3,,,,,43.57,,,,,,,,,,,61.33,,,,,,,,,,,,,,
CAN,CANADA,,,,33.68,,,33.9,,,33.88,,,,32.56,,33.59,31.77,,,31.39,,,31.15,,,,31.6,,,,,,32.6,,,
CHE,SWITZERLAND,,,,,,,,,,32.35,,32.08,,33.68,,,,,,,,37.1,,,,,,,,,,36.63,,,,
CHL,CHILE,,,50.84,,52.06,,,51.84,,,54.64,,,55.26,,55.54,,54.88,,55.05,,54.77,,55.25,,,56.21,,,,,,,,,
CHN,CHINA,,,,42.06,42.06,42.63,,,42.48,,,42.59,,,39.23,,,35.7,,,35.5,,,32.43,,,29.85,,,27.69,,,29.11,,,
CIV,COTE D'IVOIRE,,,,,,41.5,,,,,,48.39,,,,43.75,,,36.68,,36.91,,,,,36.89,40.43,38.62,41.21,,,,,,,
CMR,CAMEROON,,,,,,,38.91,,,,,,40.41,,,,,40.68,,,,,,,,,,,,,,,,,,
COD,"CONGO, THE DRC",,,,,,,,44.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COG,CONGO,,,40.17,,,,,,47.32,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,COLOMBIA,,53.53,54.18,55.91,56.67,57.23,58.88,58.66,56.12,58.29,57.86,60.68,58.01,58.68,58.74,,,56.94,,,,51.45,51.32,,53.59,53.11,,,,,,,,59.13,,
COM,COMOROS,,,,,,,,,,64.3,,,,,,,,,,,,,,,,,,,,,,,,,,
CPV,CAPE VERDE,,,,,,43.82,,,,,,50.52,,,,,,,,,,,,,,,,,,,,,,,,
CRI,COSTA RICA,,48.61,48.6,48.1,50.73,48.87,49.25,49.14,47.63,48.69,49.74,50.72,50.9,46.53,47.67,45.67,45.62,46.54,45.71,46.75,46.0,45.7,46.65,45.3,46.69,,,34.42,,,,,47.49,,,
CZE,CZECH REPUBLIC,,,26.39,26.63,26.18,26.29,,26.74,26.95,,,,,,,,,25.82,,,26.6,,,,,19.4,,,,,,,,,,
DEU,GERMANY,,,,30.63,,,31.83,,,31.5,,,,28.31,,,,,,30.01,,,,,28.61,,,,,29.21,28.46,,28.13,,,
DJI,DJIBOUTI,,,,,,,,,,,,39.96,,,,,,,,,,,,,,,,,,,,,,,,
DNK,DENMARK,,,,26.88,,,25.98,,,24.6,,,,24.06,,,24.7,,23.25,,,25.24,,,,,26.8,,,,,,,,,
DOM,DOMINICAN REPUBLIC,,45.68,47.4,47.2,48.86,49.0,48.69,51.9,51.06,51.95,52.09,50.12,50.43,52.01,,,48.92,47.43,,,,51.36,,,50.46,,,47.78,,,,,,,,
DZA,ALGERIA,,,,,,,,,,,,,,,,,,,35.33,,,,,,,40.19,,,,,,,,,,
ECU,ECUADOR,,46.57,46.21,49.26,49.43,50.62,54.31,53.2,54.14,54.12,55.06,,,56.59,60.13,51.67,,,51.21,54.32,,,,,,,50.49,,,,,,,,,
