Country code,Country name,2014,2013,2012
AFG,AFGHANISTAN,169.0,,175.0
AGO,ANGOLA,149.0,,148.0
ALB,ALBANIA,95.0,,70.0
AND,ANDORRA,37.0,,33.0
ARE,UNITED ARAB EMIRATES,40.0,,41.0
ARG,ARGENTINA,49.0,,45.0
ARM,ARMENIA,87.0,,87.0
ATG,ANTIGUA AND BARBUDA,61.0,,67.0
AUS,AUSTRALIA,2.0,,2.0
AUT,AUSTRIA,21.0,,18.0
AZE,AZERBAIJAN,76.0,,82.0
BDI,BURUNDI,180.0,,178.0
BEL,BELGIUM,21.0,,17.0
BEN,BENIN,165.0,,166.0
BFA,BURKINA FASO,181.0,,183.0
BGD,BANGLADESH,142.0,,146.0
BGR,BULGARIA,58.0,,57.0
BHR,BAHRAIN,44.0,,48.0
BHS,BAHAMAS,51.0,,49.0
BIH,BOSNIA AND HERZEGOWINA,86.0,,81.0
BLR,BELARUS,53.0,,50.0
BLZ,BELIZE,84.0,,96.0
BOL,BOLIVIA,113.0,,108.0
BRA,BRAZIL,79.0,,85.0
BRB,BARBADOS,59.0,,38.0
BRN,BRUNEI DARUSSALAM,30.0,,30.0
BTN,BHUTAN,136.0,,140.0
BWA,BOTSWANA,109.0,,119.0
CAF,CENTRAL AFRICAN REPUBLIC,185.0,,180.0
CAN,CANADA,8.0,,11.0
CHE,SWITZERLAND,3.0,,9.0
CHL,CHILE,41.0,,40.0
CHN,CHINA,91.0,,101.0
CIV,COTE D'IVOIRE,171.0,,168.0
CMR,CAMEROON,152.0,,150.0
COG,CONGO,186.0,,186.0
COL,COLOMBIA,98.0,,91.0
COM,COMOROS,159.0,,169.0
CPV,CAPE VERDE,123.0,,132.0
CRI,COSTA RICA,68.0,,62.0
CUB,CUBA,44.0,,59.0
CYP,CYPRUS,32.0,,31.0
CZE,CZECH REPUBLIC,28.0,,28.0
DEU,GERMANY,6.0,,5.0
DJI,DJIBOUTI,170.0,,164.0
DMA,DOMINICA,93.0,,72.0
DNK,DENMARK,10.0,,15.0
