Country code,Country name,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
ABW,ARUBA,101597.0,101418.0,101344.0,101219.0,100830.0,100031.0,98742.0,97015.0,94995.0,92894.0,90858.0,89004.0,87276.0,85447.0,83195.0,80326.0,76700.0,72498.0,68235.0,64623.00000000001,62148.0,61032.0,61077.0,61835.0,62644.0,63028.0,62831.0,62204.0,61344.0,60567.0,60096.0,59978.0,60106.0,60366.0,60589.0,60655.0,60525.0,60239.0,59849.0,59438.0,59065.0,58724.0,58385.0,58049.0,57712.0,57360.0,57029.0,56697.0,56226.0,55435.0,54208.0,52535.0,50499.0,48242.0,45933.0,43727.0,41763.0,40149.0,38965.0,38263.0,38066.0
AFG,AFGHANISTAN,2.8397812E7,2.7708187E7,2.7032197E7,2.6349243E7,2.5631282E7,2.4860855E7,2.4018682E7,2.3116142E7,2.2202806E7,2.1347782E7,2.059536E7,1.9987071E7,1.9496836E7,1.9021226E7,1.8415307E7,1.7586073E7,1.6485018E7,1.5175325E7,1.3811876E7,1.2612043E7,1.1731193E7,1.1215323E7,1.1013345E7,1.1063107E7,1.1262439E7,1.1528977E7,1.1854205E7,1.2241928E7,1.2634494E7,1.2963788E7,1.3180431E7,1.3257128E7,1.3199597E7,1.303446E7,1.280681E7,1.255179E7,1.2273589E7,1.1966352E7,1.1644377E7,1.1323446E7,1.1015621E7,1.0729191E7,1.046577E7,1.0221902E7,9990125.0,9765015.0,9547131.0,9339507.0,9141783.0,8953544.0,8774440.0,8604222.0,8442730.0,8289858.0,8145520.0,8009614.0,7882009.0,7762538.0,7651002.0,7547158.0,7450738.0
AGO,ANGOLA,1.9549124E7,1.892665E7,1.8314441E7,1.7712824E7,1.7122409E7,1.6544376E7,1.5976715E7,1.5421075E7,1.4886574E7,1.4385283E7,1.392493E7,1.3510616E7,1.3137542E7,1.2791388E7,1.2451945E7,1.2104952E7,1.1743432E7,1.1372156E7,1.1002758E7,1.0652727E7,1.0333844E7,1.0051133E7,9798055.0,9561022.0,9320678.0,9063646.0,8784753.0,8489864.0,8190093.0,7901870.0,7637141.0,7399204.0,7184444.0,6989550.0,6808733.0,6637628.0,6475333.0,6323057.0,6180863.0,6049214.0,5928087.0,5817283.0,5715372.0,5619643.0,5526653.0,5433841.0,5339893.0,5245015.0,5150076.0,5056688.0,4965988.0,4878231.0,4792925.0,4709184.0,4626105.0,4543150.0,4460252.0,4377899.0,4297156.0,4219637.0,4147509.0
AIA,ANGUILLA,13768.0,13571.0,13365.0,13145.0,12903.0,12637.0,12342.0,12023.0,11693.0,11371.0,11071.0,10797.0,10545.0,10305.0,10063.0,9807.0,9540.0,9266.0,8979.0,8668.0,8334.0,7966.0,7576.0,7198.0,6883.0,6662.0,6551.0,6537.0,6587.0,6652.0,6698.0,6715.0,6712.0,6691.0,6661.0,6630.0,6596.0,6554.0,6506.0,6454.0,6400.0,6344.0,6287.0,6228.0,6171.0,6114.0,6057.0,6001.0,5948.0,5901.0,5863.0,5831.0,5805.0,5777.0,5743.0,5697.0,5635.0,5549.0,5438.0,5297.0,5121.0
ALB,ALBANIA,3150143.0,3151185.0,3156608.0,3166222.0,3179573.0,3196130.0,3216197.0,3239385.0,3263596.0,3286084.0,3304948.0,3317941.0,3325456.0,3331317.0,3341043.0,3357858.0,3384367.0,3417280.0,3446858.0,3459763.0,3446882.0,3404408.0,3336434.0,3251512.0,3162225.0,3077930.0,3001325.0,2930351.0,2863902.0,2799345.0,2734776.0,2670572.0,2607936.0,2546617.0,2486256.0,2426592.0,2367499.0,2309029.0,2251320.0,2194588.0,2138966.0,2084532.0000000002,2031167.0,1978582.0,1926382.0,1874302.0,1822299.0,1770530.0,1719181.0,1668531.0,1618829.0,1570267.0,1522982.0,1477097.0,1432752.0,1390137.0,1349510.0,1311197.0,1275597.0,1243181.0,1214489.0
AND,ANDORRA,77907.0,78659.0,79969.0,81292.0,81877.0,81223.0,79060.0,75643.0,71639.0,68000.0,65399.0,64084.0,63799.0,64090.0,64274.0,63854.0,62707.0,61003.0,58904.0,56674.0,54511.0,52449.0,50431.0,48458.0,46515.0,44597.0,42704.0,40862.0,39112.0,37502.0,36063.0,34819.0,33746.0,32769.0,31781.0,30706.0,29514.0,28231.0,26892.0,25560.0,24279.0,23061.0,21888.0,20755.0,19646.0,18551.0,17470.0,16410.0,15376.0,14376.0,13414.0,12494.0,11616.0,10781.0,9987.0,9235.0,8526.0,7863.0,7250.0,6692.0,6197.0
ARE,UNITED ARAB EMIRATES,8441537.0,7718319.0,6798635.0,5797347.0,4875639.0,4148883.0,3658658.0,3369254.0,3223969.0,3132104.0,3026352.0,2893648.0,2753498.0,2608993.0,2470810.0,2346305.0,2232159.0,2121143.0,2012977.0,1908002.0,1806498.0,1707085.0,1609170.0,1514798.0,1426915.0,1347218.0,1277300.0,1215380.0,1155765.0,1090660.0,1014825.0,926112.0,827191.0,723617.0,623450.0,532742.0,452848.0,382599.0,322439.0,272211.0,231529.0,201157.0,180762.0,167360.0,156890.0,146341.0,134411.0,121574.0,108774.0,97727.0,89608.0,84598.0,82049.0,80841.0,79821.0,78182.0,75607.0,72342.0,69222.0,67650.0,69590.0
ARG,ARGENTINA,4.0374224E7,4.0023641E7,3.9676083E7,3.9331357E7,3.8988923E7,3.8647854E7,3.8308779E7,3.7970411E7,3.7627545E7,3.7273361E7,3.6903067E7,3.6514558E7,3.6109342E7,3.5690778E7,3.526407E7,3.4833168E7,3.4399343E7,3.3961947E7,3.3520803E7,3.3075194000000004E7,3.2624874E7,3.2170407E7,3.1713147E7,3.1254574E7,3.0796481E7,3.0340419E7,2.9886564E7,2.9435404E7,2.8989069E7,2.8550123E7,2.8120135E7,2.7701412E7,2.7293093E7,2.6889764E7,2.6483835E7,2.6070443E7,2.5646533E7,2.5215328E7,2.478583E7,2.437066E7,2.3978532E7,2.3612675E7,2.3269302E7,2.2941477E7,2.2618887E7,2.2293817E7,2.1963952E7,2.1630854E7,2.129529E7,2.0959241E7,2.0623998E7,2.0289515E7,1.9954635E7,1.9617627E7,1.9276796E7,1.8931045E7,1.8580079E7,1.8224511E7,1.78659E7,1.7506714E7,1.7150335E7
ARM,ARMENIA,2963496.0,2968154.0,2977488.0,2989882.0,3002911.0,3014917.0,3025652.0,3036032.0,3047002.0,3059960.0,3076098.0,3093820.0,3112958.0,3137652.0,3173425.0,3223173.0,3289943.0,3369673.0,3449497.0,3511912.0,3544695.0,3542720.0,3510439.0,3457054.0,3396511.0,3339147.0,3287588.0,3239212.0,3192877.0,3145885.0,3096298.0,3044564.0,2991954.0,2938181.0,2882831.0,2825650.0,2766495.0,2705584.0,2643464.0,2580894.0,2518408.0,2456370.0,2394635.0,2332624.0,2269475.0,2204650.0,2138133.0,2070427.0000000002,2002170.0,1934239.0,1867396.0,1802171.0,1738902.0,1677837.0,1619242.0,1563508.0,1511188.0,1463017.0,1419913.0,1382982.0,1353506.0
ASM,AMERICAN SAMOA,55636.0,56245.0,57053.0,57919.0,58652.0,59117.0,59262.0,59117.0,58729.0,58176.0,57522.0,56768.0,55899.0,54942.0,53926.0,52874.0,51807.0,50725.0,49597.0,48379.0,47044.0,45591.0,44049.0,42448.0,40835.0,39247.0,37687.0,36165.0,34740.0,33488.0,32456.000000000004,31670.0,31105.0,30690.0,30325.0,29932.0,29491.0,29014.0,28490.0,27916.0,27292.0,26615.0,25886.0,25116.0,24320.0,23518.0,22701.0,21883.0,21118.0,20478.0,20012.0,19729.0,19606.0,19597.0,19647.0,19706.0,19729.0,19683.0,19543.0,19295.0,18937.0
ATG,ANTIGUA AND BARBUDA,87233.0,86300.0,85349.0,84397.0,83467.0,82565.0,81718.0,80904.0,80030.0,78972.0,77648.0,76041.0,74206.0,72232.0,70245.0,68349.0,66550.0,64867.99999999999,63434.0,62412.0,61906.0,61967.0,62538.0,63484.0,64605.00000000001,65744.0,66863.0,67958.0,68950.0,69750.0,70301.0,70553.0,70508.0,70223.0,69782.0,69253.0,68655.0,67972.0,67205.0,66338.0,65369.0,64307.0,63176.0,62002.0,60818.0,59653.0,58500.0,57368.0,56311.0,55403.0,54681.0,54143.0,53744.0,53411.0,53062.0,52611.0,51979.0,51092.0,49887.0,48306.0,46301.0
AUS,AUSTRALIA,2.2404488E7,2.2037143E7,2.1645095E7,2.1246274E7,2.0865583E7,2.0520736E7,2.0218481E7,1.9953121E7,1.9714625E7,1.9487257E7,1.9259377E7,1.9027438E7,1.8794552E7,1.8563442E7,1.8339037E7,1.8124234E7,1.7920592E7,1.7724669E7,1.7528564E7,1.7321654E7,1.7096869E7,1.6851083E7,1.6588047999999998E7,1.6316143E7,1.6047453E7,1.5791043E7,1.5548585E7,1.5318246E7,1.5101223E7,1.4898018E7,1.4708323E7,1.4532401E7,1.4368543E7,1.4211657E7,1.4054956E7,1.3892674E7,1.37254E7,1.355219E7,1.3364238E7,1.3150591E7,1.290476E7,1.262124E7,1.230553E7,1.1975795E7,1.1657281E7,1.1368011E7,1.1114995E7,1.08927E7,1.069122E7,1.0494911E7,1.0292328E7,1.0079604E7,9859257.0,9637408.0,9420602.0,9212824.0,9014508.0,8821938.0,8627052.0,8417640.0,8177344.0
AUT,AUSTRIA,8401924.0,8371710.999999999,8342129.000000001,8311463.0,8277393.0,8238603.999999999,8193156.999999999,8142322.0,8091804.0,8049440.0,8020262.0,8007843.0,8009051.0,8014124.0,8009345.0,7985372.0,7938225.0,7872361.0,7797197.0,7726437.0,7670001.0,7631039.0,7606570.0,7592974.0,7584216.0,7575891.0,7566601.0,7557842.0,7551369.0,7549957.0,7555154.0,7567706.0,7585517.0,7603890.0,7616500.0,7618820.0,7609054.0,7588450.0,7559317.0,7525385.0,7489485.0,7452541.0,7414024.0,7373684.0,7330863.0,7285375.0,7237199.0,7187530.0,7138841.0,7094324.0,7056280.0,7025570.0,7001812.0,6983824.0,6970153.0,6959541.0,6951103.0,6944412.0,6939536.0,6937008.0,6937818.0
AZE,AZERBAIJAN,9094718.0,8986266.0,8877669.0,8770122.0,8665006.0,8563398.0,8465127.0,8370169.0,8279768.0,8195427.0,8117742.0,8047936.0,7984460.0,7921745.0,7852273.0,7770806.0,7675128.0,7567156.0,7450920.0,7332519.0,7216503.0,7104058.0,6994139.0,6886428.0,6779970.0,6674107.0,6568857.0,6464775.0,6362289.0,6261942.0,6163990.0,6068531.0,5975045.0,5882395.0,5789050.0,5693796.0,5596160.0,5496061.0,5393176.0,5287272.0,5178160.0,5066080.0,4950977.0,4832098.0,4708485.0,4579759.0,4445653.0,4307315.0,4167558.0,4030130.0,3897889.0,3772187.0,3653083.0,3539858.0,3431597.0,3327733.0,3228233.0,3133703.0,3045429.0,2965338.0,2895997.0
