Country code,Country name,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
ABW,ARUBA,0.311,,,,,1.924,,,,,2.464,,,,,5.131,,,,,-0.281,,,,,0.953,,,,,-0.185,,,,,0.531,,,,,0.586,,,,,1.13,,,,,4.297,,,,,2.773
AFG,AFGHANISTAN,2.66,,,,,3.765,,,,,3.159,,,,,8.097,,,,,0.348,,,,,-2.677,,,,,0.977,,,,,2.611,,,,,2.41,,,,,2.139,,,,,1.824,,,,,1.447
AGO,ANGOLA,3.338,,,,,3.447,,,,,2.801,,,,,3.164,,,,,2.623,,,,,3.425,,,,,2.805,,,,,2.261,,,,,1.741,,,,,1.801,,,,,1.78,,,,,1.822
AIA,ANGUILLA,1.714,,,,,2.646,,,,,2.425,,,,,3.255,,,,,4.478,,,,,-0.108,,,,,0.204,,,,,0.706,,,,,0.914,,,,,0.838,,,,,0.574,,,,,2.132
ALB,ALBANIA,-0.29,,,,,-0.67,,,,,-0.318,,,,,-0.523,,,,,2.264,,,,,2.364,,,,,2.391,,,,,2.523,,,,,2.642,,,,,2.931,,,,,3.046,,,,,2.702
AND,ANDORRA,-0.834,,,,,4.334,,,,,0.478,,,,,3.164,,,,,4.015,,,,,4.248,,,,,3.216,,,,,4.697,,,,,5.382,,,,,6.484,,,,,7.466,,,,,7.979
ARE,UNITED ARAB EMIRATES,14.207,,,,,6.31,,,,,5.09,,,,,5.229,,,,,5.867,,,,,5.667,,,,,12.889,,,,,16.667,,,,,9.175,,,,,9.81,,,,,2.728,,,,,2.329
ARG,ARGENTINA,0.874,,,,,0.924,,,,,1.154,,,,,1.31,,,,,1.452,,,,,1.52,,,,,1.514,,,,,1.673,,,,,1.457,,,,,1.557,,,,,1.713,,,,,1.976
ARM,ARMENIA,-0.344,,,,,-0.402,,,,,-0.934,,,,,-1.902,,,,,1.195,,,,,1.51,,,,,1.829,,,,,2.302,,,,,2.661,,,,,3.32,,,,,3.552,,,,,2.885
ASM,AMERICAN SAMOA,-1.214,,,,,0.547,,,,,1.685,,,,,2.337,,,,,3.624,,,,,3.8,,,,,1.619,,,,,1.847,,,,,2.977,,,,,3.229,,,,,0.308,,,,,0.796
