Country code,Country name,2050,2049,2048,2047,2046,2045,2044,2043,2042,2041,2040,2039,2038,2037,2036,2035,2034,2033,2032,2031,2030,2029,2028,2027,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
ABW,ARUBA,58.01,,,,,56.035,,,,,54.041,,,,,52.105,,,,,50.447,,,,,49.084,,,,,48.018,,,,,47.249,,,,,46.777,,,,,46.6,,,,,46.703,,,,,48.761,,,,,50.319,,,,,50.395,,,,,50.472,,,,,50.548,,,,,50.624,,,,,50.7,,,,,50.776,,,,,50.852,,,,,50.928
AFG,AFGHANISTAN,43.412,,,,,40.208,,,,,37.085,,,,,34.067,,,,,31.23,,,,,28.748,,,,,26.607,,,,,24.78,,,,,23.239,,,,,21.882,,,,,20.583,,,,,19.341,,,,,18.157,,,,,16.917,,,,,15.675,,,,,13.278,,,,,11.031,,,,,9.353,,,,,7.993,,,,,6.815,,,,,5.8
AGO,ANGOLA,77.961,,,,,76.167,,,,,74.275,,,,,72.288,,,,,70.209,,,,,68.025,,,,,65.403,,,,,62.197,,,,,58.379,,,,,53.943,,,,,48.987,,,,,43.988,,,,,37.144,,,,,30.338,,,,,24.298,,,,,19.128,,,,,14.957,,,,,12.504,,,,,10.435,,,,,8.902,,,,,7.576
AIA,ANGUILLA,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0
ALB,ALBANIA,77.128,,,,,75.33,,,,,73.439,,,,,71.459,,,,,69.069,,,,,66.005,,,,,62.207,,,,,57.635,,,,,52.322,,,,,46.804,,,,,41.741,,,,,38.911,,,,,36.428,,,,,35.083,,,,,33.762,,,,,32.712,,,,,31.74,,,,,31.23,,,,,30.705,,,,,26.864,,,,,20.528
AND,ANDORRA,84.197,,,,,83.367,,,,,82.503,,,,,81.603,,,,,81.076,,,,,81.549,,,,,82.966,,,,,85.147,,,,,87.817,,,,,90.295,,,,,92.395,,,,,93.661,,,,,94.712,,,,,95.159,,,,,92.064,,,,,87.252,,,,,80.155,,,,,70.445,,,,,58.45,,,,,48.568,,,,,38.8
ARE,UNITED ARAB EMIRATES,90.601,,,,,90.065,,,,,89.502,,,,,88.912,,,,,88.293,,,,,87.578,,,,,86.655,,,,,85.49,,,,,84.042,,,,,82.262,,,,,80.236,,,,,78.319,,,,,79.051,,,,,79.804,,,,,80.71,,,,,79.615,,,,,77.701,,,,,75.661,,,,,73.5,,,,,64.572,,,,,54.5
ARG,ARGENTINA,95.315,,,,,95.076,,,,,94.824,,,,,94.561,,,,,94.285,,,,,93.996,,,,,93.616,,,,,93.078,,,,,92.349,,,,,91.382,,,,,90.125,,,,,88.654,,,,,86.984,,,,,85.038,,,,,82.887,,,,,80.969,,,,,78.88,,,,,76.369,,,,,73.611,,,,,69.633,,,,,65.339
ARM,ARMENIA,73.899,,,,,72.358,,,,,70.762,,,,,69.114,,,,,67.431,,,,,66.006,,,,,64.96,,,,,64.31,,,,,64.066,,,,,64.184,,,,,64.666,,,,,66.057,,,,,67.421,,,,,67.09,,,,,66.05,,,,,63.611,,,,,59.864,,,,,55.622,,,,,51.275,,,,,45.951,,,,,40.339
ASM,AMERICAN SAMOA,96.84,,,,,96.575,,,,,96.288,,,,,95.978,,,,,95.643,,,,,95.282,,,,,94.837,,,,,94.107,,,,,92.978,,,,,91.283,,,,,88.766,,,,,85.28,,,,,80.948,,,,,77.762,,,,,74.33,,,,,72.354,,,,,70.384,,,,,68.334,,,,,66.211,,,,,64.02,,,,,61.769
