Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
AFG,AFGHANISTAN,4436255.0,4245861.0,4063639.0,3889237.0,3722320.0,3562567.0,3409670.0,3263335.0,3123281.0,2989237.0,2860946.0,2738161.0,2620804.0,2508477.0,2401109.0,2298059.0,2199565.0,2105292.0,2015181.0,1928694.0,1846031.0,1766910.0,1691283.0,1618697.0,1549320.0,1482916.0,1419444.0,1358525.0,1300299.0,1239961.0,1182500.0,1127555.0,1075233.0,1025339.0,977824.0,932388.0,860289.0,793178.0,731385.0,674254.0,621656.0,573161.0,528508.0,495303.0,471891.0,449585.0,428363.0,408087.0,388232.0,368809.0,350382.0,332829.0,316177.0,300359.0,285352.0
AGO,ANGOLA,6492631.0,6224275.0,5967151.0,5720785.0,5484719.0,5258517.0,5042053.0,4834049.0,4550833.0,4284264.0,4033699.0,3797208.0,3574927.0,3365702.0,3169028.0,2983391.0,2808901.0,2644652.0,2490249.0,2343753.0,2206094.0,2076551.0,1949038.0,1829044.0,1716595.0,1611067.0,1512165.0,1419093.0,1331871.0,1250016.0,1173300.0,1101104.0,1038310.0,979399.0,924160.0,872129.0,823306.0,777412.0,734313.0,693659.0,655457.0,619495.0,585679.0,553738.0,519792.0,483690.0,450176.0,418938.0,389940.0,362983.0,337952.0,314616.0,292948.0,272798.0,256496.0
ARE,UNITED ARAB EMIRATES,4673386.0,4371031.0,4088329.0,3823292.0,3575848.0,3344493.0,3128466.0,2925921.0,2736803.0,2562410.0,2402460.0,2252228.0,2111703.0,1980065.0,1856909.0,1741211.0,1632966.0,1531544.0,1436636.0,1353365.0,1281699.0,1214038.0,1150234.0,1089813.0,1032825.0,978995.0,928205.0,880083.0,834671.0,792594.0,753780.0,716927.0,682078.0,649068.0,600258.0,536655.0,480348.0,430379.0,386053.0,341209.0,297094.0,258699.0,225322.0,196190.0,170865.0,148819.0,129650.0,115954.0,105011.0,95240.0,86518.0,78688.0,71681.0,65392.0,59748.0
ARG,ARGENTINA,1.7894292E7,1.7667401E7,1.7443432E7,1.7221741E7,1.7003212E7,1.67875E7,1.657486E7,1.6364381E7,1.6156903E7,1.5952098E7,1.575021E7,1.5550372E7,1.5353381E7,1.5141774E7,1.4906728E7,1.4674869E7,1.4447098E7,1.4223029E7,1.4002903E7,1.3785756E7,1.3572433E7,1.3362572E7,1.3156401E7,1.2953015E7,1.2797271E7,1.2649899E7,1.2504466E7,1.2360354E7,1.2218141E7,1.2077604E7,1.1938915E7,1.1801483E7,1.1665857E7,1.153183E7,1.1385374E7,1.1209104E7,1.103584E7,1.0865297E7,1.0697659E7,1.0532195E7,1.0369553E7,1.0209459E7,1.005209E7,9896760.0,9730645.0,9527719.0,9329348.0,9134629.0,8944284.0,8757954.0,8575802.0,8396996.0,8222202.0,8051091.0,7874292.0
ARM,ARMENIA,1048641.0,1052856.0,1057088.0,1061337.0,1065597.0,1069873.0,1074162.0,1078479.0,1082807.0,1087153.0,1091510.0,1095897.0,1100296.0,1105179.0,1111301.0,1117475.0,1123674.0,1129908.0,1136168.0,1142480.0,1148818.0,1155191.0,1161591.0,1168044.0,1174524.0,1181040.0,1174643.0,1157099.0,1139841.0,1122840.0,1106116.0,1089596.0,1073344.0,1057335.0,1041587.0,1026030.0,1001700.0,970575.0,940457.0,911195.0,882882.0,855448.0,828904.0,803112.0,778158.0,751671.0,724248.0,697755.0,672265.0,647706.0,624076.0,601247.0,579282.0,558120.0,537759.0
AUS,AUSTRALIA,1.3867796E7,1.3714074E7,1.356234E7,1.3412564E7,1.326472E7,1.3118778E7,1.2974911E7,1.2832498E7,1.2692105E7,1.2528974E7,1.2368437E7,1.220993E7,1.2054067E7,1.1900586E7,1.1753253E7,1.1607465E7,1.146378E7,1.1321972E7,1.1182206E7,1.1062359E7,1.0944366E7,1.0827932E7,1.0713193E7,1.0599652E7,1.0443843E7,1.029038E7,1.0139665E7,9991030.0,9845048.0,9714898.0,9586991.0,9460695.0,9336498.0,9214191.0,9119442.0,9025775.0,8933417.0,8842221.0,8752289.0,8640470.0,8530355.0,8421887.0,8315181.0,8209772.0,7834387.0,7475722.0,7134833.0,6809448.0,6500099.0,6336209.0,6177353.0,6022383.0,5871817.0,5725319.0,5569845.0
AUT,AUSTRIA,1743284.0,1732328.0,1721442.0,1710624.0,1699888.0,1689220.0,1678633.0,1668084.0,1657616.0,1640995.0,1618539.0,1596329.0,1574455.0,1552880.0,1549227.0,1548195.0,1547166.0,1546137.0,1545111.0,1544082.0,1543055.0,1542030.0,1541006.0,1539980.0,1539106.0,1538255.0,1537405.0,1536554.0,1535704.0,1534855.0,1534007.0,1533157.0,1532310.0,1531462.0,1538780.0,1547466.0,1556188.0,1564960.0,1573769.0,1582652.0,1591573.0,1600544.0,1609553.0,1618638.0,1620537.0,1621293.0,1622048.0,1622806.0,1623563.0,1624321.0,1625077.0,1625837.0,1626595.0,1627354.0,1626724.0
AZE,AZERBAIJAN,2317140.0,2250495.0,2185767.0,2122901.0,2061843.0,2002541.0,1945022.0,1905967.0,1884268.0,1867301.0,1854885.0,1842519.0,1830251.0,1818065.0,1805977.0,1793936.0,1785082.0,1778545.0,1772041.0,1765543.0,1759077.0,1752636.0,1746226.0,1739823.0,1733452.0,1727104.0,1714392.0,1696194.0,1678213.0,1660424.0,1642846.0,1625408.0,1608178.0,1591131.0,1574287.0,1557576.0,1530841.0,1496142.0,1462275.0,1429085.0,1396692.0,1365033.0,1334134.0,1303852.0,1274298.0,1244857.0,1215677.0,1187103.0,1159239.0,1132029.0,1105494.0,1079510.0,1054171.0,1029427.0,1005297.0
BEL,BELGIUM,2028657.0,2010780.0,1993061.0,1975498.0,1958115.0,1940884.0,1923828.0,1906876.0,1890097.0,1873464.0,1857001.0,1840638.0,1824441.0,1808387.0,1792495.0,1776700.0,1761066.0,1745570.0,1730230.0,1714984.0,1711065.0,1707155.0,1703259.0,1699362.0,1695478.0,1691604.0,1687744.0,1683882.0,1680034.0,1676195.0,1672369.0,1668543.0,1664730.0,1660926.0,1653780.0,1644963.0,1636205.0,1627493.0,1618840.0,1610209.0,1601636.0,1593109.0,1584639.0,1576190.0,1567635.0,1558966.0,1550357.0,1541772.0,1533246.0,1524767.0,1516347.0,1507950.0,1499611.0,1491853.0,1484676.0
BFA,BURKINA FASO,2565194.0,2384157.0,2215896.0,2059511.0,1914162.0,1779072.0,1653515.0,1536819.0,1428359.0,1327553.0,1233987.0,1146783.0,1065850.0,990628.0,920808.0,855737.0,795344.0,739213.0,696309.0,666861.0,638696.0,611721.0,585920.0,561141.0,537441.0,514742.0,493032.0,472181.0,452238.0,423537.0,385721.0,351190.0,319792.0,291201.0,265200.0,241459.0,219871.0,200214.0,182337.0,167360.0,155361.0,144223.0,133897.0,124284.0,115374.0,107102.0,99434.0,93170.0,87309.0,81816.0,76676.0,71845.0,67325.0,63090.0,59126.0
BGD,BANGLADESH,2.2463974E7,2.1798363E7,2.1155445E7,2.0534461E7,1.9934684E7,1.9355409E7,1.8796715E7,1.8255674E7,1.7733924E7,1.7230095E7,1.6744257E7,1.6273863E7,1.5820339E7,1.5382494E7,1.4840726E7,1.4227875E7,1.3641777E7,1.3080456E7,1.2543574E7,1.2027935E7,1.1534741E7,1.1062333E7,1.061043E7,1.0176347E7,9628934.0,9057587.0,8522390.0,8018930.0,7547229.0,7104593.0,6689723.0,6299225.0,5933144.0,5589412.0,5232885.0,4883526.0,4558415.0,4255408.0,3973351.0,3709692.0,3464236.0,3181895.0,2899056.0,2641146.0,2406917.0,2193856.0,2000271.0,1823639.0,1663122.0,1517017.0,1384183.0,1262899.0,1152609.0,1052152.0,990663.0
