Country code,Country name,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
AFG,AFGHANISTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8
AGO,ANGOLA,,3.4,,,,2.6,2.6,,,,,2.6,,,,,,,,,,,,,,,,,,,,
AND,ANDORRA,,2.9,3.1,3.2,2.6,2.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,UNITED ARAB EMIRATES,,,1.0,0.8,0.7,0.8,1.0,,,,,1.3,,,,,,,,,,,,,,,,,,,,
ARG,ARGENTINA,,,6.0,5.4,4.9,4.5,,,,,,4.6,,,,,,,,,,1.1,,,,,,,,,,2.6
ARM,ARMENIA,,3.2,3.8,3.2,3.0,2.7,2.7,,,,,2.8,,,,,,,,,,,,,,,,,,,,
ATG,ANTIGUA AND BARBUDA,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,AUSTRALIA,,,5.1,4.4,4.5,4.5,4.7,,,,,4.7,,,,,,,,,,4.6,,,,,,,,,,5.6
AUT,AUSTRIA,,,,5.5,5.3,5.4,5.4,,,,,5.7,,,,,,,,,,5.0,,,,,,,,,,5.0
AZE,AZERBAIJAN,,,3.2,2.4,2.5,2.6,3.0,,,,,3.9,,,,,,,,,,,,,,,,,,,,
BDI,BURUNDI,,9.2,8.3,7.2,,,5.1,,,,,3.2,,,,,,,,,,3.4,,,,,,,,,,
BEL,BELGIUM,,,,6.4,6.0,6.0,5.9,,,,,,,,,,,,,,,,,,,,,,,,,5.4
BEN,BENIN,,,4.5,4.1,3.5,3.8,4.1,,,,,3.3,,,,,,,,,,,,,,,,,,,,
BFA,BURKINA FASO,,4.0,,,4.6,4.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,2.0
BGD,BANGLADESH,,,2.2,2.4,2.6,2.5,,,,,,2.4,,,,,,,,,,1.6,,,,,,,,,,0.9
BGR,BULGARIA,,,,4.4,3.9,4.0,4.2,,,,,,,,,,,,,,,4.5,,,,,,,,,,3.5
BHR,BAHRAIN,,,,2.9,3.0,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
BHS,BAHAMAS,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,
BLR,BELARUS,,,4.5,,5.2,6.1,5.9,,,,,6.2,,,,,,,,,,,,,,,,,,,,
BLZ,BELIZE,,,6.1,5.7,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
BOL,BOLIVIA,,,,,,6.3,,,,,,5.5,,,,,,,,,,,,,,,,,,,,
BRA,BRAZIL,,,5.7,5.4,5.1,5.0,4.5,,,,,4.0,,,,,,,,,,,,,,,,,,,,
BRB,BARBADOS,,,6.7,6.7,6.9,,6.9,,,,,5.6,,,,,,,,,,,,,,,,,,,,
BRN,BRUNEI DARUSSALAM,,2.0,,,,,,,,,,3.7,,,,,,,,,,4.0,,,,,,,,,,1.2
BTN,BHUTAN,,4.0,4.6,4.8,,,7.2,,,,,5.8,,,,,,,,,,,,,,,,,,,,
BWA,BOTSWANA,,,7.8,,8.0,,9.5,,,,,,,,,,,,,,,5.7,,,,,,,,,,5.5
CAF,CENTRAL AFRICAN REPUBLIC,,1.2,1.3,1.3,1.3,1.4,1.6,,,,,1.5,,,,,,,,,,2.2,,,,,,,,,,
CAN,CANADA,,,,4.8,4.9,,4.9,,,,,5.6,,,,,,,,,,6.1,,,,,,,,,,6.6
CHE,SWITZERLAND,,,,5.4,5.2,5.5,5.7,,,,,5.2,,,,,,,,,,4.9,,,,,,,,,,4.7
CHL,CHILE,,,4.5,4.0,3.4,3.2,3.4,,,,,3.9,,,,,,,,,,2.4,,,,,,,,,,4.4
CHN,CHINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9
CIV,COTE D'IVOIRE,,,,4.6,4.4,4.2,4.3,,,,,3.8,,,,,,,,,,,,,,,,,,,,6.9
CMR,CAMEROON,,3.5,3.6,2.9,3.3,3.0,3.1,,,,,1.9,,,,,,,,,,3.3,,,,,,,,,,
COG,CONGO,,2.5,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,2.3
COL,COLOMBIA,,4.8,4.7,3.9,4.1,3.9,4.0,,,,,3.5,,,,,,,,,,,,,,,,,,,,1.7
COM,COMOROS,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPV,CAPE VERDE,,5.6,5.7,6.4,6.1,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,
CRI,COSTA RICA,,,6.3,5.0,4.7,4.7,,,,,,4.4,,,,,,,,,,,,,,,,,,,,7.3
CUB,CUBA,,12.9,13.1,14.1,11.9,9.1,10.6,,,,,7.7,,,,,,,,,,,,,,,,,,,,8.4
CYP,CYPRUS,,,7.9,7.4,6.9,7.0,6.9,,,,,5.3,,,,,,,,,,3.3,,,,,,,,,,3.4
CZE,CZECH REPUBLIC,,,4.5,4.1,4.2,4.6,4.3,,,,,4.0,,,,,,,,,,,,,,,,,,,,
DEU,GERMANY,,,,4.6,4.5,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,
DJI,DJIBOUTI,,,,,8.4,8.3,8.4,,,,,9.7,,,,,,,,,,,,,,,,,,,,
DMA,DOMINICA,,3.6,3.5,3.8,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,DENMARK,,,8.7,7.7,7.8,8.0,8.3,,,,,8.3,,,,,,,,,,,,,,,,,,,,6.0
DOM,DOMINICAN REPUBLIC,,,,,2.2,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,
DZA,ALGERIA,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
ECU,ECUADOR,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,
EGY,EGYPT,,,,3.8,3.7,4.0,4.8,,,,,,,,,,,,,,,,,,,,,,,,,4.2
ERI,ERITREA,,,,,,2.1,,,,,,3.2,,,,,,,,,,,,,,,,,,,,
ESP,SPAIN,,,5.0,4.6,4.3,4.3,4.2,,,,,4.3,,,,,,,,,,3.7,,,,,,,,,,
EST,ESTONIA,,,,5.7,4.8,,4.9,,,,,5.4,,,,,,,,,,,,,,,,,,,,
ETH,ETHIOPIA,,4.7,4.6,5.4,5.5,5.5,,,,,,3.9,,,,,,,,,,,,,,,,,,,,
FIN,FINLAND,,,6.8,6.1,5.9,6.2,6.3,,,,,5.9,,,,,,,,,,5.4,,,,,,,,,,4.9
FJI,FIJI,,,4.5,4.2,5.8,5.6,5.1,,,,,5.9,,,,,,,,,,,,,,,,,,,,
FRA,FRANCE,,,5.9,5.6,5.6,5.6,5.7,,,,,5.7,,,,,,,,,,4.6,,,,,,,,,,4.4
FSM,"MICRONESIA, FEDERATED STATES OF",,,,,,,,,,,,6.7,,,,,,,,,,,,,,,,,,,,
GAB,GABON,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,
GBR,UNITED KINGDOM,,,5.6,5.4,5.5,5.5,5.4,,,,,4.5,,,,,,,,,,4.4,,,,,,,,,,5.3
GEO,GEORGIA,,,3.2,2.9,2.7,3.0,2.5,,,,,2.2,,,,,,,,,,,,,,,,,,,,
GHA,GHANA,,5.5,5.3,5.7,5.5,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,2.7
GIN,GUINEA,,,,2.4,,,1.8,,,,,2.5,,,,,,,,,,,,,,,,,,,,
GMB,GAMBIA,,5.0,3.8,4.1,,,,,,,,2.7,,,,,,,,,,2.8,,,,,,,,,,
GNQ,EQUATORIAL GUINEA,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,
GRC,GREECE,,,,,,,4.1,,,,,3.4,,,,,,,,,,2.1,,,,,,,,,,
GTM,GUATEMALA,,,,3.2,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,GUYANA,,3.7,3.4,,3.8,5.1,8.1,,,,,8.5,,,,,,,,,,,,,,,,,,,,
HKG,HONG KONG,,3.6,4.5,3.3,3.5,3.9,4.2,,,,,,,,,,,,,,,2.5,,,,,,,,,,2.2
HND,HONDURAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
HRV,CROATIA (LOCAL NAME: HRVATSKA),,,4.3,4.3,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,HUNGARY,,,5.1,5.1,5.3,5.4,5.5,,,,,5.0,,,,,,,,,,5.6,,,,,,,,,,4.5
IDN,INDONESIA,,3.0,3.5,2.8,3.5,3.6,2.9,,,,,,,,,,,,,,,,,,,,,,,,,
IND,INDIA,,,,,,3.1,3.1,,,,,4.4,,,,,,,,,,,,,,,,,,,,
IRL,IRELAND,,,,5.7,4.9,4.7,4.7,,,,,4.2,,,,,,,,,,4.7,,,,,,,,,,5.5
IRN,IRAN (ISLAMIC REPUBLIC OF),,4.7,4.7,4.8,5.5,5.1,4.7,,,,,4.4,,,,,,,,,,4.0,,,,,,,,,,
IRQ,IRAQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
ISL,ICELAND,,,7.8,7.5,7.4,7.5,7.6,,,,,6.7,,,,,,,,,,4.3,,,,,,,,,,
