Country code,Country name,2014,2013,2012,2011,2010
AGO,ANGOLA,70.4,,,,70.1
ALB,ALBANIA,96.8,,,,95.9
ARE,UNITED ARAB EMIRATES,90.0,,,,90.0
ARG,ARGENTINA,97.9,,,,97.8
ARM,ARMENIA,99.6,,,,99.6
ATG,ANTIGUA AND BARBUDA,99.0,,,,99.0
AZE,AZERBAIJAN,99.8,,,,99.8
BDI,BURUNDI,86.9,,,,67.2
BEN,BENIN,28.7,,,,42.4
BFA,BURKINA FASO,28.7,,,,28.7
BGD,BANGLADESH,57.7,,,,56.8
BGR,BULGARIA,98.4,,,,98.4
BHR,BAHRAIN,94.6,,,,91.9
BIH,BOSNIA AND HERZEGOWINA,98.0,,,,97.9
BLR,BELARUS,99.6,,,,99.6
BOL,BOLIVIA,91.2,,,,91.2
BRA,BRAZIL,90.4,,,,90.3
BRN,BRUNEI DARUSSALAM,95.4,,,,95.2
BTN,BHUTAN,52.8,,,,52.8
BWA,BOTSWANA,85.1,,,,84.5
CAF,CENTRAL AFRICAN REPUBLIC,56.6,,,,56.0
CHL,CHILE,98.6,,,,98.6
CHN,CHINA,95.1,,,,94.3
CIV,COTE D'IVOIRE,56.9,,,,56.2
CMR,CAMEROON,71.3,,,,70.7
COG,CONGO,61.2,,,,66.8
COL,COLOMBIA,93.6,,,,93.4
COM,COMOROS,75.5,,,,74.9
CPV,CAPE VERDE,84.9,,,,84.3
CRI,COSTA RICA,96.3,,,,96.2
CUB,CUBA,99.8,,,,99.8
CYP,CYPRUS,98.7,,,,98.3
DOM,DOMINICAN REPUBLIC,90.1,,,,89.5
DZA,ALGERIA,72.6,,,,72.6
ECU,ECUADOR,91.6,,,,91.9
EGY,EGYPT,73.9,,,,72.0
ERI,ERITREA,68.9,,,,67.8
ESP,SPAIN,97.7,,,,97.7
EST,ESTONIA,99.8,,,,99.8
ETH,ETHIOPIA,39.0,,,,39.0
GAB,GABON,89.0,,,,88.4
GEO,GEORGIA,99.7,,,,99.7
GHA,GHANA,71.5,,,,67.3
GIN,GUINEA,25.3,,,,41.0
GMB,GAMBIA,51.1,,,,50.0
GNB,GUINEA-BISSAU,55.3,,,,54.2
GNQ,EQUATORIAL GUINEA,94.2,,,,93.9
GRC,GREECE,97.3,,,,97.2
GTM,GUATEMALA,75.9,,,,75.2
GUY,GUYANA,85.0,,,,
HND,HONDURAS,85.1,,,,84.8
HRV,CROATIA (LOCAL NAME: HRVATSKA),98.9,,,,98.8
HTI,HAITI,48.7,,,,48.7
HUN,HUNGARY,99.0,,,,99.0
IDN,INDONESIA,92.8,,,,92.6
