Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
AFG,AFGHANISTAN,3.21,,3.1,3.1,3.1,3.0,2.9,2.7,2.6,2.5,,,,,2.1,,,,,,,,,,1.5,,,,,,,,,,0.8
AGO,ANGOLA,4.73,,4.7,4.7,4.7,4.7,4.6,4.5,4.5,4.4,,,,,4.4,,,,,,,,,,,,,,,,,,,,
ALB,ALBANIA,9.26,,10.4,10.4,10.4,10.3,10.3,10.3,10.2,10.2,,,,,9.9,,,,,,,,,,8.5,,,,,,,,,,6.8
AND,ANDORRA,10.38,,10.4,10.4,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,UNITED ARAB EMIRATES,9.09,,8.9,8.9,8.9,8.8,8.8,8.8,8.8,8.8,,,,,8.3,,,,,,,,,,5.6,,,,,,,,,,3.6
ARG,ARGENTINA,9.83,,9.3,9.3,9.3,9.2,9.1,9.0,9.0,8.9,,,,,8.6,,,,,,,,,,7.9,,,,,,,,,,6.7
ARM,ARMENIA,10.79,,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,,,,,10.8,,,,,,,,,,10.1,,,,,,,,,,9.2
ATG,ANTIGUA AND BARBUDA,8.93,,8.9,8.9,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,AUSTRALIA,12.8,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.9,,,,,11.9,,,,,,,,,,11.7,,,,,,,,,,11.6
AUT,AUSTRIA,10.83,,10.8,10.8,10.8,10.6,10.5,10.3,10.1,9.9,,,,,9.1,,,,,,,,,,8.3,,,,,,,,,,7.4
AZE,AZERBAIJAN,11.16,,11.2,11.2,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,BURUNDI,2.69,,2.7,2.7,2.7,2.6,2.5,2.4,2.4,2.3,,,,,1.8,,,,,,,,,,1.4,,,,,,,,,,1.1
BEL,BELGIUM,10.87,,10.9,10.9,10.9,10.8,10.8,10.7,10.6,10.6,,,,,10.0,,,,,,,,,,9.4,,,,,,,,,,8.0
BEN,BENIN,3.24,,3.2,3.2,3.2,3.2,3.1,3.0,3.0,2.9,,,,,2.6,,,,,,,,,,1.6,,,,,,,,,,0.6
BFA,BURKINA FASO,1.25,,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,,
BGD,BANGLADESH,5.07,,4.8,4.8,4.8,4.7,4.5,4.4,4.3,4.2,,,,,3.7,,,,,,,,,,2.9,,,,,,,,,,2.0
BGR,BULGARIA,10.57,,10.6,10.6,10.6,10.5,10.4,10.2,10.1,10.0,,,,,9.5,,,,,,,,,,8.9,,,,,,,,,,8.0
BHR,BAHRAIN,9.42,,9.4,9.4,9.4,9.3,9.3,9.2,9.1,9.0,,,,,8.3,,,,,,,,,,6.0,,,,,,,,,,4.1
BHS,BAHAMAS,10.94,,8.5,8.5,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,BOSNIA AND HERZEGOWINA,8.33,,8.3,8.3,8.3,8.4,8.5,8.5,8.6,8.7,,,,,,,,,,,,,,,,,,,,,,,,,
BLR,BELARUS,11.52,,11.5,11.5,11.5,11.5,10.6,10.2,9.7,9.3,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,BELIZE,9.25,,8.0,8.0,8.0,7.9,7.9,7.8,7.8,7.7,,,,,8.1,,,,,,,,,,8.0,,,,,,,,,,7.3
BOL,BOLIVIA,9.21,,9.2,9.2,9.2,9.0,8.8,8.7,8.5,8.3,,,,,7.4,,,,,,,,,,6.4,,,,,,,,,,4.5
BRA,BRAZIL,7.18,,7.2,7.2,7.2,7.1,6.9,6.8,6.7,6.6,,,,,5.6,,,,,,,,,,3.8,,,,,,,,,,2.6
BRB,BARBADOS,9.36,,9.3,9.3,9.3,9.3,9.3,9.2,9.2,9.2,,,,,8.7,,,,,,,,,,8.1,,,,,,,,,,6.3
BRN,BRUNEI DARUSSALAM,8.68,,8.6,8.6,8.6,8.5,8.5,8.5,8.4,8.4,,,,,8.2,,,,,,,,,,7.5,,,,,,,,,,6.1
BTN,BHUTAN,2.3,,2.3,2.3,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,BOTSWANA,8.82,,8.9,8.9,8.9,8.7,8.6,8.5,8.3,8.2,,,,,7.5,,,,,,,,,,5.4,,,,,,,,,,2.3
CAF,CENTRAL AFRICAN REPUBLIC,3.54,,3.5,3.5,3.5,3.5,3.4,3.4,3.3,3.2,,,,,2.8,,,,,,,,,,2.1,,,,,,,,,,1.0
CAN,CANADA,12.26,,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,,,,,11.1,,,,,,,,,,10.3,,,,,,,,,,9.5
CHE,SWITZERLAND,12.24,,11.0,11.0,11.0,10.9,10.9,10.8,10.8,10.8,,,,,10.3,,,,,,,,,,9.7,,,,,,,,,,10.0
CHL,CHILE,9.79,,9.7,9.7,9.7,9.6,9.6,9.5,9.4,9.3,,,,,8.8,,,,,,,,,,8.1,,,,,,,,,,6.4
CHN,CHINA,7.54,,7.5,7.5,7.5,7.4,7.4,7.3,7.2,7.1,,,,,6.6,,,,,,,,,,4.9,,,,,,,,,,3.7
CIV,COTE D'IVOIRE,4.26,,4.2,4.2,4.2,4.1,4.0,3.9,3.8,3.7,,,,,3.2,,,,,,,,,,2.0,,,,,,,,,,1.3
CMR,CAMEROON,5.91,,5.9,5.9,5.9,5.8,5.7,5.6,5.5,5.4,,,,,4.8,,,,,,,,,,3.4,,,,,,,,,,2.1
COG,CONGO,3.07,,3.5,3.5,3.5,3.4,3.4,3.4,3.4,3.4,,,,,3.2,,,,,,,,,,2.0,,,,,,,,,,1.2
COL,COLOMBIA,7.07,,7.3,7.3,7.3,7.2,7.1,7.0,6.8,6.7,,,,,6.5,,,,,,,,,,5.5,,,,,,,,,,4.3
COM,COMOROS,2.85,,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,,
CPV,CAPE VERDE,3.5,,3.5,3.5,3.5,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,
CRI,COSTA RICA,8.37,,8.4,8.4,8.4,8.3,8.2,8.1,8.0,7.9,,,,,8.0,,,,,,,,,,6.9,,,,,,,,,,5.4
CUB,CUBA,10.2,,10.2,10.2,10.2,10.1,10.1,10.0,10.0,9.9,,,,,9.6,,,,,,,,,,8.5,,,,,,,,,,6.5
CYP,CYPRUS,11.62,,9.8,9.8,9.8,9.6,9.4,9.3,9.1,9.0,,,,,9.7,,,,,,,,,,8.7,,,,,,,,,,6.7
CZE,CZECH REPUBLIC,12.32,,12.3,12.3,12.3,12.5,12.6,12.8,12.9,13.1,,,,,11.9,,,,,,,,,,10.9,,,,,,,,,,10.3
DEU,GERMANY,12.95,,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,,,,,10.5,,,,,,,,,,8.0,,,,,,,,,,5.7
DJI,DJIBOUTI,3.84,,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,,,,,,,,,,,,,,,,,,,,,,,,,
DMA,DOMINICA,7.68,,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,,,,,7.7,,,,,,,,,,,,,,,,,,,,
DNK,DENMARK,12.1,,11.4,11.4,11.4,11.3,11.3,11.2,11.2,11.1,,,,,10.5,,,,,,,,,,9.6,,,,,,,,,,9.0
DOM,DOMINICAN REPUBLIC,7.46,,7.2,7.2,7.2,7.1,7.0,6.9,6.8,6.7,,,,,6.1,,,,,,,,,,5.0,,,,,,,,,,3.9
