Country code,Country name,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
AFG,AFGHANISTAN,54.0,,54.0,,49.0,50.0,45.0,,,,,
AGO,ANGOLA,65.0,65.0,,,58.0,,,,,,,
ALB,ALBANIA,68.0,,,,,,,,,,,68.0
AND,ANDORRA,69.0,,,69.0,,65.0,62.0,,,,,
ARE,UNITED ARAB EMIRATES,67.0,,,,,,,,,,,66.0
ARG,ARGENTINA,94.0,,94.0,92.0,90.0,90.0,89.0,,,,,87.0
ARM,ARMENIA,77.0,77.0,77.0,75.0,75.0,73.0,71.0,,,,,75.0
ATG,ANTIGUA AND BARBUDA,80.0,80.0,84.0,,,,,,,,,
AUS,AUSTRALIA,108.0,,108.0,112.0,112.0,112.0,112.0,,,,,115.0
AUT,AUSTRIA,91.0,,91.0,91.0,89.0,89.0,88.0,,,,,91.0
AZE,AZERBAIJAN,70.0,70.0,71.0,70.0,,71.0,72.0,,,,,69.0
BDI,BURUNDI,64.0,64.0,60.0,56.0,53.0,48.0,39.0,,,,,
BEL,BELGIUM,97.0,,97.0,96.0,96.0,96.0,95.0,,,,,108.0
BEN,BENIN,58.0,,,,,,58.0,,,,,45.0
BFA,BURKINA FASO,39.0,39.0,38.0,35.0,32.0,29.0,28.0,,,,,21.0
BGR,BULGARIA,78.0,,78.0,78.0,78.0,77.0,76.0,,,,,79.0
BHS,BAHAMAS,74.0,,,,74.0,73.0,73.0,,,,,67.0
BIH,BOSNIA AND HERZEGOWINA,71.0,71.0,70.0,69.0,69.0,,,,,,,
BLR,BELARUS,90.0,,,,90.0,89.0,89.0,,,,,87.0
BLZ,BELIZE,77.0,77.0,77.0,78.0,78.0,77.0,74.0,,,,,
BOL,BOLIVIA,81.0,,,,81.0,,,,,,,83.0
BRA,BRAZIL,87.0,,,87.0,,,87.0,,,,,88.0
BRB,BARBADOS,101.0,101.0,101.0,,95.0,,,,,,,89.0
BRN,BRUNEI DARUSSALAM,83.0,83.0,84.0,84.0,85.0,85.0,84.0,,,,,77.0
BTN,BHUTAN,68.0,66.0,,60.0,,56.0,54.0,,,,,50.0
BWA,BOTSWANA,70.0,,,,,70.0,72.0,,,,,71.0
CAF,CENTRAL AFRICAN REPUBLIC,41.0,41.0,40.0,39.0,,,31.0,,,,,
CAN,CANADA,89.0,,,,,,,,,,,93.0
