Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
ABW,ARUBA,,,,,98.9,96.0,99.1,98.9,98.6,98.0,94.8,94.0,95.4,96.6,98.3,98.0,,,,,,,,,
AFG,AFGHANISTAN,,,,,,,,,,,,,,,,,,,,,,28.0,,,
AGO,ANGOLA,,,,85.7,85.6,86.2,85.8,,,,,,,,,,53.6,,,,,,,,
AIA,ANGUILLA,,,,,,,92.9,92.8,95.3,92.4,92.5,92.5,97.7,99.3,,,,,,,,,,,
ALB,ALBANIA,,,,,,,,,,,,91.2,,93.5,93.6,93.1,,,,,,,,,
ARE,UNITED ARAB EMIRATES,,,98.3,96.1,96.0,95.1,,97.8,94.0,95.2,93.0,89.7,84.6,79.7,81.0,85.2,88.5,87.4,90.1,92.0,90.6,92.0,95.3,98.5,98.0
ARG,ARGENTINA,,,,,,,,,,99.1,99.2,99.4,,,,99.4,100.0,100.0,,,,,,96.1,
ARM,ARMENIA,,,,,,,,92.9,90.0,87.6,81.6,85.7,87.3,,,,,,,,,,,,
ATG,ANTIGUA AND BARBUDA,,,86.0,87.5,89.5,92.4,92.9,91.8,,,,,,,,,,,,,,,,,
AUS,AUSTRALIA,,97.5,96.9,96.5,96.6,96.6,96.4,96.3,94.8,94.7,94.5,94.4,94.5,94.0,94.2,94.1,94.4,94.4,94.9,94.5,96.0,96.3,96.7,96.9,97.5
AZE,AZERBAIJAN,,,89.3,87.3,84.7,85.5,84.0,83.5,83.8,84.0,84.3,83.3,84.9,85.5,88.2,92.1,88.8,90.1,93.3,83.6,81.4,88.4,92.4,92.0,
BDI,BURUNDI,,94.8,,,94.1,89.1,90.9,80.6,73.7,57.3,54.1,52.5,49.0,49.6,40.8,37.6,,,,,,47.8,,,
BEL,BELGIUM,,98.6,99.0,99.0,99.1,99.1,99.0,98.6,97.2,96.7,96.9,98.4,99.1,99.1,99.2,99.0,,,96.8,96.3,96.3,96.9,94.4,95.9,
BEN,BENIN,,,94.9,94.1,94.1,93.3,87.6,,84.7,82.3,85.8,82.9,,,,,,61.7,58.4,56.2,53.9,52.7,48.8,,39.3
BFA,BURKINA FASO,,67.9,66.8,65.4,60.5,63.9,61.0,54.9,49.6,46.0,41.9,39.0,36.7,37.8,36.7,35.5,35.0,,,31.5,29.9,28.7,27.7,27.2,
BGD,BANGLADESH,,,,,96.2,95.1,93.8,,96.1,95.3,,,,,,,,,,,,,,,72.0
BGR,BULGARIA,,96.5,96.4,98.0,99.4,99.1,97.6,95.7,92.3,93.8,97.0,97.4,97.5,98.3,97.9,98.1,97.8,95.3,94.3,,,,,,
BHR,BAHRAIN,,,,,,,,,99.3,97.9,98.3,99.0,98.9,99.5,98.5,99.1,99.7,99.7,99.9,99.1,98.0,98.0,96.9,99.4,
BHS,BAHAMAS,,,,,97.8,96.2,98.7,98.7,97.3,98.8,94.7,,,,87.5,91.4,,,,,92.6,88.9,88.5,,
BIH,BOSNIA AND HERZEGOWINA,,,,89.9,87.4,83.9,,,,,,,,,,,,,,,,,,,
BLR,BELARUS,,93.1,94.3,91.0,91.4,92.0,91.2,90.0,90.2,90.2,92.2,93.7,93.6,96.1,,,,,,86.2,,,,,
BLZ,BELIZE,,99.7,99.1,99.8,99.1,99.6,99.7,99.0,99.2,99.8,98.6,99.0,89.6,98.6,99.4,99.7,,,,,,,,,
BMU,BERMUDA,,,83.5,87.9,90.8,,,,,97.6,,,,,,,,,,,,,,,
BOL,BOLIVIA,,81.6,83.5,86.8,89.4,92.3,90.5,93.3,94.3,,95.9,93.3,93.2,92.5,93.6,94.4,94.8,,,,,,,,
BRA,BRAZIL,,,,,,,,,,95.6,94.5,,92.9,94.5,92.5,92.3,,,,,,,,,
BRB,BARBADOS,,,,97.1,96.0,94.2,95.1,93.5,93.6,91.4,91.2,92.3,92.7,94.0,94.7,95.4,,,,,,,90.2,,98.5
BRN,BRUNEI DARUSSALAM,,94.9,95.7,96.7,96.8,97.5,96.9,,,,,,,,,,,,,98.8,96.3,96.3,93.6,91.5,
BTN,BHUTAN,,90.7,91.8,90.0,89.4,87.3,82.7,,77.2,73.3,,,,62.7,59.2,56.1,55.0,,,,,,,,
BWA,BOTSWANA,,,90.9,,,84.0,83.1,83.2,84.0,83.1,83.8,82.9,82.8,82.5,80.8,79.6,80.0,,77.2,76.8,85.9,86.2,86.8,87.5,85.4
CAF,CENTRAL AFRICAN REPUBLIC,,,72.2,69.1,71.1,68.6,68.0,58.4,49.9,49.6,,,,,,,,,,,,,,53.3,57.5
CAN,CANADA,,,99.1,,,,,,,,,,,,99.9,99.8,98.5,,95.2,94.3,95.4,95.9,97.6,97.8,95.3
CHE,SWITZERLAND,,,99.1,99.3,99.0,99.0,98.5,97.8,97.7,98.1,98.9,99.2,99.2,99.2,99.3,99.5,,,90.9,89.0,82.6,83.4,84.2,84.2,83.3
CHL,CHILE,,92.0,92.7,93.1,94.1,93.5,95.4,94.9,,,,,,,,,,,,,,,,,
CHN,CHINA,,,,,,,,,,,,,,,,,,86.9,87.0,87.6,89.0,90.9,93.0,95.7,97.0
CIV,COTE D'IVOIRE,,78.4,,,,61.9,,,,,,60.1,64.5,63.9,59.1,59.7,,56.8,55.3,,,,48.9,48.5,
CMR,CAMEROON,94.9,,94.1,,93.5,84.9,82.1,,,,,,,,,,,,,,,,,70.1,72.0
COD,"CONGO, THE DRC",,,,,,,,,,,,,,,,36.2,,,,66.8,59.0,57.9,59.1,61.0,
COG,CONGO,,,91.6,92.6,87.8,,,,56.1,52.7,,,,,,,,,,,,,,,
COK,COOK ISLANDS,,97.8,98.7,97.1,98.4,,,98.7,,,,,,,94.3,86.3,90.8,,,,,,,,
COL,COLOMBIA,,,86.5,89.8,91.1,92.8,93.3,93.8,95.0,96.0,93.7,,95.7,94.7,96.4,95.4,93.7,,87.4,82.7,79.8,79.2,78.6,70.7,
COM,COMOROS,,83.4,,,,,,83.3,,,,,,,76.4,68.1,,,,,68.0,,,,
CPV,CAPE VERDE,,98.2,97.3,95.6,94.8,93.8,93.3,94.0,95.0,96.1,97.1,98.6,98.9,98.9,99.5,98.7,99.0,,,,99.1,,,,98.2
CRI,COSTA RICA,,91.0,92.9,95.0,,,,,,,,,,,,,,,91.1,89.3,88.4,89.5,89.3,87.6,87.2
CUB,CUBA,,96.4,96.5,98.2,99.8,99.8,99.3,98.7,96.0,95.0,94.6,94.6,96.7,97.3,97.9,98.6,98.4,98.6,98.7,96.6,96.8,94.6,93.9,91.9,92.3
CYM,CAYMAN ISLANDS,,,,90.1,,,,86.9,82.3,77.7,85.3,,93.8,99.7,97.6,94.9,,,,,,,,,
CYP,CYPRUS,,,98.2,99.3,99.3,99.1,99.0,99.3,99.5,99.7,98.8,98.6,98.5,97.5,98.1,98.0,,96.3,96.1,96.2,96.9,97.6,77.4,79.2,78.8
DEU,GERMANY,,99.1,99.6,99.8,99.7,99.6,99.7,99.8,99.6,98.7,98.1,97.2,97.3,99.1,99.9,100.0,,,,,,,,,
DJI,DJIBOUTI,64.6,58.3,54.2,59.4,,50.6,50.9,45.9,41.1,36.8,34.4,31.3,29.6,28.1,25.6,25.5,,25.8,26.9,27.3,26.6,26.1,28.7,27.6,27.5
DMA,DOMINICA,,,,,96.2,97.2,89.7,89.3,93.8,95.5,98.4,98.0,98.7,97.3,98.4,,,,,,,,,,
DNK,DENMARK,,98.5,98.2,97.8,96.2,96.4,96.5,97.1,96.6,96.2,98.3,,99.9,99.9,98.1,97.9,99.4,,98.2,98.3,98.7,97.0,97.5,98.3,97.7
DOM,DOMINICAN REPUBLIC,,,89.1,90.9,91.8,94.5,84.7,88.1,81.9,83.4,81.7,86.6,89.6,,83.9,83.0,,,,,,,,,
DZA,ALGERIA,,,99.1,99.1,99.0,97.1,94.9,93.9,94.3,94.6,94.7,94.0,93.2,91.6,89.1,87.9,,84.4,84.6,84.6,84.2,84.2,85.0,84.4,83.4
ECU,ECUADOR,,98.8,96.8,97.0,96.9,97.0,,99.3,99.4,99.4,99.4,99.3,99.4,99.4,98.3,97.3,97.4,97.0,94.8,94.0,93.8,,,,
EGY,EGYPT,,,,97.3,98.5,98.1,,97.7,97.8,97.3,98.7,98.0,97.7,97.3,95.8,94.8,,94.4,,,91.3,,,,
ERI,ERITREA,,,34.2,32.9,31.2,33.3,36.3,39.4,43.7,44.8,43.9,42.2,38.7,34.7,33.5,29.2,,24.8,24.6,23.3,22.3,,19.6,,
ESP,SPAIN,,98.5,99.7,99.7,99.8,99.9,99.8,99.8,99.7,99.7,99.8,99.8,99.9,99.9,99.9,99.7,,99.9,99.8,99.9,99.9,99.9,99.9,99.8,99.8
EST,ESTONIA,,97.0,96.8,96.4,97.1,96.6,96.7,96.0,96.9,97.4,97.5,97.5,100.0,99.8,99.8,99.9,99.7,,90.6,86.9,,,,,
ETH,ETHIOPIA,,,,87.4,82.2,83.4,82.7,75.4,66.1,61.3,50.4,47.5,46.8,44.6,40.4,36.3,33.8,,26.3,22.0,19.2,,,,
FIN,FINLAND,,99.1,98.9,98.3,97.9,97.6,97.6,97.4,96.9,97.5,97.9,98.8,99.5,99.8,99.7,99.8,99.6,98.8,98.5,98.5,98.8,98.9,,,
FJI,FIJI,,,98.7,98.8,,99.0,99.3,99.6,98.8,,99.2,98.8,99.2,97.6,94.7,94.3,94.7,93.8,93.4,95.7,97.2,,96.7,,
FRA,FRANCE,,99.1,98.9,99.0,99.2,99.2,99.2,99.3,99.3,99.3,98.0,98.5,98.8,99.1,99.6,99.7,,99.1,98.8,96.9,95.1,95.1,97.3,100.0,99.9
FSM,"MICRONESIA, FEDERATED STATES OF",83.1,,,,,,,,,,,,,,,,,,,,,,,,
GAB,GABON,,,,,,,,,,,,,,,,,,92.1,,,,,,,
GBR,UNITED KINGDOM,,99.9,99.8,99.7,99.6,99.7,99.8,98.5,99.7,100.0,99.5,99.9,99.9,99.9,100.0,99.9,99.9,,,,,,96.2,97.6,99.3
GEO,GEORGIA,,96.7,98.6,98.5,,99.3,100.0,95.3,95.0,91.0,90.8,,,,,,,85.1,83.7,83.8,,,,,
GHA,GHANA,88.9,87.6,82.3,83.9,,76.5,77.9,72.4,67.0,67.4,60.5,62.4,62.7,60.2,65.6,62.1,,,,,,,,,
GIN,GUINEA,,76.5,75.5,76.1,72.0,69.8,68.5,69.6,67.6,65.2,63.1,59.8,56.2,48.7,45.2,42.0,39.5,,,,,,,27.9,26.1
GLP,GUADELOUPE,,,,,,,,,,,,,,,,,,,,,,,,99.6,
