Country code,Country name,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
ABW,ARUBA,3810.0,,,,,3404.0,,,,,2950.0,,,,,2503.0,,,,,2192.0,,,,,2008.0,,,,,1881.0,,,,,1727.0,,,,,1661.0,,,,,1706.0,,,,,1692.0,,,,,1814.0
AFG,AFGHANISTAN,1274334.0,,,,,1310078.0,,,,,1248702.0,,,,,1096396.0,,,,,1041244.9999999999,,,,,1317910.0,,,,,1537313.0,,,,,1549326.0,,,,,1505847.0,,,,,1477958.0,,,,,1468727.0,,,,,1492016.0
AGO,ANGOLA,1425588.0,,,,,1349870.0,,,,,1373003.0,,,,,1295723.0,,,,,1143032.0,,,,,1011012.0,,,,,881948.0,,,,,827885.0,,,,,814440.0,,,,,809037.0,,,,,796096.0,,,,,778731.0
ALB,ALBANIA,99710.0,,,,,91045.0,,,,,99280.0,,,,,102219.0,,,,,89169.0,,,,,86553.0,,,,,83031.0,,,,,85803.0,,,,,85522.0,,,,,85241.0,,,,,98712.0,,,,,99067.0
ARE,UNITED ARAB EMIRATES,38773.0,,,,,31072.0,,,,,27550.0,,,,,25687.0,,,,,24452.0,,,,,22099.0,,,,,18287.0,,,,,12516.0,,,,,8178.000000000001,,,,,7490.0,,,,,7426.0,,,,,8114.000000000001
ARG,ARGENTINA,1528413.0,,,,,1472912.0,,,,,1409366.0,,,,,1370049.0,,,,,1321337.0,,,,,1238305.0,,,,,1205054.0,,,,,1121803.0,,,,,1047513.9999999999,,,,,944459.0,,,,,850213.0,,,,,818934.0
ARM,ARMENIA,127995.0,,,,,127595.0,,,,,135698.0,,,,,148210.0,,,,,136009.0,,,,,103120.0,,,,,91720.0,,,,,80232.0,,,,,79863.0,,,,,88307.0,,,,,88381.0,,,,,86124.0
ATG,ANTIGUA AND BARBUDA,2716.0,,,,,2629.0,,,,,2581.0,,,,,2368.0,,,,,2207.0,,,,,2234.0,,,,,2211.0,,,,,2306.0,,,,,2422.0,,,,,2495.0,,,,,2543.0,,,,,2606.0
AUS,AUSTRALIA,697859.0,,,,,666888.0,,,,,646589.0,,,,,619394.0,,,,,597937.0,,,,,555319.0,,,,,550109.0,,,,,556709.0,,,,,525970.0,,,,,466791.0,,,,,426776.0,,,,,402155.0
AUT,AUSTRIA,383349.0,,,,,384743.0,,,,,403781.0,,,,,418142.0,,,,,434235.0,,,,,464081.0,,,,,475721.0,,,,,482741.0,,,,,479611.0,,,,,452472.0,,,,,443297.0,,,,,428266.0
AZE,AZERBAIJAN,291997.0,,,,,287703.0,,,,,284706.0,,,,,319881.0,,,,,285716.0,,,,,271667.0,,,,,247884.0,,,,,228368.0,,,,,242102.0,,,,,259338.00000000003,,,,,243529.0,,,,,221418.0
