Country code,Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
ABW,ARUBA,118.3438,119.851,121.3382,122.8254,124.3126,125.7998,127.287,129.1876,131.0882,132.9888,134.8894,136.79,137.5766,138.3632,139.1498,139.9364,140.723,140.9736,141.2242,141.4748,141.7254,141.976,142.729,143.482,144.235,144.988,145.741,146.4956,147.2502,148.0048,148.7594,149.514,153.794,158.074,162.354,166.634,170.914,174.1638,177.4136,180.6634,183.9132,187.163,189.7912,192.4194,195.0476,197.6758,200.304,204.0606,207.8172,211.5738,215.3304,219.087,223.1702,227.2534
AFG,AFGHANISTAN,275.3258,279.392,284.6954,289.9988,295.3022,300.6056,305.909,311.5936,317.2782,322.9628,328.6474,334.332,338.7362,343.1404,347.5446,351.9488,356.353,363.3208,370.2886,377.2564,384.2242,391.192,400.2348,409.2776,418.3204,427.3632,436.406,445.1722,453.9384,462.7046,471.4708,480.237,486.1022,491.9674,497.8326,503.6978,509.563,514.8546,520.1462,525.4378,530.7294,536.021,541.824,547.627,553.43,559.233,565.036,571.1712,577.3064,583.4416,589.5768,595.712,601.95,608.188
AGO,ANGOLA,373.2316,377.165,381.702,386.239,390.776,395.313,399.85,404.2834,408.7168,413.1502,417.5836,422.017,428.4684,434.9198,441.3712,447.8226,454.274,457.8642,461.4544,465.0446,468.6348,472.225,472.3676,472.5102,472.6528,472.7954,472.938,473.4988,474.0596,474.6204,475.1812,475.742,477.4028,479.0636,480.7244,482.3852,484.046,488.6728,493.2996,497.9264,502.5532,507.18,512.0492,516.9184,521.7876,526.6568,531.526,536.3626,541.1992,546.0358,550.8724,555.709,560.5596,565.4102
ALB,ALBANIA,92.326,94.212,96.1056,97.9992,99.8928,101.7864,103.68,105.7054,107.7308,109.7562,111.7816,113.807,119.0748,124.3426,129.6104,134.8782,140.146,142.021,143.896,145.771,147.646,149.521,146.6364,143.7518,140.8672,137.9826,135.098,136.2062,137.3144,138.4226,139.5308,140.639,141.3436,142.0482,142.7528,143.4574,144.162,147.6238,151.0856,154.5474,158.0092,161.471,159.1134,156.7558,154.3982,152.0406,149.683,148.0274,146.3718,144.7162,143.0606,141.405,150.9428,160.4806
ARE,UNITED ARAB EMIRATES,82.8216,84.19,85.7166,87.2432,88.7698,90.2964,91.823,94.5338,97.2446,99.9554,102.6662,105.377,108.472,111.567,114.662,117.757,120.852,124.3392,127.8264,131.3136,134.8008,138.288,142.1454,146.0028,149.8602,153.7176,157.575,161.9862,166.3974,170.8086,175.2198,179.631,184.7218,189.8126,194.9034,199.9942,205.085,210.9912,216.8974,222.8036,228.7098,234.616,241.511,248.406,255.301,262.196,269.091,277.1692,285.2474,293.3256,301.4038,309.482,318.9296,328.3772
ARG,ARGENTINA,155.7934,158.029,159.8708,161.7126,163.5544,165.3962,167.238,169.4732,171.7084,173.9436,176.1788,178.414,179.5302,180.6464,181.7626,182.8788,183.995,187.0974,190.1998,193.3022,196.4046,199.507,202.108,204.709,207.31,209.911,212.512,213.6074,214.7028,215.7982,216.8936,217.989,220.7722,223.5554,226.3386,229.1218,231.905,234.1116,236.3182,238.5248,240.7314,242.938,245.176,247.414,249.652,251.89,254.128,253.347,252.566,251.785,251.004,250.223,252.6678,255.1126
ARM,ARMENIA,161.1738,162.535,163.696,164.857,166.018,167.179,168.34,172.1134,175.8868,179.6602,183.4336,187.207,193.6958,200.1846,206.6734,213.1622,219.651,225.6488,231.6466,237.6444,243.6422,249.64,241.9454,234.2508,226.5562,218.8616,211.167,204.7342,198.3014,191.8686,185.4358,179.003,179.0954,179.1878,179.2802,179.3726,179.465,177.7116,175.9582,174.2048,172.4514,170.698,174.058,177.418,180.778,184.138,187.498,192.7236,197.9492,203.1748,208.4004,213.626,219.6484,225.6708
ATG,ANTIGUA AND BARBUDA,156.7594,158.847,160.563,162.279,163.995,165.711,167.427,169.2218,171.0166,172.8114,174.6062,176.401,178.299,180.197,182.095,183.993,185.891,187.8956,189.9002,191.9048,193.9094,195.914,198.034,200.154,202.274,204.394,206.514,208.7532,210.9924,213.2316,215.4708,217.71,220.0712,222.4324,224.7936,227.1548,229.516,232.0072,234.4984,236.9896,239.4808,241.972,244.5988,247.2256,249.8524,252.4792,255.106,257.8724,260.6388,263.4052,266.1716,268.938,272.245,275.552
AUS,AUSTRALIA,,,,,80.599,81.853,82.309,81.966,84.751,85.145,89.182,90.007,93.134,96.599,100.841,102.887,105.12,107.166,108.866,111.497,113.687,117.324,119.925,125.351,130.204,134.145,135.884,137.109,143.832,141.03,149.688,158.119,160.755,165.64,168.845,174.457,179.592,184.285,189.604,196.189,191.953,193.042,200.027,207.485,206.638,208.275,206.335,204.436,206.288,208.129,202.218,203.627,198.796,199.777
AUT,AUSTRIA,,,,99.781,102.517,99.294,103.971,105.634,111.365,114.539,115.956,119.989,122.887,126.288,125.992,131.697,134.972,140.373,145.057,145.736,149.693,152.872,157.502,155.025,160.399,161.955,167.726,175.19,181.013,190.115,193.896,194.749,195.014,196.753,200.945,200.74,199.746,198.504,200.71,199.838,197.095,206.936,205.93,206.058,202.263,202.723,202.527,201.227,202.429,199.546,201.23,206.275,205.875,215.263
AZE,AZERBAIJAN,179.0114,179.372,181.7972,184.2224,186.6476,189.0728,191.498,194.6472,197.7964,200.9456,204.0948,207.244,214.082,220.92,227.758,234.596,241.434,246.5018,251.5696,256.6374,261.7052,266.773,249.427,232.081,214.735,197.389,180.043,181.7278,183.4126,185.0974,186.7822,188.467,187.2218,185.9766,184.7314,183.4862,182.241,179.9546,177.6682,175.3818,173.0954,170.809,173.3422,175.8754,178.4086,180.9418,183.475,187.2418,191.0086,194.7754,198.5422,202.309,206.7266,211.1442
