Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
AFG,AFGHANISTAN,99.0,,,,149.0,,,,,,,,,,,,,,,,,,,,209.0
AGO,ANGOLA,164.0,,,,161.0,,,,,,,,,,,,,,,,,,,,243.0
ALB,ALBANIA,17.0,,,,18.0,,,,,,,,,,,,,,,,,,,,41.0
AND,ANDORRA,3.0,,,,4.0,,,,,,,,,,,,,,,,,,,,9.0
ARE,UNITED ARAB EMIRATES,8.0,,,,7.0,,,,,,,,,,,,,,,,,,,,22.0
ARG,ARGENTINA,14.0,,,,14.0,,,,,,,,,,,,,,,,,,,,27.0
ARM,ARMENIA,16.0,,,,20.0,,,,,,,,,,,,,,,,,,,,55.0
ATG,ANTIGUA AND BARBUDA,10.0,,,,8.0,,,,,,,,,,,,,,,,,,,,26.0
AUS,AUSTRALIA,5.0,,,,5.0,,,,,,,,,,,,,,,,,,,,9.0
AUT,AUSTRIA,4.0,,,,4.0,,,,,,,,,,,,,,,,,,,,9.0
AZE,AZERBAIJAN,35.0,,,,46.0,,,,,,,,,,,,,,,,,,,,93.0
BDI,BURUNDI,104.0,,,,142.0,,,,,,,,,,,,,,,,,,,,183.0
BEL,BELGIUM,4.0,,,,4.0,,,,,,,,,,,,,,,,,,,,10.0
BEN,BENIN,90.0,,,,115.0,,,,,,,,,,,,,,,,,,,,178.0
BFA,BURKINA FASO,102.0,,,,176.0,,,,,,,,,,,,,,,,,,,,205.0
BGD,BANGLADESH,41.0,,,,48.0,,,,,,,,,,,,,,,,,,,,143.0
BGR,BULGARIA,12.0,,,,13.0,,,,,,,,,,,,,,,,,,,,22.0
BHR,BAHRAIN,10.0,,,,10.0,,,,,,,,,,,,,,,,,,,,17.0
BHS,BAHAMAS,17.0,,,,16.0,,,,,,,,,,,,,,,,,,,,22.0
BIH,BOSNIA AND HERZEGOWINA,7.0,,,,8.0,,,,,,,,,,,,,,,,,,,,19.0
BLR,BELARUS,5.0,,,,6.0,,,,,,,,,,,,,,,,,,,,17.0
BLZ,BELIZE,18.0,,,,17.0,,,,,,,,,,,,,,,,,,,,44.0
BOL,BOLIVIA,41.0,,,,54.0,,,,,,,,,,,,,,,,,,,,121.0
BRA,BRAZIL,14.0,,,,19.0,,,,,,,,,,,,,,,,,,,,59.0
BRB,BARBADOS,18.0,,,,20.0,,,,,,,,,,,,,,,,,,,,18.0
BRN,BRUNEI DARUSSALAM,8.0,,,,7.0,,,,,,,,,,,,,,,,,,,,12.0
BTN,BHUTAN,45.0,,,,56.0,,,,,,,,,,,,,,,,,,,,139.0
BWA,BOTSWANA,53.0,,,,48.0,,,,,,,,,,,,,,,,,,,,59.0
CAF,CENTRAL AFRICAN REPUBLIC,129.0,,,,159.0,,,,,,,,,,,,,,,,,,,,165.0
CAN,CANADA,5.0,,,,6.0,,,,,,,,,,,,,,,,,,,,8.0
CHE,SWITZERLAND,4.0,,,,5.0,,,,,,,,,,,,,,,,,,,,8.0
CHL,CHILE,9.0,,,,9.0,,,,,,,,,,,,,,,,,,,,19.0
CHN,CHINA,14.0,,,,18.0,,,,,,,,,,,,,,,,,,,,48.0
CIV,COTE D'IVOIRE,108.0,,,,123.0,,,,,,,,,,,,,,,,,,,,151.0
CMR,CAMEROON,95.0,,,,136.0,,,,,,,,,,,,,,,,,,,,137.0
COG,CONGO,146.0,,,,170.0,,,,,,,,,,,,,,,,,,,,181.0
COL,COLOMBIA,18.0,,,,19.0,,,,,,,,,,,,,,,,,,,,37.0
COM,COMOROS,78.0,,,,86.0,,,,,,,,,,,,,,,,,,,,125.0
CPV,CAPE VERDE,22.0,,,,36.0,,,,,,,,,,,,,,,,,,,,59.0
CRI,COSTA RICA,10.0,,,,10.0,,,,,,,,,,,,,,,,,,,,17.0
CUB,CUBA,6.0,,,,6.0,,,,,,,,,,,,,,,,,,,,13.0
CYP,CYPRUS,3.0,,,,4.0,,,,,,,,,,,,,,,,,,,,11.0
CZE,CZECH REPUBLIC,4.0,,,,4.0,,,,,,,,,,,,,,,,,,,,14.0
DEU,GERMANY,4.0,,,,4.0,,,,,,,,,,,,,,,,,,,,9.0
DJI,DJIBOUTI,81.0,,,,91.0,,,,,,,,,,,,,,,,,,,,123.0
DMA,DOMINICA,13.0,,,,12.0,,,,,,,,,,,,,,,,,,,,17.0
DNK,DENMARK,4.0,,,,4.0,,,,,,,,,,,,,,,,,,,,9.0
DOM,DOMINICAN REPUBLIC,27.0,,,,27.0,,,,,,,,,,,,,,,,,,,,62.0
DZA,ALGERIA,20.0,,,,36.0,,,,,,,,,,,,,,,,,,,,68.0
ECU,ECUADOR,23.0,,,,20.0,,,,,,,,,,,,,,,,,,,,52.0
EGY,EGYPT,21.0,,,,22.0,,,,,,,,,,,,,,,,,,,,94.0
ERI,ERITREA,52.0,,,,61.0,,,,,,,,,,,,,,,,,,,,141.0
ESP,SPAIN,5.0,,,,5.0,,,,,,,,,,,,,,,,,,,,11.0
EST,ESTONIA,4.0,,,,5.0,,,,,,,,,,,,,,,,,,,,21.0
ETH,ETHIOPIA,68.0,,,,106.0,,,,,,,,,,,,,,,,,,,,184.0
FIN,FINLAND,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,,7.0
