Country code,Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
AFG,AFGHANISTAN,97.3,100.0,102.6,105.2,107.7,110.2,112.9,115.8,119.0,122.4,125.9,129.4,132.7,135.6,138.2,140.6,143.0,145.7,149.1,153.3,158.4,164.6,171.5,179.1
AGO,ANGOLA,167.4,172.6,177.5,182.4,187.7,192.3,196.8,200.9,204.5,207.1,209.8,212.1,214.5,216.7,218.9,220.8,222.4,223.8,224.7,225.2,225.5,225.9,225.8,225.9
ALB,ALBANIA,14.9,15.4,15.9,16.5,17.2,17.9,18.7,19.5,20.4,21.4,22.5,23.6,24.8,26.1,27.5,28.8,30.3,31.7,33.1,34.5,35.9,37.3,38.8,40.5
AND,ANDORRA,3.0,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.9,4.0,4.1,4.3,4.4,4.6,4.8,5.1,5.4,5.7,6.0,6.5,6.9,7.4,7.9,8.5
ARE,UNITED ARAB EMIRATES,8.2,8.5,8.7,8.8,9.0,9.2,9.4,9.6,9.8,10.0,10.3,10.6,10.9,11.2,11.5,11.8,12.2,12.7,13.1,13.6,14.2,14.9,15.7,16.5
ARG,ARGENTINA,13.3,13.7,14.2,14.6,15.0,15.4,15.8,16.4,17.1,17.9,18.6,19.2,19.7,20.2,20.8,21.4,22.0,22.7,23.4,24.1,24.9,25.7,26.6,27.6
ARM,ARMENIA,15.6,16.4,17.2,18.1,19.1,20.1,21.1,22.2,23.4,24.6,25.9,27.2,28.6,30.1,31.7,33.3,34.9,36.7,38.6,40.7,42.8,45.1,47.4,49.7
ATG,ANTIGUA AND BARBUDA,9.3,9.6,9.9,10.3,10.6,11.0,11.4,11.9,12.4,12.9,13.5,14.1,14.7,15.4,16.2,17.0,17.9,18.8,19.8,20.8,21.9,23.0,24.2,25.5
AUS,AUSTRALIA,4.0,4.2,4.5,4.8,5.0,5.2,5.4,5.6,5.7,5.9,5.9,6.0,6.1,6.2,6.4,6.5,6.6,6.8,7.0,7.3,7.7,8.1,8.6,9.2
AUT,AUSTRIA,3.9,4.0,4.2,4.4,4.5,4.6,4.6,4.8,4.9,5.0,5.2,5.3,5.4,5.5,5.6,5.8,6.0,6.4,6.8,7.4,8.0,8.5,9.0,9.5
AZE,AZERBAIJAN,34.2,35.6,37.2,38.9,40.9,43.2,45.7,48.5,51.7,55.2,59.3,63.9,68.9,74.1,79.2,84.1,88.4,91.7,94.0,95.2,95.5,95.2,94.8,94.5
BDI,BURUNDI,82.9,86.1,89.7,93.6,97.7,102.4,107.9,113.2,119.3,125.6,131.8,137.8,143.5,148.9,154.1,158.8,163.1,166.5,169.5,171.3,172.3,172.5,171.9,170.8
