Country code,Country name,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
AFG,AFGHANISTAN,396.0,425.0,459.0,496.0,536.0,584.0,631.0,676.0,724.0,776.0,821.0,881.0,941.0,996.0,1050.0,1100.0,1130.0,1160.0,1200.0,1240.0,1270.0,1300.0,1320.0,1330.0,1330.0,1340.0
AGO,ANGOLA,477.0,493.0,509.0,526.0,546.0,561.0,581.0,606.0,640.0,668.0,705.0,749.0,789.0,831.0,878.0,924.0,981.0,1030.0,1070.0,1120.0,1150.0,1180.0,1180.0,1180.0,1160.0,1160.0
ALB,ALBANIA,29.0,29.0,29.0,30.0,30.0,30.0,30.0,30.0,30.0,29.0,30.0,31.0,35.0,37.0,40.0,43.0,42.0,46.0,51.0,50.0,53.0,49.0,63.0,65.0,69.0,71.0
ARE,UNITED ARAB EMIRATES,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,9.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
ARG,ARGENTINA,52.0,54.0,54.0,55.0,56.0,58.0,62.0,57.0,58.0,57.0,58.0,59.0,61.0,60.0,61.0,60.0,62.0,61.0,64.0,63.0,63.0,64.0,65.0,69.0,71.0,72.0
ARM,ARMENIA,25.0,26.0,28.0,30.0,31.0,33.0,36.0,39.0,35.0,40.0,40.0,41.0,43.0,45.0,39.0,40.0,40.0,46.0,46.0,51.0,50.0,50.0,57.0,55.0,48.0,58.0
AUS,AUSTRALIA,6.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
AUT,AUSTRIA,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0
AZE,AZERBAIJAN,25.0,26.0,25.0,25.0,26.0,27.0,27.0,28.0,29.0,30.0,34.0,32.0,38.0,38.0,43.0,48.0,61.0,66.0,73.0,77.0,86.0,92.0,82.0,83.0,65.0,64.0
BDI,BURUNDI,712.0,737.0,760.0,780.0,796.0,808.0,824.0,838.0,849.0,856.0,863.0,873.0,883.0,898.0,919.0,954.0,985.0,1040.0,1100.0,1160.0,1210.0,1250.0,1260.0,1270.0,1250.0,1220.0
BEL,BELGIUM,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0
BEN,BENIN,405.0,414.0,422.0,429.0,436.0,446.0,457.0,469.0,481.0,494.0,502.0,523.0,538.0,549.0,561.0,572.0,576.0,577.0,571.0,561.0,550.0,541.0,537.0,540.0,553.0,576.0
BFA,BURKINA FASO,371.0,379.0,389.0,398.0,408.0,417.0,428.0,436.0,447.0,457.0,468.0,482.0,500.0,516.0,530.0,547.0,565.0,581.0,601.0,620.0,636.0,655.0,674.0,693.0,709.0,727.0
BGD,BANGLADESH,176.0,188.0,201.0,214.0,228.0,242.0,258.0,273.0,288.0,303.0,319.0,333.0,349.0,365.0,384.0,399.0,415.0,432.0,446.0,462.0,479.0,495.0,511.0,531.0,550.0,569.0
BGR,BULGARIA,11.0,11.0,11.0,10.0,11.0,11.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,21.0,23.0,23.0,26.0,24.0,24.0,25.0,23.0,25.0,23.0,25.0
BHR,BAHRAIN,15.0,15.0,15.0,16.0,16.0,16.0,17.0,17.0,18.0,19.0,20.0,20.0,20.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,23.0,25.0,25.0,26.0
BHS,BAHAMAS,80.0,83.0,81.0,82.0,86.0,85.0,80.0,82.0,78.0,78.0,74.0,71.0,71.0,67.0,64.0,61.0,58.0,55.0,54.0,52.0,49.0,47.0,45.0,45.0,46.0,46.0
BIH,BOSNIA AND HERZEGOWINA,11.0,12.0,12.0,12.0,12.0,13.0,14.0,13.0,14.0,14.0,14.0,15.0,15.0,15.0,16.0,17.0,18.0,19.0,21.0,21.0,22.0,24.0,26.0,28.0,29.0,28.0
BLR,BELARUS,4.0,4.0,4.0,4.0,5.0,5.0,6.0,7.0,8.0,10.0,13.0,16.0,19.0,22.0,23.0,26.0,30.0,30.0,31.0,32.0,33.0,33.0,33.0,32.0,32.0,33.0
BLZ,BELIZE,28.0,28.0,29.0,32.0,33.0,37.0,39.0,36.0,46.0,50.0,52.0,50.0,50.0,53.0,53.0,53.0,52.0,51.0,53.0,53.0,55.0,55.0,54.0,55.0,54.0,54.0
BOL,BOLIVIA,206.0,215.0,222.0,230.0,241.0,253.0,266.0,277.0,288.0,298.0,305.0,312.0,317.0,323.0,329.0,334.0,342.0,350.0,362.0,375.0,390.0,401.0,409.0,417.0,422.0,425.0
BRA,BRAZIL,44.0,46.0,48.0,60.0,59.0,65.0,65.0,66.0,67.0,68.0,67.0,66.0,63.0,62.0,61.0,66.0,81.0,94.0,90.0,86.0,84.0,88.0,93.0,95.0,100.0,104.0
BRB,BARBADOS,27.0,28.0,28.0,29.0,31.0,33.0,34.0,36.0,38.0,36.0,40.0,47.0,46.0,46.0,46.0,48.0,50.0,47.0,45.0,44.0,49.0,56.0,52.0,52.0,52.0,58.0
BRN,BRUNEI DARUSSALAM,23.0,23.0,24.0,25.0,29.0,27.0,26.0,27.0,26.0,28.0,30.0,32.0,32.0,30.0,31.0,31.0,33.0,33.0,34.0,34.0,33.0,34.0,33.0,32.0,31.0,35.0
BTN,BHUTAN,148.0,156.0,166.0,177.0,190.0,204.0,221.0,242.0,263.0,285.0,308.0,331.0,353.0,373.0,397.0,423.0,454.0,488.0,530.0,579.0,636.0,690.0,749.0,813.0,877.0,945.0
BWA,BOTSWANA,129.0,134.0,139.0,153.0,159.0,169.0,188.0,208.0,215.0,239.0,276.0,311.0,334.0,338.0,328.0,311.0,307.0,289.0,270.0,253.0,238.0,230.0,226.0,227.0,233.0,243.0
CAF,CENTRAL AFRICAN REPUBLIC,882.0,872.0,873.0,876.0,888.0,909.0,941.0,963.0,992.0,1020.0,1060.0,1110.0,1150.0,1170.0,1190.0,1200.0,1230.0,1260.0,1280.0,1290.0,1300.0,1320.0,1320.0,1320.0,1310.0,1290.0
CAN,CANADA,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,7.0
CHE,SWITZERLAND,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
CHL,CHILE,22.0,23.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,28.0,27.0,29.0,29.0,29.0,32.0,31.0,34.0,34.0,36.0,39.0,41.0,43.0,45.0,48.0,52.0,57.0
CHN,CHINA,27.0,28.0,29.0,31.0,33.0,35.0,38.0,40.0,43.0,45.0,48.0,50.0,52.0,54.0,56.0,58.0,60.0,62.0,64.0,68.0,72.0,77.0,82.0,87.0,92.0,97.0
CIV,COTE D'IVOIRE,645.0,665.0,688.0,715.0,715.0,717.0,732.0,745.0,745.0,745.0,742.0,725.0,700.0,683.0,678.0,671.0,674.0,678.0,674.0,686.0,711.0,741.0,753.0,741.0,741.0,745.0
CMR,CAMEROON,596.0,609.0,619.0,632.0,652.0,676.0,696.0,707.0,710.0,725.0,729.0,723.0,732.0,742.0,751.0,750.0,750.0,749.0,751.0,753.0,749.0,749.0,743.0,740.0,732.0,728.0
COD,"CONGO, THE DRC",693.0,717.0,746.0,771.0,777.0,794.0,793.0,792.0,803.0,789.0,787.0,793.0,808.0,830.0,853.0,874.0,902.0,915.0,919.0,920.0,914.0,904.0,890.0,883.0,881.0,879.0
COG,CONGO,442.0,452.0,469.0,483.0,494.0,509.0,525.0,537.0,555.0,575.0,596.0,622.0,641.0,655.0,657.0,653.0,657.0,651.0,653.0,646.0,634.0,627.0,615.0,612.0,608.0,603.0
COL,COLOMBIA,64.0,66.0,67.0,66.0,69.0,72.0,73.0,73.0,75.0,77.0,80.0,83.0,89.0,93.0,95.0,97.0,98.0,99.0,98.0,103.0,105.0,109.0,114.0,118.0,120.0,118.0
COM,COMOROS,335.0,344.0,354.0,365.0,376.0,388.0,396.0,407.0,415.0,426.0,436.0,447.0,458.0,471.0,484.0,499.0,509.0,521.0,533.0,549.0,563.0,576.0,592.0,606.0,619.0,635.0
CPV,CAPE VERDE,42.0,44.0,46.0,48.0,50.0,51.0,54.0,57.0,60.0,60.0,54.0,56.0,61.0,68.0,75.0,83.0,94.0,104.0,119.0,134.0,150.0,170.0,193.0,212.0,233.0,256.0
CRI,COSTA RICA,25.0,26.0,26.0,27.0,28.0,29.0,32.0,30.0,29.0,33.0,31.0,32.0,36.0,37.0,36.0,38.0,40.0,39.0,42.0,44.0,44.0,43.0,41.0,43.0,45.0,43.0
CUB,CUBA,39.0,40.0,41.0,41.0,43.0,44.0,43.0,42.0,40.0,38.0,41.0,40.0,39.0,39.0,41.0,43.0,44.0,49.0,49.0,52.0,55.0,57.0,58.0,60.0,59.0,58.0
CYP,CYPRUS,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,12.0,9.0,9.0,10.0,9.0,15.0,14.0,14.0,14.0,13.0,17.0,17.0,14.0,17.0,15.0,16.0
