Country code,Country name,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
AFG,AFGHANISTAN,,23133.0,,,,42150.0,37475.0,9750.0,,,,,,,,,,,,,,
AGO,ANGOLA,,,,,,,,,,,51429.0,51429.0,51429.0,76626.0,76626.0,72626.0,72626.0,72626.0,72626.0,,,
ALB,ALBANIA,,,,,,,,,,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18450.0,
ARE,UNITED ARAB EMIRATES,,,,4080.0,,,,4030.0,,,,1088.0,,,,4835.0,4760.0,4695.0,4555.0,4470.0,4390.0,4310.0
ARG,ARGENTINA,242481.0,,227633.0,,,239590.0,,,231374.0,,,215471.0,,,,,,,,,,
ARM,ARMENIA,7749.0,7749.0,7749.0,7749.0,7559.0,7504.0,7515.0,7629.0,7633.0,7527.0,7527.0,7527.0,,8431.0,,,,,8569.0,8569.0,8564.0,7690.0
ATG,ANTIGUA AND BARBUDA,,,,,,,,,,1165.0,,,,,,,,,,,,
AUS,AUSTRALIA,823217.0,825592.0,822649.0,816949.0,815588.0,,,810641.0,810236.0,810022.0,808294.0,805835.0,811601.0,913000.0,,913000.0,896000.0,878000.0,860000.0,844000.0,828000.0,810264.0
AUT,AUSTRIA,114590.0,110206.0,106817.0,106817.0,107266.0,107447.0,107128.0,107201.0,107052.0,106981.0,106058.0,106011.0,132959.0,133361.0,129405.0,129055.0,130023.0,129282.0,129419.0,109045.0,112208.0,107838.0
AZE,AZERBAIJAN,18986.0,18977.0,18946.0,18902.0,18823.0,18823.0,18799.0,18799.0,18799.0,18791.0,18791.0,18759.0,,,,,,,,,,
BDI,BURUNDI,,,,,,,,12322.0,,,,14480.0,14480.0,,,14480.0,,,,,,
BEL,BELGIUM,154012.0,154012.0,153872.0,153595.0,153088.0,152256.0,151372.0,150567.0,149739.0,149739.0,149018.0,148216.0,147121.09375,145850.0,145850.0,144913.0,143175.0,141430.0,140729.0,139922.0,139341.0,138876.0
BEN,BENIN,,,,,,,,19000.0,,,,,,,,,,,,,,
BFA,BURKINA FASO,15304.1,15271.6,15271.6,15295.9,15271.6,15271.6,15271.6,15271.6,15271.6,15271.6,15272.0,15272.0,,,,,,,,,,
BGD,BANGLADESH,,21269.0,21020.0,20995.0,20865.0,20782.0,20782.0,,239226.0,,,207485.0,207485.0,204743.0,201182.0,196413.0,204022.0,168578.0,219235.0,219782.0,195409.0,188000.0
BGR,BULGARIA,19512.0,19456.0,19435.0,19435.0,19425.0,19373.0,40231.0,,19276.0,19280.0,19061.0,19064.0,,36759.0,36724.0,36720.0,36777.0,36911.0,36935.0,36932.0,36930.0,36922.0
BHR,BAHRAIN,4147.0,4122.0,4083.0,3942.0,3851.0,3803.0,3708.0,3603.0,3498.0,3459.0,3375.0,3261.0,3224.0,3164.0,3103.0,3013.0,2835.0,2818.0,2767.0,2740.0,2671.0,2646.0
BHS,BAHAMAS,,,,,,,,,,,,2693.0,2693.0,2693.0,2693.0,2500.0,2450.0,2400.0,2360.0,2310.0,2270.0,2220.0
BIH,BOSNIA AND HERZEGOWINA,22912.0,22703.0,22703.0,,,,21846.0,,,21826.0,21826.0,,21846.0,21846.0,21846.0,21846.0,21826.0,21776.0,21751.0,21727.0,21677.0,21368.0
BLR,BELARUS,86491.0,86392.0,86337.0,85668.0,85697.0,83640.0,82958.0,81471.0,81216.0,79990.0,75302.0,74385.0,,,,,,,,,,
BLZ,BELIZE,,,,,,,,,,,,2872.0,2872.0,2872.0,2747.0,2248.0,,,,,,
BOL,BOLIVIA,82288.0,81124.0,80398.0,80888.0,74742.0,69734.0,67076.0,62641.0,60751.0,60436.0,59122.0,56529.0,53642.0,,53468.0,53153.0,52216.0,52073.0,50419.0,46311.0,42828.0,42711.0
BRA,BRAZIL,1581181.0,1580964.0,1634071.0,1603131.0,1603131.0,1610076.0,1610076.0,1751868.0,1738990.0,,,1724929.0,1726854.0,1670148.0,1658677.0,1980000.0,1657769.0,1824364.0,1824364.0,1661850.0,1661850.0,1670148.0
BRB,BARBADOS,,,,,,,,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,,1650.0,1610.0,1570.0,1540.0,1510.0,1480.0,1460.0
BRN,BRUNEI DARUSSALAM,3127.35,3028.11,3063.6,2972.11,2964.74,3474.05,3426.27,3368.7,,,,1150.0,,,,,,,,,,
BTN,BHUTAN,8366.2,6920.2,5982.3,5362.6,4946.7,4544.7,4392.5,4152.9,4007.1,,3746.0,,,,,,,,,,,
BWA,BOTSWANA,,,,,,,25798.0,24455.0,25233.0,24102.0,,,,,,,,18327.0,18327.0,18327.0,8134.0,8114.0
CAF,CENTRAL AFRICAN REPUBLIC,,20278.0,20278.0,,,,,,,,,24307.0,23810.0,24307.0,24307.0,24307.0,24307.0,24307.0,23671.0,23671.0,23648.0,23648.0
CAN,CANADA,,1042300.0,1409000.0,1409000.0,1409000.0,1409000.0,,1408900.0,,1408900.0,1420100.0,,901903.0,901903.0,,,901902.0,,,901903.0,849404.0,825743.0
CHE,SWITZERLAND,71461.0,71456.0,71371.0,71355.0,71354.0,71298.0,71296.0,71214.0,71171.0,71212.0,71176.0,71011.0,71115.0,71059.0,71048.0,71117.0,71055.0,71027.0,71134.0,71118.0,71106.0,71099.0
CHL,CHILE,77603.17,77763.74,78424.88,80443.24,80528.34,80694.66,80651.11,80672.33,80504.99,80121.89,79605.0,79520.0,79353.0,79200.0,79077.0,79068.0,79032.0,79800.0,79800.0,79800.0,79593.0,79593.0
CHN,CHINA,4106387.0,4008229.0,3860823.0,3730164.0,3583715.0,3456999.0,3345187.0,1870661.0,1809828.0,1765222.0,1698012.0,1679848.0,,,,,,,,,,
CIV,COTE D'IVOIRE,,,,,81996.0,,,80000.0,,,,50400.0,,,,,,,,,,
CMR,CAMEROON,,49751.0,,49802.0,28857.0,28701.6,,51346.0,,,,50000.0,34300.0,34300.0,34300.0,34300.0,34300.0,34200.0,34200.0,34200.0,34131.0,34168.0
COD,"CONGO, THE DRC",,,,,,,,153497.0,,,,157000.0,157000.0,,157000.0,157000.0,,,,,,
COG,CONGO,,,17000.0,17000.0,17000.0,17000.0,17000.0,17289.0,,,,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12745.0,12745.0,12745.0,12745.0,12800.0
COL,COLOMBIA,214433.0,203627.0,129485.0,164183.0,136751.0,136846.0,136825.0,136752.0,129590.0,129501.0,129496.0,129492.0,,,,,,,,,,
COM,COMOROS,,,,,,,,,,,,880.0,880.0,880.0,,900.0,,,,,,
CPV,CAPE VERDE,,,,,,,,,,,,1350.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0
CRI,COSTA RICA,42430.0,39937.0,39039.0,38049.0,36654.0,35983.0,,35330.0,33886.30078125,35302.58984375,35881.0,35892.0,35876.0,37273.0,35597.0,35597.0,35600.0,35583.0,35541.0,35560.0,35536.0,35556.0
CUB,CUBA,,,,,,,,,,,,60856.0,,,,,,,,,,
CYM,CAYMAN ISLANDS,484.92,,,,,,,,,,,,,,,,,,,,,
CYP,CYPRUS,13006.0,12483.0,12380.0,12321.0,12246.0,12280.0,12146.0,12059.0,11760.0,11593.0,11408.0,11141.0,11009.0,10820.0,10654.0,10415.0,10150.0,9704.0,9539.0,9362.0,9226.0,9043.0
CZE,CZECH REPUBLIC,130661.0,130671.0,130637.5,130573.0,130514.0,130504.0,128436.818,128426.77,128373.62,127721.82,127727.0,127710.0,127693.0,127693.0,,,,,,,,
DEU,GERMANY,643702.0,643782.0,643969.0,643999.0,644181.0,644359.0,644480.0,644467.0,644420.0,644581.0,643848.0,643774.0,,,656074.0,656076.0,641860.0,611604.0,640200.0,639805.0,636282.0,606461.0
DJI,DJIBOUTI,,,,,,,,,,,,3065.0,2890.0,2890.0,2890.0,2890.0,2890.0,2890.0,2890.0,2890.0,2879.0,2879.0
DMA,DOMINICA,,905.0,1646.0,905.0,,,853.0,,,,,780.0,780.0,780.0,780.0,780.0,,,,,,
DNK,DENMARK,73929.0,74054.0,73330.0,73197.0,72412.0,72362.0,72257.0,72075.0,71847.0,71847.0,71622.0,71591.0,71454.0,71437.0,71336.0,71321.0,71255.0,71255.0,71111.0,71040.0,71042.0,70922.0
DOM,DOMINICAN REPUBLIC,,,,,,,,,,,,12600.0,12600.0,,,12600.0,12300.0,12000.0,11800.0,11600.0,11400.0,11100.0
DZA,ALGERIA,,113655.0,112039.0,111261.0,,,,108302.0,,,,104000.0,104000.0,104000.0,104000.0,104000.0,102424.0,99974.0,98800.0,95576.0,90000.0,88359.0
ECU,ECUADOR,,,,,43670.0,43670.0,,43197.0,43197.0,43197.0,43197.0,43197.0,43197.0,43197.0,43197.0,43249.0,43106.0,43200.0,43118.0,43079.0,41800.0,43079.0
EGY,EGYPT,,137430.0,124091.0,104918.0,,99672.0,98875.0,92370.0,,,,64000.0,,,,,,,,,,
ERI,ERITREA,,,,,,,,,,,,4010.0,4010.0,4010.0,4010.0,4010.0,3930.0,3850.0,3770.0,3700.0,3630.0,3560.0
ESP,SPAIN,666837.0,666840.0,666519.0,666061.0,667064.0,667392.0,666699.0,666205.0,665637.0,665192.0,664852.0,664610.0,663795.0,664822.0,,,,,,,,
EST,ESTONIA,58487.0,58412.0,58383.0,58399.0,57565.0,57025.0,57016.0,56839.0,56849.0,55944.0,52038.0,51411.0,50436.0,49480.0,,,,,,,,
ETH,ETHIOPIA,,,,,44359.0,40244.0,42370.0,36469.0,33856.0,33297.0,32871.0,29571.0,28652.0,26063.0,23832.0,23832.0,23442.0,28300.0,28200.0,28100.0,27972.0,27901.0
FIN,FINLAND,78138.0,78161.0,78925.0,78860.0,78889.0,78941.0,78821.0,78158.0,78197.0,78138.0,78541.0,78412.0,77900.0,77895.0,77796.0,77782.0,77722.0,77644.0,77499.0,76755.0,76631.0,76407.0
FJI,FIJI,,,,,,,,,,,,3440.0,3440.0,3440.0,3440.0,3440.0,3370.0,3300.0,3240.0,3180.0,3110.0,3050.0
FRA,FRANCE,1052380.0,1049446.0,1040260.0,1027150.0,1026115.0,1012165.0,1005750.0,1001470.0,998350.0,994220.0,998110.0,990830.0,893500.0,893300.0,892900.0,892500.0,892700.0,892500.0,891600.0,891200.0,890750.0,885600.0
