Country code,Country name,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
ALB,ALBANIA,423.0,423.0,423.0,423.0,423.0,423.0,423.0,447.0,447.0,447.0,447.0,447.0,440.0,,,447.0,,674.0,674.0,674.0,674.0,,734.0,,,,,672.0,,,,,610.0
ARG,ARGENTINA,25023.0,25023.0,25023.0,25023.0,35753.0,35753.0,35753.0,35753.0,,,,,,,,,,,,,,34059.0,34059.0,34059.0,34059.0,34140.0,34140.0,34159.0,34057.0,34061.0,34029.0,34106.0,34192.0
ARM,ARMENIA,826.0,826.0,826.0,,845.0,,,732.0,711.0,711.0,711.0,711.0,842.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0
AUS,AUSTRALIA,1829.0,1829.0,8615.0,9674.0,9661.0,9639.0,9639.0,9528.0,,9474.0,9514.0,9508.0,9499.0,,,9458.0,,,,,,,6612.0,7147.0,7196.0,7315.0,7450.0,7450.0,7450.0,7647.0,7638.0,7554.0,7592.0
AUT,AUSTRIA,4985.0,5021.0,5066.0,5784.0,5755.0,5818.0,5818.0,5781.0,5359.0,5655.0,5647.0,5600.0,5780.0,5345.0,5643.0,5672.0,5672.0,5672.0,5636.0,5600.0,5605.0,5623.0,5624.0,5641.0,5630.0,5747.0,5745.0,5766.0,5762.0,5773.0,5777.0,5811.0,5857.0
AZE,AZERBAIJAN,2068.0,2079.0,2079.0,2079.0,2099.0,,2122.0,2122.0,2122.0,,2122.0,2116.0,2116.0,2116.0,2117.0,,,,,,,,,,,,,,,,,,
BEL,BELGIUM,3575.0,3578.0,3578.0,3578.0,3513.0,3374.0,3560.0,3542.0,3536.0,3521.0,3518.0,3454.0,3471.0,3472.0,3410.0,3422.0,3380.0,3368.0,3396.0,3410.0,3432.0,3466.0,3479.0,3513.0,3554.0,3568.0,3618.0,3667.0,3776.0,3860.0,3928.0,3954.0,3978.0
BEN,BENIN,,,,,758.0,758.0,758.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,BURKINA FASO,622.0,622.0,622.0,622.0,622.0,622.0,622.0,622.0,,,,,,,,,,,,,,,,,,,,,,,,,
BGD,BANGLADESH,2835.0,2835.0,2835.0,2835.0,2835.0,2855.0,2855.0,2855.0,2855.0,2855.0,2765.0,2768.0,2768.0,2768.0,2733.51,2733.51,2706.1,2706.1,2706.01,2706.01,2745.65,2745.65,2745.65,2746.0,2745.65,2745.65,2818.0,2892.0,2892.0,2874.0,3105.0,3105.0,2874.0
BGR,BULGARIA,4070.0,3947.0,4098.0,4150.0,4159.0,4027.0,4155.0,4163.0,4259.0,4318.0,4318.0,4320.0,4320.0,4290.0,4290.0,4292.0,3979.0,3979.0,4146.0,4300.0,4299.0,4299.0,4299.0,4300.0,4300.0,4300.0,4294.0,4297.0,4278.0,4278.0,4273.0,4267.0,4341.0
BIH,BOSNIA AND HERZEGOWINA,1027.0,1026.0,1026.0,1016.0,1016.0,1103.0,1024.0,1000.0,1001.0,1032.0,1101.0,1101.0,1032.0,,,,,,,,,,,,,,,,,,,,
BLR,BELARUS,5462.0,5482.0,5503.0,5510.0,5491.0,5494.0,5494.0,5498.0,5498.0,5502.0,5512.0,5509.0,5512.0,5523.0,,5542.0,,5543.0,5543.0,4621.0,5567.0,5567.0,5569.0,5500.0,5500.0,5463.0,5459.0,5540.0,5443.0,5443.0,5446.0,5446.0,5512.0
BOL,BOLIVIA,,,,2866.0,2866.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,BRAZIL,29817.0,29817.0,29817.0,29817.0,29817.0,29487.0,29314.0,29314.0,,,,,,,,4183.0,4651.0,4651.0,4933.0,4933.0,4915.0,4915.0,4916.0,5123.0,4994.0,4899.0,5035.0,5072.0,5072.0,5072.0,5063.0,5052.0,5054.0
BWA,BOTSWANA,888.0,888.0,888.0,888.0,888.0,888.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,CANADA,52002.0,52002.0,58345.0,58345.0,57216.0,57042.0,57481.0,57671.0,30726.2479871176,29220.6119162641,32655.3945249597,29826.0869565217,,,,23731.0,26560.0,,29525.8064516129,,,,32327.0,,,,50708.0,51745.0,51697.0,53605.0,52507.0,,
CHE,SWITZERLAND,3551.0,3574.0,3543.0,3544.0,3499.0,3619.0,3330.0,3252.0,3140.0,2990.0,2982.0,2959.0,2975.0,2902.0,2910.0,2939.0,2989.0,2987.0,2983.0,2983.0,2985.0,2982.0,2978.0,2994.0,2990.0,2990.0,2986.0,2986.0,2984.0,2961.0,2956.0,2952.0,2943.0
CHL,CHILE,5529.0,5520.0,5352.0,5352.0,5898.0,5898.0,5898.0,7928.0,5992.0,6330.0,6328.0,6623.0,,,,,,,,,,,6916.0,,,6969.0,7280.0,7227.0,7335.0,7493.0,7763.0,7763.0,7763.0
CHN,CHINA,66298.0,66050.0,66239.0,65491.0,60809.0,63637.0,63412.0,62200.0,61015.0,60446.0,59530.0,59079.0,58656.0,57923.0,57584.0,57566.0,56000.0,54616.0,53992.0,53802.0,53566.0,53416.0,53378.0,53187.0,52767.0,52611.0,52487.0,52119.0,51604.0,51604.0,50591.0,50182.0,49940.0
CIV,COTE D'IVOIRE,639.0,639.0,639.0,639.0,639.0,639.0,639.0,639.0,,,639.0,639.0,639.0,,,639.0,,639.0,651.0,651.0,651.0,650.0,709.0,1155.0,,1167.0,1167.0,1182.0,1182.0,1182.0,1182.0,1182.0,1180.0
CMR,CAMEROON,977.0,977.0,977.0,977.0,977.0,974.0,982.0,974.0,1016.0,1016.0,1016.0,1016.0,1006.0,1006.0,1006.0,1006.0,1006.0,1006.0,1006.0,1006.0,1106.0,1104.0,1104.0,1104.0,1104.0,1104.0,1115.0,1115.0,1115.0,1115.0,1143.0,1143.0,1143.0
COD,"CONGO, THE DRC",3641.0,3641.0,3641.0,3641.0,4007.0,3641.0,3641.0,3641.0,4499.0,,,,3641.0,4752.0,4752.0,4752.0,4752.0,4752.0,4752.0,4152.0,,,4511.0,4511.0,4511.0,4511.0,4511.0,4511.0,4511.0,4511.0,4511.0,4511.0,4511.0
COG,CONGO,,,,,795.0,795.0,795.0,795.0,795.0,,1026.0,900.0,900.0,,,,,609.0,706.0,600.0,510.0,510.0,,609.5,609.5,609.5,609.5,518.5,518.5,519.0,519.0,519.0,519.0
COL,COLOMBIA,,,,1672.0,1663.0,,2137.0,2137.0,,,,,,,,,3154.0,1800.0,1915.0,,,,2532.0,,,2616.0,2616.0,2622.0,2622.0,2680.0,2710.0,2822.0,2822.0
CRI,COSTA RICA,,,,,,,,,,,,,,,,,424.0,,,,,412.0,,,,480.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0
CUB,CUBA,,,,5076.0,5076.0,,,,,,,,,,4667.0,,4667.0,,,,,,,4807.0,,,4161.0,,4226.0,,,,4382.0
CZE,CZECH REPUBLIC,9469.0,9470.0,9569.0,9539.0,9487.0,9491.0,9491.0,9513.0,9489.0,9501.0,9499.0,9444.0,9365.0,9365.0,9430.0,9430.0,9435.0,9430.0,9413.0,9441.0,,,,,,,,,,,,,
DEU,GERMANY,33509.0,33576.0,33708.0,33706.0,33862.0,33897.0,34128.0,34228.0,34715.0,36044.0,35804.0,35986.0,36652.0,37477.0,38127.0,38450.0,40826.0,41718.0,41401.0,,,,,,,,,,,,,,
DJI,DJIBOUTI,,,,,,,,781.0,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,DENMARK,2131.0,2131.0,2131.0,2131.0,2133.0,2133.0,2011.0,2212.0,2212.0,2273.0,2273.0,2047.0,2047.0,2324.0,2264.0,2232.0,2349.0,2349.0,2349.0,2311.0,2306.0,2344.0,2344.0,2344.0,2476.0,2476.0,2471.0,2471.0,2448.0,2448.0,2015.0,2015.0,2015.0
DZA,ALGERIA,4691.0,4691.0,3512.0,4723.0,3572.0,3572.0,3572.0,3572.0,3572.0,,,,3793.0,3973.0,3973.0,3973.0,3973.0,4290.0,3945.0,3945.0,4290.0,4047.0,4293.0,3836.0,4135.0,3841.0,3841.0,3841.0,3841.0,3761.0,3761.0,3761.0,3907.0
EGY,EGYPT,5195.0,5195.0,5195.0,5195.0,5063.0,5195.0,5195.0,5150.0,5150.0,,5150.0,5125.0,5024.0,5026.0,5018.0,4976.0,4907.0,4810.0,4114.0,4570.0,4110.0,4751.0,4751.0,,,,5870.0,5763.0,4437.0,4437.0,4437.0,4437.0,4437.0
