Country code,Country name,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
AGO,ANGOLA,24.4,26.7,29.5,31.4,32.4,33.5,34.8,37.9,40.9,43.5,46.0,47.4,49.0,50.8,52.7,54.6,56.3,58.6,62.8,64.3,65.2,63.2
ARM,ARMENIA,,,,,,,5.3,6.9,9.2,12.5,16.7,20.2,21.5,21.2,20.7,21.0,21.3,22.6,24.0,24.0,,
ATG,ANTIGUA AND BARBUDA,13.9,17.2,20.8,23.2,25.1,26.7,28.1,33.1,38.8,44.4,45.2,42.0,38.5,36.1,35.3,34.5,34.5,32.6,28.8,22.2,17.6,15.9
AZE,AZERBAIJAN,,,,,,,,,,,7.4,10.1,14.9,20.9,26.8,28.8,28.7,26.6,23.8,23.8,,
BDI,BURUNDI,67.3,68.6,69.2,69.5,69.6,69.7,69.7,68.5,66.3,63.9,62.7,62.3,62.1,61.3,59.1,57.7,57.4,57.9,55.7,51.3,46.5,44.4
BEN,BENIN,6.1,7.7,9.7,10.9,12.1,12.7,13.1,13.8,13.7,14.3,15.2,16.7,17.8,17.8,17.9,18.1,18.6,19.6,21.0,22.1,21.9,22.4
BFA,BURKINA FASO,25.0,24.4,24.5,23.9,24.7,25.0,25.3,25.8,26.4,26.7,27.1,27.5,26.5,25.3,22.8,21.1,19.2,18.3,18.3,18.7,20.6,22.9
BGD,BANGLADESH,16.3,15.7,15.1,15.5,15.2,15.4,15.1,15.3,15.3,15.8,16.2,17.2,18.0,20.9,24.6,29.7,33.4,36.7,38.6,38.1,36.0,33.9
BHS,BAHAMAS,5.6,6.3,6.9,7.5,7.9,8.2,8.0,7.9,7.5,7.1,6.5,6.0,6.2,7.4,8.2,9.5,10.2,12.9,14.6,15.1,12.8,9.5
BLZ,BELIZE,6.4,6.8,7.5,7.9,7.6,7.2,6.6,6.6,6.6,6.9,7.3,8.1,9.2,9.9,10.3,10.3,9.9,9.8,9.0,8.4,8.7,9.6
