Country code,Country name,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991
AFG,AFGHANISTAN,8600000.0,8100000.0,7700000.0,7300000.0,7100000.0,7000000.0,7200000.0,7500000.0,7900000.0,8300000.000000001,8700000.0,9400000.0,1.0E7,1.04E7,1.0E7,9400000.0,8800000.0,8600000.0,8500000.0,8400000.0,8000000.0,7200000.0,6000000.0,5000000.0,3800000.0
AGO,ANGOLA,3200000.0,3400000.0,3500000.0,3600000.0,3800000.0,4000000.0,4400000.0,4700000.0,5100000.0,5400000.0,5700000.0,6000000.0,6400000.0,6800000.0,7000000.0,7100000.0,7200000.0,7200000.0,7300000.0,7400000.0,7500000.0,7600000.0,7400000.0,7100000.0,6800000.0
ARE,UNITED ARAB EMIRATES,,,,300000.0,200000.0,200000.0,200000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARG,ARGENTINA,,,,1400000.0,1600000.0,1600000.0,1400000.0,1200000.0,1000000.0,800000.0,700000.0,700000.0,800000.0,700000.0,600000.0,300000.0,300000.0,400000.0,400000.0,400000.0,400000.0,400000.0,500000.0,600000.0,700000.0
ARM,ARMENIA,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,300000.0,400000.0,600000.0,700000.0,700000.0,700000.0,600000.0,500000.0,500000.0,600000.0,700000.0,900000.0,900000.0,900000.0,900000.0
ATG,ANTIGUA AND BARBUDA,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZE,AZERBAIJAN,,,,100000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,600000.0,800000.0,1100000.0,1400000.0,1800000.0,2100000.0,2300000.0,2200000.0,2100000.0,2000000.0,1800000.0,1800000.0,1800000.0,1800000.0
BDI,BURUNDI,,,,5900000.0,5900000.0,5800000.0,5700000.0,5500000.0,5400000.0,5200000.0,5000000.0,4700000.0,4400000.0,4200000.0,4099999.9999999995,4000000.0,3900000.0,3700000.0,3600000.0,3500000.0,3500000.0,3300000.0,3000000.0,2700000.0,2500000.0
BEN,BENIN,800000.0,900000.0,1000000.0,1100000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1300000.0,1300000.0,1400000.0,1400000.0,1500000.0,1600000.0,1700000.0,1700000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1500000.0,1500000.0
BFA,BURKINA FASO,3700000.0,3600000.0,3500000.0,3500000.0,3500000.0,3500000.0,3500000.0,3500000.0,3500000.0,3500000.0,3500000.0,3500000.0,3500000.0,3400000.0,3300000.0,3100000.0,2900000.0,2600000.0,2300000.0,2200000.0,2100000.0,2100000.0,2200000.0,2300000.0,2400000.0
BGD,BANGLADESH,2.63E7,2.68E7,2.7E7,2.68E7,2.65E7,2.6E7,2.57E7,2.51E7,2.48E7,2.43E7,2.44E7,2.47E7,2.55E7,2.62E7,2.77E7,3.05E7,3.49E7,3.93E7,4.26E7,4.42E7,4.43E7,4.27E7,3.99E7,3.74E7,3.6E7
BHS,BAHAMAS,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLZ,BELIZE,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
BOL,BOLIVIA,1800000.0,1800000.0,1900000.0,2200000.0,2500000.0,2700000.0,2800000.0,2800000.0,2800000.0,2800000.0,2900000.0,2800000.0,2800000.0,2700000.0,2800000.0,2900000.0,3000000.0,2900000.0,2700000.0,2600000.0,2700000.0,2700000.0,2700000.0,2600000.0,2600000.0
BRA,BRAZIL,,,,1.36E7,1.34E7,1.38E7,1.44E7,1.54E7,1.6E7,1.67E7,1.6600000000000002E7,1.11E7,1.41E7,1.72E7,1.99E7,2.14E7,2.21E7,2.22E7,2.21E7,2.23E7,2.24E7,2.25E7,2.25E7,2.21E7,2.26E7
BRB,BARBADOS,,,,0.0,0.0,0.0,0.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRN,BRUNEI DARUSSALAM,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BWA,BOTSWANA,500000.0,500000.0,500000.0,500000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,500000.0,500000.0,500000.0,500000.0,500000.0,400000.0,400000.0,400000.0
CAF,CENTRAL AFRICAN REPUBLIC,2300000.0,2100000.0,1800000.0,1600000.0,1500000.0,1500000.0,1500000.0,1600000.0,1600000.0,1600000.0,1700000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1700000.0,1600000.0,1600000.0,1500000.0,1500000.0,1400000.0
CHL,CHILE,,,,600000.0,600000.0,700000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,700000.0,700000.0,800000.0,800000.0,800000.0,800000.0,800000.0,800000.0,900000.0,1000000.0,1100000.0,1200000.0
CHN,CHINA,1.3380000000000001E8,1.398E8,1.466E8,1.544E8,1.632E8,1.734E8,1.837E8,1.938E8,2.017E8,2.073E8,2.105E8,2.119E8,2.114E8,2.113E8,2.112E8,2.127E8,2.147E8,2.187E8,2.257E8,2.361E8,2.539E8,2.749E8,2.904E8,2.995E8,2.89E8
CIV,COTE D'IVOIRE,2800000.0,2800000.0,2800000.0,2800000.0,2800000.0,2800000.0,2700000.0,2600000.0,2500000.0,2500000.0,2600000.0,2700000.0,2800000.0,2800000.0,2700000.0,2400000.0,2100000.0,1900000.0,1700000.0,1700000.0,1700000.0,1600000.0,1500000.0,1400000.0,1300000.0
CMR,CAMEROON,2300000.0,2300000.0,2300000.0,2300000.0,2500000.0,2800000.0,3000000.0,3300000.0,3600000.0,3900000.0,4200000.0,4400000.0,4700000.0,4900000.0,5000000.0,5100000.0,5300000.0,5400000.0,5500000.0,5400000.0,5300000.0,5100000.0,4800000.0,4800000.0,4700000.0
COG,CONGO,1400000.0,1300000.0,1200000.0,1200000.0,1300000.0,1300000.0,1300000.0,1300000.0,1300000.0,1200000.0,1100000.0,1000000.0,900000.0,1000000.0,1000000.0,1100000.0,1200000.0,1300000.0,1300000.0,1300000.0,1200000.0,1200000.0,1100000.0,1100000.0,1100000.0
COL,COLOMBIA,4400000.0,4600000.0,5000000.0,5300000.0,5300000.0,5000000.0,4400000.0,4099999.9999999995,4200000.0,4200000.0,4099999.9999999995,3800000.0,3700000.0,3700000.0,3900000.0,3900000.0,4000000.0,3900000.0,3800000.0,3800000.0,3900000.0,4200000.0,4500000.0,4800000.0,5000000.0
COM,COMOROS,,,,500000.0,500000.0,500000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,300000.0,300000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0
CPV,CAPE VERDE,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
CRI,COSTA RICA,,300000.0,300000.0,300000.0,300000.0,200000.0,200000.0,200000.0,200000.0,200000.0,300000.0,300000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0
CUB,CUBA,,,,100000.0,100000.0,100000.0,100000.0,200000.0,100000.0,100000.0,100000.0,100000.0,100000.0,200000.0,200000.0,600000.0,1000000.0,1400000.0,1800000.0,2200000.0,2300000.0,2000000.0,1400000.0,1000000.0,600000.0
DJI,DJIBOUTI,100000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,300000.0,300000.0,300000.0,300000.0,300000.0,400000.0,400000.0,400000.0,400000.0,400000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0
DMA,DOMINICA,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM,DOMINICAN REPUBLIC,1300000.0,1300000.0,1400000.0,1400000.0,1600000.0,1800000.0,2000000.0,2000000.0,2100000.0,2300000.0,2500000.0,2600000.0,2500000.0,2500000.0,2500000.0,2700000.0,2700000.0,2600000.0,2400000.0,2200000.0,2100000.0,2200000.0,2400000.0,2400000.0,2500000.0
DZA,ALGERIA,,,,800000.0,1000000.0,1900000.0,2000000.0,2200000.0,2300000.0,2300000.0,2400000.0,2400000.0,2500000.0,2600000.0,2700000.0,2800000.0,2800000.0,2800000.0,2700000.0,2500000.0,2300000.0,2100000.0,2000000.0,2000000.0,2100000.0
ECU,ECUADOR,1800000.0,1800000.0,1800000.0,1800000.0,2000000.0,2200000.0,2300000.0,2500000.0,2500000.0,2600000.0,2700000.0,2700000.0,2600000.0,2500000.0,2400000.0,2200000.0,2100000.0,2000000.0,1900000.0,1700000.0,1700000.0,1700000.0,1800000.0,2100000.0,2000000.0
EGY,EGYPT,,,,1100000.0,1200000.0,1300000.0,1200000.0,1200000.0,1300000.0,1400000.0,1600000.0,1500000.0,1300000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,900000.0,900000.0,1000000.0,1200000.0,1300000.0,1400000.0,1300000.0
ERI,ERITREA,,,,3400000.0,3400000.0,3500000.0,3500000.0,3500000.0,3600000.0,3500000.0,3400000.0,3300000.0,3200000.0,3000000.0,2900000.0,2800000.0,2700000.0,2500000.0,2400000.0,2300000.0,2300000.0,2400000.0,2400000.0,2400000.0,2400000.0
ETH,ETHIOPIA,3.16E7,3.19E7,3.2E7,3.2E7,3.21E7,3.2700000000000004E7,3.35E7,3.4E7,3.41E7,3.43E7,3.49E7,3.54E7,3.59E7,3.63E7,3.73E7,3.82E7,3.89E7,3.93E7,3.98E7,4.06E7,4.07E7,4.05E7,4.0E7,4.01E7,3.73E7
FJI,FIJI,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
GAB,GABON,,,,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
GEO,GEORGIA,300000.0,300000.0,400000.0,400000.0,400000.0,400000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,500000.0,600000.0,800000.0,700000.0,600000.0,500000.0,800000.0,1500000.0,2400000.0,3400000.0,3500000.0,4200000.0,3000000.0
GHA,GHANA,,,,800000.0,1400000.0,1600000.0,1700000.0,1900000.0,2100000.0,2300000.0,2500000.0,2600000.0,2800000.0,2900000.0,3100000.0,3300000.0,3500000.0,3700000.0,3800000.0,3800000.0,4099999.9999999995,4400000.0,5400000.0,5700000.0,7100000.0
GIN,GUINEA,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2100000.0,2200000.0,2200000.0,2300000.0,2300000.0,2300000.0,2300000.0,2400000.0,2400000.0,2400000.0,2200000.0,2000000.0,1900000.0,1700000.0,1600000.0,1500000.0,1500000.0
GMB,GAMBIA,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,100000.0,100000.0,100000.0
GNB,GUINEA-BISSAU,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,300000.0,300000.0,300000.0,300000.0,400000.0,400000.0,300000.0,300000.0,300000.0,200000.0,200000.0,200000.0,200000.0,200000.0
GRD,GRENADA,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTM,GUATEMALA,2500000.0,2500000.0,2400000.0,2200000.0,2200000.0,2100000.0,2100000.0,2100000.0,2100000.0,2100000.0,2100000.0,2000000.0,2000000.0,2200000.0,2300000.0,2500000.0,2400000.0,2300000.0,2000000.0,1700000.0,1500000.0,1500000.0,1500000.0,1400000.0,1400000.0
GUY,GUYANA,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,200000.0,200000.0
HND,HONDURAS,1000000.0,1000000.0,1000000.0,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,1200000.0,1200000.0,1100000.0,1100000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1100000.0,1100000.0,1100000.0,1200000.0,1200000.0,1200000.0,1200000.0
HTI,HAITI,5700000.0,5500000.0,5200000.0,5000000.0,4900000.0,5000000.0,5100000.0,5200000.0,5300000.0,5400000.0,5300000.0,5300000.0,5100000.0,5000000.0,4800000.0,4700000.0,4700000.0,4800000.0,4800000.0,4900000.0,4900000.0,4900000.0,4700000.0,4600000.0,4400000.0
IDN,INDONESIA,1.94E7,1.93E7,2.05E7,2.29E7,2.69E7,3.24E7,3.76E7,4.15E7,4.27E7,4.27E7,4.21E7,4.15E7,4.1E7,4.02E7,3.83E7,3.59E7,3.3200000000000004E7,3.08E7,2.9E7,2.88E7,3.01E7,3.21E7,3.4E7,3.52E7,3.59E7
IND,INDIA,1.946E8,1.941E8,1.931E8,1.91E8,1.899E8,1.897E8,1.926E8,2.025E8,2.187E8,2.338E8,2.393E8,2.325E8,2.182E8,2.002E8,1.855E8,1.77E8,1.773E8,1.816E8,1.897E8,1.991E8,2.062E8,2.075E8,2.059E8,2.005E8,2.101E8
IRN,IRAN (ISLAMIC REPUBLIC OF),,4000000.0,4400000.0,4500000.0,4700000.0,4700000.0,4800000.0,4800000.0,4700000.0,4700000.0,4600000.0,4500000.0,4400000.0,4099999.9999999995,3800000.0,3400000.0,2600000.0,2300000.0,2200000.0,2100000.0,2000000.0,1800000.0,1600000.0,1600000.0,2900000.0
IRQ,IRAQ,8100000.0,8100000.0,8000000.0,7900000.0,7800000.0,7800000.0,7800000.0,7800000.0,7600000.0,7300000.0,6900000.0,6600000.0,6200000.0,5900000.0,5800000.0,5800000.0,5900000.0,5700000.0,5300000.0,4800000.0,4300000.0,3900000.0,2900000.0,2500000.0,1400000.0
JAM,JAMAICA,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,300000.0,200000.0
JOR,JORDAN,,,,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,300000.0,300000.0,300000.0,400000.0,400000.0,400000.0,400000.0,300000.0,300000.0,200000.0,200000.0
KAZ,KAZAKHSTAN,,,,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,800000.0,800000.0,800000.0,700000.0,600000.0,1200000.0,2300000.0,2300000.0,1700000.0,600000.0,200000.0,100000.0,100000.0,100000.0,100000.0,100000.0
KEN,KENYA,9900000.0,9800000.0,9800000.0,9800000.0,1.0E7,1.02E7,1.03E7,1.0E7,9900000.0,1.04E7,1.14E7,1.19E7,1.17E7,1.09E7,1.04E7,1.01E7,1.01E7,9900000.0,9600000.0,9500000.0,9700000.0,1.01E7,9700000.0,8900000.0,7900000.0
KGZ,KYRGYZSTAN,300000.0,300000.0,300000.0,400000.0,400000.0,400000.0,500000.0,500000.0,500000.0,500000.0,500000.0,600000.0,700000.0,800000.0,800000.0,800000.0,700000.0,600000.0,700000.0,700000.0,700000.0,700000.0,700000.0,700000.0,700000.0
KHM,CAMBODIA,2200000.0,2300000.0,2400000.0,2400000.0,2500000.0,2400000.0,2400000.0,2400000.0,2500000.0,2700000.0,2800000.0,2900000.0,3000000.0,3300000.0,3600000.0,3900000.0,4200000.0,4300000.0,4000000.0,3500000.0,3200000.0,2900000.0,2900000.0,2900000.0,3000000.0
KIR,KIRIBATI,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
KNA,SAINT KITTS AND NEVIS,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOR,"KOREA, REPUBLIC OF",,,,400000.0,400000.0,400000.0,500000.0,500000.0,600000.0,600000.0,600000.0,700000.0,700000.0,700000.0,600000.0,600000.0,700000.0,700000.0,700000.0,700000.0,700000.0,800000.0,800000.0,900000.0,800000.0
KWT,KUWAIT,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,200000.0,400000.0,600000.0,800000.0,800000.0
LAO,LAOS ,1300000.0,1300000.0,1300000.0,1300000.0,1400000.0,1500000.0,1500000.0,1500000.0,1500000.0,1600000.0,1700000.0,1800000.0,2000000.0,2000000.0,2100000.0,2100000.0,2100000.0,2100000.0,2100000.0,2100000.0,2100000.0,2100000.0,2000000.0,2000000.0,1900000.0
LBN,LEBANON,,,,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
LBR,LIBERIA,1400000.0,1400000.0,1400000.0,1400000.0,1400000.0,1400000.0,1400000.0,1300000.0,1300000.0,1300000.0,1300000.0,1300000.0,1300000.0,1200000.0,1100000.0,1100000.0,1000000.0,900000.0,900000.0,900000.0,800000.0,700000.0,600000.0,600000.0,600000.0
