Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
AGO,ANGOLA,11.0,36.0,20.0,38.0,20.0,25.0,20.0,32.0,12.0,7.0,13.0,11.0,66.0,806.0,874.0,3856.0,1259.0,644.0
BDI,BURUNDI,141.0,25.0,35.0,66.0,224.0,157.0,201.0,72.0,267.0,164.0,198.0,502.0,1119.0,1599.0,1328.0,396.0,273.0,519.0
BEN,BENIN,18.0,15.0,22.0,18.0,11.0,3.0,1.0,7.0,1.0,2.0,6.0,3.0,2.0,6.0,2.0,3.0,5.0,2.0
BFA,BURKINA FASO,175.0,36.0,25.0,72.0,4.0,1.0,14.0,1.0,15.0,7.0,7.0,2.0,13.0,6.0,42.0,53.0,6.0,8.0
BWA,BOTSWANA,5.0,1.0,,5.0,5.0,6.0,3.0,3.0,2.0,5.0,11.0,4.0,3.0,6.0,1.0,1.0,1.0,1.0
CAF,CENTRAL AFRICAN REPUBLIC,1893.0,914.0,151.0,28.0,335.0,229.0,184.0,225.0,122.0,41.0,60.0,164.0,137.0,93.0,18.0,25.0,25.0,105.0
CIV,COTE D'IVOIRE,182.0,179.0,153.0,565.0,202.0,9.0,51.0,14.0,60.0,95.0,206.0,390.0,342.0,65.0,296.0,116.0,21.0,21.0
CMR,CAMEROON,278.0,77.0,18.0,28.0,25.0,36.0,54.0,37.0,8.0,33.0,19.0,7.0,3.0,8.0,13.0,2.0,13.0,38.0
COG,CONGO,14.0,8.0,8.0,,6.0,16.0,,6.0,2.0,23.0,15.0,8.0,119.0,13.0,17.0,182.0,96.0,235.0
DJI,DJIBOUTI,50.0,14.0,5.0,7.0,23.0,17.0,5.0,4.0,6.0,4.0,4.0,1.0,3.0,2.0,3.0,15.0,5.0,3.0
DZA,ALGERIA,471.0,528.0,431.0,401.0,318.0,606.0,586.0,893.0,538.0,36.0,258.0,64.0,79.0,311.0,436.0,83.0,111.0,231.0
EGY,EGYPT,2925.0,3698.0,612.0,525.0,233.0,95.0,152.0,6.0,8.0,70.0,2.0,2.0,62.0,38.0,83.0,20.0,41.0,97.0
ERI,ERITREA,5.0,9.0,9.0,12.0,9.0,14.0,45.0,10.0,8.0,9.0,16.0,16.0,4.0,9.0,186.0,440.0,143.0,6.0
ESP,SPAIN,,,,,1.0,1.0,,2.0,,6.0,,2.0,,,,,,
ETH,ETHIOPIA,138.0,323.0,344.0,202.0,466.0,276.0,244.0,121.0,164.0,296.0,327.0,281.0,602.0,132.0,381.0,195.0,130.0,38.0
GAB,GABON,35.0,37.0,14.0,8.0,5.0,10.0,4.0,,7.0,1.0,6.0,,2.0,5.0,2.0,5.0,2.0,3.0
GHA,GHANA,56.0,80.0,57.0,22.0,22.0,26.0,18.0,5.0,7.0,6.0,13.0,24.0,9.0,14.0,20.0,3.0,7.0,11.0
GIN,GUINEA,52.0,131.0,58.0,18.0,42.0,81.0,37.0,81.0,17.0,32.0,17.0,14.0,24.0,170.0,378.0,94.0,56.0,
GMB,GAMBIA,12.0,3.0,5.0,1.0,5.0,3.0,7.0,4.0,5.0,5.0,8.0,14.0,22.0,24.0,18.0,3.0,2.0,5.0
GNB,GUINEA-BISSAU,6.0,5.0,18.0,15.0,5.0,17.0,6.0,2.0,52.0,17.0,12.0,10.0,10.0,7.0,17.0,45.0,191.0,6.0
GNQ,EQUATORIAL GUINEA,5.0,2.0,3.0,1.0,2.0,14.0,4.0,4.0,2.0,2.0,6.0,2.0,2.0,2.0,3.0,,5.0,6.0
KEN,KENYA,692.0,999.0,600.0,297.0,223.0,198.0,731.0,784.0,149.0,226.0,110.0,151.0,338.0,239.0,276.0,343.0,256.0,244.0
