Country code,Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950,1949,1948,1947,1946,1945,1944,1943,1942,1941,1940,1939,1938,1937,1936,1935,1934,1933,1932,1931,1930,1929,1928,1927,1926,1925,1924,1923,1922,1921,1920,1919,1918,1917,1916,1915,1914,1913,1912,1911,1910,1909,1908,1907,1906,1905,1904,1903,1902,1901,1900
AFG,AFGHANISTAN,20262.0,51501.0,1762872.0,46237.0,65883.0,453004.0,30295.0,2233910.0,45818.0,5663.0,4775.0,313832.0,204695.0,2582268.0,113162.0,165836.0,20830.0,13230.0,7674.0,100330.0,1000.0,4000.0,146600.0,0.0,0.0,161000.0,0.0,,,35.0,34503.0,38000.0,,30000.0,,271684.0,,170000.0,,,,250000.0,0.0,,48000.0,,,,,400.0,0.0,,,,,,,2000.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,ANGOLA,1003.0,1834000.0,90684.0,189781.0,251043.0,98837.0,64443.0,57807.0,10070.0,358840.0,831.0,35.0,40467.0,79201.0,873.0,1113.0,105000.0,,1015.0,147.0,,42.0,0.0,0.0,2015525.0,0.0,673.0,,500000.0,,0.0,,80000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIA,ANGUILLA,,,,,,,,,,,,,,,150.0,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,,1250.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
ALB,ALBANIA,,230020.0,,14012.0,6750.0,10300.0,225.0,,400500.0,2525.0,,192110.0,,,,2100.0,8000.0,66.0,3500.0,,,35000.0,0.0,,3200000.0,690.0,,,7111.0,,,5005.0,,,350.0,,,,,,,,,,,,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,UNITED ARAB EMIRATES,24.0,,,0.0,,6.0,,,,2.0,,23.0,15.0,,0.0,,1.0,,,,100.0,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,ARGENTINA,3217.0,20352.0,332.0,4.0,67518.0,85048.0,135000.0,4540.0,392.0,6534.0,163901.0,17952.0,256950.0,38570.0,64.0,364000.0,12500.0,,33800.0,0.0,8146.0,92004.0,63200.0,2000.0,,4600000.0,165752.0,205000.0,1251732.0,12014.0,6080000.0,50000.0,240.0,40000.0,20000.0,1900.0,42600.0,,0.0,100000.0,300.0,0.0,,0.0,,0.0,212000.0,120000.0,0.0,,,,,,,0.0,,,,,,,,,5000.0,,,,,155000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,ARMENIA,64000.0,,,,,,,,,0.0,,,,297000.0,,156.0,22000.0,,,750.0,48.0,3500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASM,AMERICAN SAMOA,,,,,2500.0,,,,0.0,23060.0,3.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,ANTIGUA AND BARBUDA,,,,5000.0,,25800.0,,,,,,,,,5957.0,2025.0,,,3702.0,,,,,0.0,8030.0,,,,,,75000.0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,AUSTRALIA,7500.0,16000.0,7637.0,186042.0,36569.0,20400.0,5843.0,10271.0,4420.0,4385.0,5190.0,379.0,8608.0,2159.0,12748.0,15175.0,400.0,636289.0,931869.0,4011823.0,3033100.0,7000120.0,408.0,8000.0,2115.0,0.0,,1012.0,100.0,0.0,11000.0,0.0,80000.0,40.0,0.0,100.0,91.0,10000.0,36.0,45640.0,12000.0,,0.0,0.0,,6090.0,3100.0,,,,,,,,,,,,0.0,,,,,,,,,,,2100.0,,0.0,,0.0,3900.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,AUSTRIA,200.0,0.0,,,0.0,5.0,0.0,516.0,900.0,,0.0,60300.0,,12.0,10082.0,0.0,0.0,0.0,100.0,0.0,0.0,,30.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,380.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,AZERBAIJAN,,22499.0,,70000.0,5000.0,,0.0,,0.0,,31500.0,10.0,,3309.0,9170.0,700010.0,75009.0,,1659103.0,0.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
