Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
AFG,AFGHANISTAN,0.0,1225.0,1656.0,1659.0,2168.0,2943.0,2017.0,1528.0,1668.0,1633.0,1556.0,1821.0,3617.0,4087.0,830.0,570.0,454.0,384.0,142.0,4.0,1.0,5.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,ANGOLA,,82.0,153.0,344.0,461.0,541.0,367.0,429.0,864.0,631.0,756.0,681.0,1214.0,948.0,1068.0,1008.0,443.0,292.0,136.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARE,UNITED ARAB EMIRATES,,5.0,4.0,5.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARG,ARGENTINA,,95.0,54.0,76.0,49.0,193.0,13.0,55.0,20.0,0.0,2.0,58.0,7.0,0.0,5.0,0.0,6.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
ARM,ARMENIA,,27.0,41.0,31.0,72.0,90.0,39.0,42.0,107.0,81.0,38.0,91.0,170.0,201.0,119.0,190.0,50.0,69.0,43.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATG,ANTIGUA AND BARBUDA,,9.0,2.0,8.0,8.0,47.0,4.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,16.0,30.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS,AUSTRALIA,,42.0,99.0,187.0,7.0,158.0,1.0,3.0,36.0,5.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZE,AZERBAIJAN,,12.0,45.0,38.0,94.0,47.0,23.0,35.0,155.0,123.0,24.0,50.0,49.0,37.0,36.0,43.0,38.0,68.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDI,BURUNDI,0.0,191.0,219.0,261.0,465.0,594.0,615.0,431.0,629.0,718.0,788.0,931.0,870.0,1169.0,1055.0,735.0,569.0,291.0,469.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEN,BENIN,0.0,50.0,86.0,104.0,212.0,188.0,94.0,44.0,53.0,51.0,4.0,5.0,21.0,90.0,58.0,47.0,6.0,3.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
