Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
AFG,AFGHANISTAN,61362.0,39263.0,54840.0,77549.0,69397.0,64880.0,81574.0,92202.0,86129.0,116444.0,242022.0,360940.0,415356.0,,94475.0
AGO,ANGOLA,2298979.0,1999868.0,1496834.0,1632282.0,1682870.0,1573422.0,1377992.0,1533485.0,1082398.0,889572.0,,,,,
ARG,ARGENTINA,0.0,0.0,0.0,0.0,14.0,86.0,130.0,387.0,212.0,252.0,115.0,122.0,125.0,215.0,440.0
ARM,ARMENIA,,,,,0.0,0.0,0.0,0.0,0.0,7.0,47.0,29.0,52.0,79.0,141.0
AZE,AZERBAIJAN,0.0,0.0,3.0,4.0,50.0,78.0,72.0,108.0,143.0,242.0,386.0,482.0,506.0,1058.0,1526.0
BDI,BURUNDI,4585273.0,4141387.0,2151076.0,1571874.0,1763447.0,1185622.0,876741.0,1101644.0,791731.0,327464.0,363395.0,353459.0,327138.0,312015.0,308095.0
BEN,BENIN,1044235.0,1078834.0,705839.0,422968.0,,889597.0,,,,,,,,,
BFA,BURKINA FASO,5428655.0,3769051.0,3858046.0,428113.0,804539.0,182527.0,36514.0,44246.0,44265.0,21335.0,18256.0,0.0,0.0,0.0,
BGD,BANGLADESH,10216.0,3864.0,9901.0,51773.0,55873.0,63873.0,84690.0,59866.0,32857.0,48121.0,58894.0,54654.0,62269.0,54216.0,55599.0
BHS,BAHAMAS,,,,6.0,1.0,,14.0,6.0,49.0,1.0,2.0,3.0,1.0,4.0,2.0
BLZ,BELIZE,19.0,20.0,33.0,72.0,150.0,256.0,540.0,845.0,844.0,1549.0,1066.0,1084.0,1134.0,1162.0,1486.0
BOL,BOLIVIA,7401.0,7342.0,7415.0,7143.0,13769.0,9743.0,9748.0,14610.0,19725.0,21442.0,14910.0,20343.0,14276.0,15765.0,31469.0
BRA,BRAZIL,143415.0,177767.0,242758.0,267146.0,334667.0,309316.0,315746.0,458652.0,549469.0,606067.0,465004.0,408886.0,348259.0,388303.0,613241.0
BTN,BHUTAN,19.0,15.0,0.0,194.0,436.0,972.0,329.0,793.0,1868.0,1825.0,2670.0,3806.0,6511.0,5982.0,5935.0
BWA,BOTSWANA,1346.0,456.0,193.0,432.0,1046.0,1024.0,927.0,390.0,2548.0,670.0,198.0,591.0,1640.0,3720.0,10510.0
CAF,CENTRAL AFRICAN REPUBLIC,295088.0,116300.0,46759.0,,,,,,,45973.0,46869.0,37896.0,43093.0,39164.0,33411.0
CHN,CHINA,56.0,86.0,244.0,3367.0,4990.0,9287.0,15870.0,28112.0,33286.0,19304.0,25483.0,27870.0,24964.0,21237.0,8025.0
CIV,COTE D'IVOIRE,3712831.0,2506953.0,1140627.0,29976.0,62726.0,7388.0,3527.0,,,67.0,293.0,1585.0,7628.0,11936.0,15705.0
CMR,CAMEROON,,26651.0,,15212.0,,0.0,,313083.0,,,,,,,
COD,"CONGO, THE DRC",9968983.0,6715223.0,4791598.0,4561981.0,2417780.0,1878705.0,1618218.0,740858.0,2050.0,2971.0,2684.0,2438.0,1735.0,1531.0,897.0
COG,CONGO,66323.0,43232.0,120319.0,37744.0,,92855.0,117291.0,103213.0,,67.0,293.0,1633.0,7677.0,11981.0,15751.0
COL,COLOMBIA,40768.0,51696.0,60179.0,64309.0,117650.0,79347.0,80559.0,128462.0,120096.0,121629.0,142241.0,180956.0,204916.0,231233.0,144432.0
COM,COMOROS,2203.0,53156.0,49840.0,24856.0,36538.0,5982.0,,,20559.0,6086.0,12874.0,867398.0,1104310.0,879032.0,801784.0
CPV,CAPE VERDE,26.0,22.0,1.0,7.0,47.0,65.0,35.0,18.0,80.0,68.0,45.0,68.0,76.0,107.0,144.0
CRI,COSTA RICA,0.0,0.0,6.0,10.0,110.0,262.0,966.0,1223.0,2903.0,3541.0,1289.0,718.0,1021.0,1363.0,1879.0
DJI,DJIBOUTI,,939.0,25.0,,1010.0,2686.0,119.0,210.0,1796.0,413.0,122.0,5036.0,,,
DOM,DOMINICAN REPUBLIC,496.0,579.0,952.0,1616.0,3414.0,1643.0,1840.0,2711.0,3525.0,3837.0,2355.0,1529.0,1296.0,1038.0,1233.0
DZA,ALGERIA,0.0,0.0,55.0,1.0,1.0,0.0,3.0,27.0,1.0,2.0,3.0,6.0,8.0,8.0,35.0
ECU,ECUADOR,241.0,368.0,544.0,1219.0,1888.0,4120.0,4891.0,8464.0,9863.0,17050.0,28730.0,52065.0,86757.0,108903.0,104528.0
EGY,EGYPT,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERI,ERITREA,30768.0,21317.0,21815.0,34848.0,35982.0,11759.0,8764.0,15565.0,6541.0,9073.0,4119.0,10346.0,6078.0,9716.0,
ETH,ETHIOPIA,2118815.0,2645454.0,1692578.0,1480306.0,1158197.0,1036316.0,458561.0,451816.0,447780.0,538942.0,578904.0,463797.0,427795.0,392377.0,
GAB,GABON,31900.0,28982.0,19753.0,,13936.0,660.0,40701.0,45186.0,33458.0,70644.0,70075.0,58212.0,62976.0,53167.0,50810.0
GEO,GEORGIA,0.0,0.0,0.0,0.0,0.0,1.0,6.0,24.0,59.0,155.0,257.0,316.0,474.0,438.0,245.0
GHA,GHANA,3415912.0,1639451.0,3755166.0,1041260.0,1071637.0,1104370.0,1094483.0,476484.0,472255.0,655093.0,475441.0,,,,
GIN,GUINEA,660207.0,211257.0,317200.0,95574.0,20936.0,35841.0,33405.0,44518.0,54227.0,50452.0,103069.0,107925.0,16561.0,6238.0,4800.0
GMB,GAMBIA,166229.0,240792.0,300363.0,261967.0,116353.0,50378.0,39164.0,,,,,,,,
GNB,GUINEA-BISSAU,93431.0,54584.0,50381.0,71982.0,50391.0,11757.0,11299.0,14284.0,15120.0,14659.0,,,,,
GNQ,EQUATORIAL GUINEA,20417.0,13129.0,15169.0,22466.0,53813.0,14184.0,9503.0,6287.0,,,,,,,
GTM,GUATEMALA,4931.0,6214.0,5346.0,6817.0,7384.0,7080.0,7198.0,15382.0,31093.0,39571.0,28955.0,31127.0,35540.0,35824.0,53311.0
GUY,GUYANA,12354.0,31479.0,31656.0,29506.0,22935.0,13673.0,11815.0,11656.0,21064.0,38984.0,28866.0,27627.0,21895.0,27122.0,24018.0
HND,HONDURAS,3380.0,5428.0,6439.0,7465.0,9685.0,9313.0,8368.0,10512.0,11947.0,15943.0,17134.0,14063.0,17223.0,24149.0,35125.0
HTI,HAITI,17662.0,20586.0,25423.0,32969.0,84153.0,49535.0,36774.0,29825.0,32739.0,21778.0,10802.0,,,9837.0,16897.0
IDN,INDONESIA,252027.0,343527.0,417819.0,422447.0,465764.0,418439.0,266277.0,333792.0,347597.0,315394.0,304936.0,223065.0,273793.0,267592.0,256993.0
IND,INDIA,1102205.0,881730.0,1067824.0,1310656.0,1599986.0,1563574.0,1532497.0,1508927.0,1785109.0,1816569.0,1915363.0,1869403.0,1841227.0,2085484.0,2031790.0
IRN,IRAN (ISLAMIC REPUBLIC OF),358.0,479.0,756.0,1632.0,1847.0,4345.0,8349.0,13278.0,13127.0,14396.0,7602.0,17060.0,9122.0,8924.0,12294.0
IRQ,IRAQ,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,23.0,44.0,150.0,344.0,952.0,1265.0,1860.0
JAM,JAMAICA,,,5.0,9.0,12.0,22.0,22.0,199.0,194.0,88.0,141.0,9.0,7.0,6.0,7.0
KEN,KENYA,2808931.0,2335286.0,1453471.0,1002805.0,898531.0,,839903.0,,,,28328.0,39383.0,20049.0,,
KGZ,KYRGYZSTAN,0.0,0.0,0.0,0.0,3.0,4.0,18.0,96.0,317.0,226.0,93.0,468.0,2743.0,28.0,12.0
KHM,CAMBODIA,25152.0,21309.0,40476.0,57423.0,49356.0,64595.0,42124.0,42518.0,78696.0,49436.0,59745.0,71265.0,46902.0,53601.0,62442.0
KOR,"KOREA, REPUBLIC OF",557.0,383.0,394.0,505.0,1267.0,898.0,1052.0,2227.0,2051.0,1369.0,864.0,1171.0,1799.0,2556.0,4183.0
LAO,LAOS ,48071.0,38131.0,46202.0,17835.0,20800.0,14674.0,19347.0,17458.0,18382.0,13615.0,16183.0,18894.0,21420.0,27076.0,40106.0
LBR,LIBERIA,864204.0,1244220.0,1407455.0,1915762.0,922173.0,839581.0,606952.0,492272.0,761415.0,44875.0,,,,,
LKA,SRI LANKA,0.0,0.0,23.0,124.0,684.0,531.0,649.0,198.0,591.0,1640.0,3720.0,10510.0,41411.0,66522.0,210039.0
MAR,MOROCCO,,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,19.0,0.0,0.0
MDG,MADAGASCAR,365239.0,387045.0,359420.0,224498.0,202450.0,215110.0,93234.0,48497.0,5689.0,6753.0,7638.0,6909.0,5272.0,8538.0,6946.0
MEX,MEXICO,656.0,495.0,833.0,1124.0,1226.0,2703.0,2357.0,2361.0,2514.0,2967.0,3406.0,3819.0,4624.0,4996.0,7390.0
MLI,MALI,2039853.0,1367218.0,886482.0,307035.0,227482.0,,,,,,,,,,
MMR,MYANMAR (Burma) ,152195.0,251273.0,480586.0,465294.0,420808.0,436068.0,447073.0,373958.0,203071.0,165737.0,152070.0,177530.0,173096.0,170502.0,120083.0
MOZ,MOZAMBIQUE,7117648.0,2998874.0,1813984.0,1756874.0,1522577.0,93874.0,120259.0,141663.0,,,,,,,
MRT,MAURITANIA,15835.0,1587.0,1888.0,2926.0,1994.0,940.0,302.0,,1061.0,,,,,,
MWI,MALAWI,2905310.0,1280892.0,1564984.0,304499.0,,,,,,,,,,,
MYS,MALAYSIA,3147.0,2921.0,3662.0,3954.0,5194.0,5955.0,6071.0,4048.0,5294.0,5569.0,6154.0,6338.0,11019.0,12780.0,12705.0
NAM,NAMIBIA,15914.0,4911.0,194.0,1860.0,556.0,505.0,1092.0,4242.0,27690.0,23339.0,36043.0,20295.0,23984.0,41636.0,
NER,NIGER,1953309.0,2353422.0,2239858.0,780876.0,620058.0,309675.0,496858.0,249027.0,3956.0,56043.0,76030.0,56460.0,,,
NGA,NIGERIA,7826954.0,,,,551187.0,479845.0,143079.0,,,,,,380.0,150.0,
NIC,NICARAGUA,1163.0,1194.0,1235.0,925.0,692.0,610.0,762.0,1356.0,3114.0,6642.0,6897.0,6717.0,7695.0,10482.0,23878.0
NPL,NEPAL,1469.0,1974.0,2092.0,3414.0,3894.0,3335.0,3888.0,5621.0,4969.0,5050.0,4895.0,9506.0,12750.0,6396.0,7981.0
OMN,OMAN,0.0,0.0,0.0,0.0,24.0,0.0,8.0,4.0,0.0,0.0,0.0,6.0,6.0,2.0,6.0
PAK,PAKISTAN,275149.0,281755.0,290781.0,334589.0,240591.0,167579.0,104334.0,128380.0,123761.0,127536.0,125618.0,122560.0,107666.0,125292.0,82526.0
PAN,PANAMA,874.0,705.0,844.0,354.0,418.0,778.0,744.0,1281.0,1663.0,3667.0,5095.0,4500.0,2244.0,928.0,1036.0
PER,PERU,64676.0,43468.0,31570.0,25039.0,31546.0,42645.0,44522.0,50797.0,64925.0,87699.0,93581.0,88408.0,99237.0,78544.0,68321.0
PHL,PHILIPPINES,4903.0,6514.0,7133.0,9552.0,18560.0,19316.0,23655.0,36235.0,35405.0,46342.0,50850.0,48441.0,37005.0,34787.0,36596.0
PNG,PAPUA NEW GUINEA,281182.0,279994.0,150195.0,84060.0,93956.0,77758.0,84452.0,86955.0,93938.0,92957.0,91055.0,72620.0,75748.0,94484.0,79839.0
PRK,"KOREA, D.P.R.O.",10535.0,14407.0,21850.0,16760.0,13520.0,14632.0,16611.0,4345.0,12983.0,11315.0,27090.0,16538.0,16578.0,143674.0,90582.0
PRY,PARAGUAY,0.0,0.0,0.0,1.0,18.0,91.0,348.0,1341.0,823.0,376.0,694.0,1392.0,2778.0,2710.0,6853.0
RUS,RUSSIA,,,,0.0,0.0,0.0,0.0,0.0,102.0,205.0,382.0,533.0,642.0,898.0,795.0
