Country code,Country name,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
AFG,AFGHANISTAN,27.7,27.7,27.7,27.7,27.7,27.3,27.7,27.7,27.3,27.3,,,,,,,,,,,,,,,,3.7
AGO,ANGOLA,36.8,36.8,34.1,38.2,38.6,38.6,37.3,15.0,15.0,15.0,15.0,15.5,15.5,15.5,15.5,15.5,15.5,9.5,9.5,,,,,,,14.5
ALB,ALBANIA,20.7,20.0,15.7,15.7,16.4,16.4,7.1,7.1,7.1,7.1,6.4,5.7,5.7,5.7,5.2,5.2,,,12.1,,,,,,,28.8
AND,ANDORRA,50.0,50.0,50.0,50.0,35.7,35.7,25.0,25.0,28.6,28.6,14.3,14.3,14.3,14.3,7.1,7.1,7.1,7.1,3.6,,,,,,,
ARE,UNITED ARAB EMIRATES,17.5,17.5,17.5,17.5,22.5,22.5,22.5,22.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0
ARG,ARGENTINA,36.2,36.6,37.4,37.4,38.5,38.5,40.0,40.0,35.0,36.2,33.7,30.7,30.7,30.7,26.5,28.0,27.6,27.6,25.3,,,,,,,6.3
ARM,ARMENIA,10.7,10.7,10.7,8.4,9.2,9.2,8.4,9.2,5.3,5.3,5.3,4.6,3.1,3.1,3.1,3.1,6.3,6.3,6.3,,,,,,,35.6
ATG,ANTIGUA AND BARBUDA,11.1,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,5.3,5.3,5.3,5.3,,5.3,5.3,5.3,,,,,,,0.0
AUS,AUSTRALIA,26.7,26.0,24.7,24.7,24.7,27.3,26.7,26.7,24.7,24.7,24.7,25.3,25.3,25.3,23.0,22.4,22.3,15.5,15.5,,,,,,,6.1
AUT,AUSTRIA,30.6,32.2,27.9,27.9,27.9,27.9,27.3,32.8,32.2,33.9,33.9,33.9,33.9,26.8,26.8,26.8,26.2,26.2,26.8,,,,,,,11.5
AZE,AZERBAIJAN,15.6,15.6,16.0,16.0,16.0,11.4,11.4,11.4,11.3,12.0,10.5,10.5,10.5,10.5,,12.0,12.0,12.0,12.0,,,,,,,
BDI,BURUNDI,30.5,30.5,30.5,30.5,32.1,31.4,30.5,30.5,30.5,30.5,18.4,18.4,18.4,19.5,14.4,6.0,6.0,,,,,,,,,
BEL,BELGIUM,39.3,41.3,38.0,38.0,39.3,38.0,35.3,35.3,34.7,34.7,34.7,35.3,23.3,23.3,23.3,23.3,12.7,12.7,12.0,,,,,,,8.5
BEN,BENIN,8.4,8.4,8.4,8.4,10.8,10.8,10.8,10.8,7.2,7.2,7.2,7.2,6.0,6.0,6.0,6.0,7.2,7.2,7.2,,,,,,,2.9
BFA,BURKINA FASO,13.3,18.9,15.7,15.3,15.3,15.3,15.3,15.3,11.7,11.7,11.7,11.7,11.7,8.1,8.1,8.1,8.1,9.0,3.7,,,,,,,
BGD,BANGLADESH,20.0,6.4,19.7,19.7,18.6,18.6,6.3,,,14.8,2.0,2.0,2.0,,9.1,9.1,9.1,9.1,9.1,,,,,,,10.3
BGR,BULGARIA,20.4,24.6,22.9,20.8,20.8,20.8,21.7,21.7,22.1,22.1,26.3,26.3,26.3,26.3,10.8,10.8,10.8,10.8,13.3,,,,,,,21.0
BHR,BAHRAIN,7.5,10.0,10.0,10.0,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
BHS,BAHAMAS,13.2,13.2,13.2,12.2,12.2,12.2,12.2,12.2,20.0,20.0,20.0,20.0,20.0,15.0,15.0,15.0,15.0,15.0,8.2,,,,,,,4.1
BIH,BOSNIA AND HERZEGOWINA,21.4,21.4,21.4,21.4,16.7,19.0,11.9,11.9,14.3,16.7,16.7,16.7,16.7,7.1,,28.6,,,,,,,,,,
BLR,BELARUS,27.3,26.6,26.6,31.8,31.8,31.8,31.8,29.1,29.1,29.1,29.4,10.3,10.3,10.3,,4.5,,,,,,,,,,
BLZ,BELIZE,3.1,3.1,3.1,0.0,0.0,0.0,0.0,3.3,6.7,6.7,6.7,3.3,6.9,6.9,6.9,6.9,6.9,3.4,3.4,,,,,,,0.0
BOL,BOLIVIA,53.1,25.4,25.4,25.4,25.4,22.3,16.9,16.9,16.9,16.9,19.2,18.5,18.5,11.5,11.5,11.5,,,6.9,,,,,,,9.2
BRA,BRAZIL,9.0,8.6,8.6,8.6,8.6,8.8,9.0,9.0,8.8,8.6,8.6,8.6,8.6,6.8,5.7,5.7,5.7,6.6,6.6,,,,,,,5.3
BRB,BARBADOS,16.7,16.7,10.0,10.0,10.0,10.0,10.0,10.0,13.3,13.3,13.3,13.3,10.7,10.7,10.7,10.7,10.7,10.7,10.7,,,,,,,3.7
BTN,BHUTAN,8.5,8.5,8.5,8.5,8.5,8.5,8.5,2.7,2.7,9.3,9.3,9.3,9.3,9.3,9.3,2.0,2.0,2.0,2.0,,,,,,,2.0
BWA,BOTSWANA,9.5,9.5,7.9,7.9,7.9,7.9,11.1,11.1,11.1,11.1,11.1,17.0,17.0,17.0,17.0,,8.5,8.5,8.5,,,,,,,5.0
CAF,CENTRAL AFRICAN REPUBLIC,,,12.5,12.5,,9.6,10.5,10.5,10.5,10.5,,,7.3,7.3,7.3,7.3,,3.5,3.5,,,,,,,3.8
CAN,CANADA,25.2,25.1,24.7,24.8,22.1,22.1,22.1,21.3,20.8,20.8,21.1,20.6,20.6,20.6,20.6,20.6,20.6,20.6,18.0,,,,,,,13.3
CHE,SWITZERLAND,30.5,31.0,29.0,28.5,29.0,29.0,28.5,28.5,25.0,25.0,25.0,25.0,23.0,23.0,23.0,22.5,21.0,21.0,21.0,,,,,,,14.0
CHL,CHILE,15.8,15.8,14.2,14.2,14.2,14.2,15.0,15.0,15.0,15.0,12.5,12.5,12.5,12.5,10.8,10.8,10.8,7.5,7.5,,,,,,,
CHN,CHINA,23.6,23.4,21.3,21.3,21.3,21.3,21.3,20.6,20.3,20.3,20.2,20.2,21.8,21.8,21.8,21.8,21.8,,21.0,,,,,,,21.3
CIV,COTE D'IVOIRE,9.2,9.4,10.4,11.0,8.9,8.9,8.9,8.9,8.5,8.5,8.5,8.5,8.5,8.5,,,8.0,8.0,8.3,,,,,,,5.7
CMR,CAMEROON,31.1,31.1,13.9,13.9,13.9,13.9,13.9,13.9,8.9,8.9,8.9,8.9,8.9,5.6,5.6,5.6,5.6,5.6,12.2,,,,,,,14.4
COD,"CONGO, THE DRC",8.9,10.6,8.9,8.9,8.4,8.4,8.4,8.4,8.4,12.0,12.0,12.0,,,,,,,5.0,,,,,,,5.4
COG,CONGO,7.4,7.4,7.4,7.3,7.3,7.3,7.3,7.3,8.5,8.5,8.5,8.5,9.3,12.0,12.0,12.0,12.0,,1.6,,,,,,,14.3
COL,COLOMBIA,19.9,12.1,12.1,12.1,12.7,8.4,8.4,8.4,8.4,12.1,12.0,12.0,12.0,11.8,11.8,11.8,,11.7,11.7,,,,,,,4.5
COM,COMOROS,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,0.0,0.0,0.0,,,,,,,0.0
CPV,CAPE VERDE,20.8,20.8,20.8,20.8,18.1,18.1,18.1,18.1,15.3,15.3,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,,,,,,,12.0
CRI,COSTA RICA,33.3,38.6,38.6,38.6,38.6,36.8,36.8,36.8,38.6,35.1,35.1,35.1,35.1,19.3,19.3,19.3,19.3,15.8,15.8,,,,,,,10.5
CUB,CUBA,48.9,48.9,45.2,45.2,43.2,43.2,43.2,43.2,36.0,36.0,36.0,36.0,36.0,27.6,27.6,27.6,27.6,22.8,22.8,,,,,,,33.9
CYP,CYPRUS,12.5,12.5,10.7,10.7,12.5,12.5,14.3,14.3,14.3,16.1,16.1,10.7,10.7,10.7,7.1,5.4,5.4,5.4,5.4,,,,,,,1.8
