Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965
AGO,ANGOLA,,,,,,,,,,,,8.0,176.0,359.0,133.0,5.0,129.0,,,,384.0,495.0,364.0,321.0,183.0,348.0,88.0,17.0,33.0,23.0,,,,6.0,25.0,18.0,7.0,101.0,,,,,,,,,,,,
BDI,BURUNDI,,,,,,,,,10.0,,,19.0,59.0,19.0,5.0,3.0,15.0,,,,,,,,4.0,19.0,18.0,9.0,25.0,3.0,19.0,22.0,13.0,25.0,7.0,13.0,9.0,10.0,,,,,,,,,,,,
BEN,BENIN,88.0,82.0,112.0,50.0,54.0,64.0,55.0,107.0,67.0,77.0,96.0,89.0,93.0,435.0,125.0,76.0,130.0,70.0,,,155.0,,,86.0,58.0,268.0,56.0,97.0,43.0,52.0,26.0,45.0,27.0,55.0,29.0,25.0,42.0,40.0,,56.0,,,,,,,,,,
BFA,BURKINA FASO,353.0,339.0,709.0,588.0,949.0,629.0,1067.0,1923.0,1674.0,746.0,1115.0,1329.0,1750.0,1936.0,777.0,656.0,872.0,,4363.0,321.0,,,426.0,319.0,338.0,,517.0,,458.0,500.0,1001.0,690.0,752.0,502.0,306.0,266.0,214.0,196.0,,,,,,,,,,,,
BWA,BOTSWANA,,,,,,,,,,,,,0.0,0.0,0.0,,,2533.0,,,,,,3.0,4.0,4.0,1.0,3.0,,4.0,1.0,8.0,4.0,7.0,25.0,,9.0,,,,,,,,,,,,,
CAF,CENTRAL AFRICAN REPUBLIC,41.0,31.0,31.0,46.0,106.0,48.0,89.0,152.0,40.0,28.0,,33.0,96.0,375.0,554.0,234.0,57.0,3.0,,,,111.0,144.0,147.0,170.0,221.0,218.0,120.0,20.0,,15.0,13.0,34.0,24.0,31.0,42.0,54.0,,,,,,,,,,,,,
CIV,COTE D'IVOIRE,25.0,34.0,59.0,25.0,28.0,46.0,181.0,190.0,105.0,100.0,74.0,47.0,93.0,21.0,63.0,565.0,324.0,214.0,,,,,,,11.0,483.0,322.0,144.0,63.0,105.0,25.0,71.0,130.0,107.0,204.0,219.0,177.0,276.0,,,,,,,,,,,,
CMR,CAMEROON,60.0,68.0,64.0,165.0,71.0,122.0,,7.0,11.0,,,101.0,116.0,165.0,164.0,249.0,323.0,106.0,,,56.0,523.0,317.0,318.0,291.0,254.0,241.0,154.0,223.0,235.0,276.0,288.0,164.0,204.0,,,91.0,47.0,,,,,,,,,,,,
COD,"CONGO, THE DRC",994.0,859.0,1011.0,509.0,926.0,514.0,685.0,1090.0,882.0,1071.0,1846.0,2370.0,1100.0,343.0,927.0,,,,,29.0,,,,,,,,15.0,1.0,18.0,,4.0,7.0,6.0,,6.0,,,,,,,,,,,,,,
COG,CONGO,,,,,,,,,,,,6.0,2.0,0.0,0.0,,,,,,,,,,,,7.0,,,6.0,6.0,,,27.0,32.0,59.0,56.0,31.0,,,,,,,,,,,,
COM,COMOROS,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,
CPV,CAPE VERDE,,,,,,,,,0.0,,,2.0,0.0,0.0,0.0,,,,,,28.0,39.0,40.0,3.0,21.0,10.0,7.0,,,,,1.0,1.0,,6.0,2.0,4.0,,,,,,,,,,,,,
DJI,DJIBOUTI,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
DZA,ALGERIA,,,,,,,,0.0,,,,,0.0,0.0,0.0,,6.0,,,,,,,,,,86.0,,,,,,,,,,,,,,,,,,,,,,,
EGY,EGYPT,,,,,,,,,,,,,,,,,,,,,,,,,,,353.0,172.0,171.0,212.0,187.0,155.0,170.0,100.0,167.0,213.0,277.0,165.0,390.0,467.0,,,,,,,,,65.0,58.0
ERI,ERITREA,,,,,,,,3.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH,ETHIOPIA,52.0,,0.0,9.0,0.0,20.0,18.0,1.0,32.0,57.0,146.0,189.0,222.0,467.0,9.0,26.0,,,,10.0,,,,,109.0,1512.0,,27.0,20.0,26.0,37.0,,619.0,984.0,211.0,10.0,77.0,,,,,,,,,,,,,
GAB,GABON,,,,,,,,0.0,7.0,,,2.0,1.0,0.0,0.0,,,,,,,,,,27.0,34.0,,26.0,,4.0,4.0,10.0,6.0,,,4.0,3.0,,,,,,,,,,,,,
GHA,GHANA,17.0,41.0,75.0,57.0,128.0,63.0,89.0,135.0,107.0,93.0,165.0,234.0,295.0,300.0,240.0,135.0,224.0,1472.0,,19.0,176.0,251.0,354.0,83.0,67.0,83.0,98.0,108.0,154.0,174.0,221.0,31.0,38.0,49.0,59.0,29.0,32.0,59.0,,62.0,,,,,,,,,,
GIN,GUINEA,55.0,51.0,13.0,,11.0,8.0,58.0,8.0,17.0,,,10.0,35.0,15.0,0.0,34.0,10.0,4.0,,34.0,151.0,183.0,69.0,,39.0,89.0,50.0,20.0,,189.0,,,,,,,2.0,4.0,,,,,,,,,,,,
GMB,GAMBIA,38.0,34.0,9.0,,,,,1.0,0.0,,,0.0,5.0,20.0,30.0,,,120.0,,,,,,,,18.0,,,,,,,,1.0,19.0,,6.0,,,,,,,,,,,,,
GNB,GUINEA-BISSAU,,,,,,,,,,,,,0.0,0.0,0.0,402.0,26.0,,,,,,,,,,,,,,,,,3.0,,4.0,1.0,,,,,,,,,,,,,
GNQ,EQUATORIAL GUINEA,,,,,,,,0.0,,,,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEN,KENYA,,,,,,,,43.0,20.0,,,,2.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,36.0,47.0,107.0,97.0,152.0,145.0,196.0,,,,,,,,,,,,
LBR,LIBERIA,,,,,,,,2.0,4.0,,,0.0,0.0,0.0,0.0,,7.0,,,,8.0,6.0,,,,,,42.0,,19.0,7.0,50.0,50.0,79.0,70.0,50.0,57.0,5.0,,,,,,,,,,,,
LSO,LESOTHO,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,MOROCCO,,,,,,,,,,,,,,,,,,,,,,,,,,170.0,92.0,,,,,,,,,,,,,,,,,,,,,,,
MDG,MADAGASCAR,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,8.0,,,2.0,,,,,,,,,,,,,
MLI,MALI,4.0,7.0,12.0,17.0,34.0,28.0,85.0,47.0,75.0,23.0,57.0,73.0,61.0,127.0,93.0,117.0,285.0,1126.0,,177.0,,,,,81.0,71.0,12.0,131.0,155.0,183.0,63.0,170.0,358.0,498.0,76.0,96.0,62.0,106.0,,,,,,,,,,,,
MOZ,MOZAMBIQUE,,,,,,,,80.0,289.0,,,121.0,143.0,191.0,138.0,45.0,103.0,118.0,,,,,,38.0,22.0,31.0,169.0,134.0,89.0,3.0,14.0,32.0,34.0,27.0,65.0,43.0,54.0,12.0,3.0,4.0,,,,,,,,,,
MRT,MAURITANIA,0.0,5.0,6.0,,,,,,0.0,,,3.0,5.0,6.0,41.0,52.0,3.0,2.0,,,,,,,,9.0,12.0,13.0,,11.0,,9.0,,,,,,1.0,,,,,,,,,,,,
MUS,MAURITIUS,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,13.0,13.0,,1.0,23.0,10.0,,,,,,,,,,,,,,,,,,
MWI,MALAWI,,,,,,,,,,,,,,,,,,,,,,,,,,354.0,29.0,159.0,,,,,,125.0,,,,264.0,,,,,,,,,,,,
NAM,NAMIBIA,,,,,,,,,,,,,0.0,17.0,14.0,,,,,4.0,224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NER,NIGER,40.0,44.0,56.0,145.0,251.0,558.0,246.0,106.0,325.0,162.0,337.0,710.0,435.0,687.0,1004.0,488.0,301.0,559.0,,2491.0,1011.0,1074.0,712.0,402.0,218.0,167.0,140.0,175.0,790.0,69.0,82.0,74.0,110.0,187.0,293.0,309.0,580.0,216.0,,,,,,,,,,,,
NGA,NIGERIA,81.0,47.0,74.0,62.0,337.0,2488.0,492.0,242.0,437.0,48.0,97.0,531.0,389.0,403.0,508.0,165.0,650.0,,,,,,,,,997.0,495.0,1217.0,1310.0,62.0,58.0,61.0,68.0,38.0,51.0,193.0,2511.0,835.0,,,,,,,,,,,,
RWA,RWANDA,,,,,,,,4.0,9.0,,,1.0,152.0,4.0,28.0,44.0,27.0,4.0,,,,,71.0,,24.0,47.0,42.0,34.0,31.0,8.0,8.0,12.0,8.0,36.0,31.0,164.0,179.0,3.0,,,,,,,,,,,,
SDN,SUDAN,5.0,49.0,25.0,,98.0,,27.0,778.0,475.0,124.0,175.0,158.0,455.0,336.0,468.0,2508.0,,,,,,,,691.0,108.0,703.0,2067.0,,,,,,,,,,,,,,,,,,,,,,,
SEN,SENEGAL,12.0,10.0,28.0,,,,,6.0,10.0,,,8.0,9.0,204.0,0.0,482.0,372.0,4.0,,,,,,,,,7.0,18.0,29.0,44.0,112.0,222.0,149.0,91.0,66.0,82.0,77.0,76.0,,,,,,,,,,,,
SLE,SIERRA LEONE,,,,,,,,0.0,1.0,,,,,,,,,,,102.0,,,,,,,,,,,3.0,,,3.0,32.0,,,,,,,,,,,,,,,
SSD,SOUTH SUDAN,2.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,SAO TOME AND PRINCIPE,,,,,,,,,,,,,0.0,0.0,3.0,,,,,,,,,,,1.0,,2.0,1.0,3.0,6.0,5.0,,,1.0,1.0,1.0,,,,,,,,,,,,,
SWZ,SWAZILAND,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
