Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
BEN,BENIN,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
BFA,BURKINA FASO,0.0,1.0,13.0,2.0,12.0,3.0,20.0,43.0,33.0,1.0,5.0,12.0
CAF,CENTRAL AFRICAN REPUBLIC,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,,,
CIV,COTE D'IVOIRE,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,
CMR,CAMEROON,0.0,0.0,2.0,10.0,3.0,5.0,,0.0,,,,
COD,"CONGO, THE DRC",,,,12.0,7.0,7.0,12.0,,7.0,14.0,,
ETH,ETHIOPIA,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,8.0,5.0,
GHA,GHANA,1.0,0.0,4.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0
GIN,GUINEA,0.0,0.0,0.0,,0.0,0.0,1.0,,1.0,,,
GMB,GAMBIA,1.0,0.0,1.0,,,,,,,,,
MLI,MALI,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0
MRT,MAURITANIA,0.0,0.0,0.0,,,,,,,,,
NER,NIGER,0.0,0.0,0.0,0.0,4.0,23.0,5.0,0.0,5.0,0.0,3.0,9.0
NGA,NIGERIA,6.0,3.0,2.0,1.0,5.0,175.0,51.0,22.0,21.0,0.0,,19.0
SDN,SUDAN,0.0,0.0,1.0,,,,,,,,,
SEN,SENEGAL,0.0,0.0,0.0,,,,,,,,,
SSD,SOUTH SUDAN,0.0,1.0,,,,,,,,,,
TCD,CHAD,0.0,0.0,12.0,17.0,11.0,3.0,1.0,3.0,0.0,5.0,,0.0
TGO,TOGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
